
[00:00:00.000 --> 00:00:03.200]  弟兄姊妹,早安,大家好
[00:00:03.200 --> 00:00:10.000]  不知道你們還記不記得上個主日希伯來書的講道
[00:00:10.000 --> 00:00:13.200]  見到牧師所講的是甚麼題目
[00:00:13.200 --> 00:00:16.200]  一個星期而已,上個星期是甚麼題目?
[00:00:16.200 --> 00:00:20.200]  關於合約的
[00:00:20.200 --> 00:00:25.200]  是呀,一份世界上最好的約
[00:00:25.200 --> 00:00:28.200]  就是八章一至十三節
[00:00:28.200 --> 00:00:31.200]  這份約為何是世界上最好的呢?
[00:00:31.200 --> 00:00:35.200]  因為這份約是由耶穌基督所成就的新約
[00:00:35.200 --> 00:00:37.200]  今日我們要思考的經文
[00:00:37.200 --> 00:00:41.200]  記載在九章一至二十八節
[00:00:41.200 --> 00:00:46.200]  題目是讓信仰不只是外表的乾淨
[00:00:46.200 --> 00:00:49.200]  先問問大家
[00:00:49.200 --> 00:00:52.200]  有多少人喜歡家中乾淨?
[00:00:52.200 --> 00:00:55.200]  應該所有人都喜歡家中乾淨
[00:00:55.200 --> 00:00:57.200]  很少人喜歡家中骯髒
[00:00:57.200 --> 00:01:02.200]  大部分人都喜歡家中乾淨整整齊齊
[00:01:02.200 --> 00:01:12.200]  有多少人會定期落手落腳整理整齊家中?
[00:01:12.200 --> 00:01:16.200]  都不少,落手落腳,自己
[00:01:16.200 --> 00:01:18.200]  不是傭人姐姐
[00:01:18.200 --> 00:01:24.200]  似乎看上去姐妹多過弟兄少少
[00:01:24.200 --> 00:01:27.200]  姐妹好像較著重這一點
[00:01:27.200 --> 00:01:33.200]  我自己都很喜歡家中整齊乾淨
[00:01:33.200 --> 00:01:35.200]  喜歡而已
[00:01:35.200 --> 00:01:37.200]  喜歡
[00:01:37.200 --> 00:01:41.200]  我還記得入神學院前兩三年
[00:01:41.200 --> 00:01:44.200]  我自己都是一個人住
[00:01:44.200 --> 00:01:46.200]  一個人住的好處是
[00:01:46.200 --> 00:01:50.200]  你想家中乾淨時就先去收拾
[00:01:50.200 --> 00:01:53.200]  不想的時候就由他
[00:01:53.200 --> 00:01:57.200]  平時一早就要上班
[00:01:57.200 --> 00:02:01.200]  回家後,不知道你會否有我這個情況
[00:02:01.200 --> 00:02:05.200]  很累,就躺在沙發上
[00:02:05.200 --> 00:02:07.200]  開著電視
[00:02:07.200 --> 00:02:09.200]  就黏著了
[00:02:09.200 --> 00:02:11.200]  除了吃東西和上廁所
[00:02:11.200 --> 00:02:14.200]  又差不多要睡覺了
[00:02:14.200 --> 00:02:16.200]  那時已經是一、兩點
[00:02:16.200 --> 00:02:18.200]  就睡覺了
[00:02:18.200 --> 00:02:20.200]  星期六就要回團企
[00:02:20.200 --> 00:02:22.200]  要侍奉和朋友吃飯
[00:02:22.200 --> 00:02:24.200]  主日又要崇拜
[00:02:24.200 --> 00:02:26.200]  好一點就是
[00:02:26.200 --> 00:02:28.200]  崇拜完了,跟姐妹吃完飯
[00:02:28.200 --> 00:02:30.200]  就買日用品
[00:02:30.200 --> 00:02:32.200]  回家已經是黃昏
[00:02:32.200 --> 00:02:35.200]  為何買這麼久?
[00:02:35.200 --> 00:02:38.200]  這時候不只是買日用品
[00:02:38.200 --> 00:02:41.200]  日復日,月復月
[00:02:41.200 --> 00:02:43.200]  轉眼間,如是者
[00:02:43.200 --> 00:02:46.200]  半年家中都沒有清潔過
[00:02:46.200 --> 00:02:48.200]  是否很可怕?
[00:02:48.200 --> 00:02:49.200]  不過不要緊
[00:02:49.200 --> 00:02:51.200]  因為我一個人住
[00:02:51.200 --> 00:02:53.200]  又沒有房客
[00:02:53.200 --> 00:02:55.200]  不收拾房子,不清潔
[00:02:55.200 --> 00:02:57.200]  似乎都可以
[00:02:57.200 --> 00:02:59.200]  雖然有時回家
[00:02:59.200 --> 00:03:01.200]  都見到很亂
[00:03:01.200 --> 00:03:03.200]  好像垃圾缸
