
[00:00:00.000 --> 00:00:05.000]  我們一起祈禱,預備我們的心來聽神的話
[00:00:05.000 --> 00:00:09.000]  至愛天父上帝,我們感謝你
[00:00:09.000 --> 00:00:12.000]  今天早上我們緩有平安回到來
[00:00:12.000 --> 00:00:17.000]  我們都安靜,我們的內心靜候在你的面前
[00:00:17.000 --> 00:00:21.000]  願聖靈在整個會場裡邊自由運行
[00:00:21.000 --> 00:00:24.000]  讓我們每一個人的心都向你敞開
[00:00:24.000 --> 00:00:29.000]  讓聖經的話語就在我們心靈裡邊來光照
[00:00:29.000 --> 00:00:34.000]  使我們滿得你話語的幫助
[00:00:34.000 --> 00:00:37.000]  我們的心靈都是滿有力量的跟從你
[00:00:37.000 --> 00:00:41.000]  被你吸引,願你祝福帶領以下時間
[00:00:41.000 --> 00:00:46.000]  我們獻上禱告奉耶穌基督的名祈求,阿門
[00:00:46.000 --> 00:00:51.000]  弟子們,你們有沒有聽過
[00:00:51.000 --> 00:00:54.000]  有些宗教的朝聖者
[00:00:54.000 --> 00:01:02.000]  用他們的一生都是為自己的信仰來奉獻身心
[00:01:02.000 --> 00:01:08.000]  用他們的身體來丈量自己與神的距離
[00:01:08.000 --> 00:01:12.000]  一步一溝,三步一溝
[00:01:12.000 --> 00:01:17.000]  從平地到高山,從深谷到公路
[00:01:17.000 --> 00:01:21.000]  就是這樣跪拜2100公里
[00:01:21.000 --> 00:01:25.000]  叩牆頭近十萬次
[00:01:25.000 --> 00:01:31.000]  歷時七個月,只是為尋求一份庇佑
[00:01:31.000 --> 00:01:35.000]  他們相信每一次的蒲拜
[00:01:35.000 --> 00:01:39.000]  都是一次的祈福和救贖
[00:01:39.000 --> 00:01:45.000]  漫長的自救之旅能夠洗滌所有朝聖者的心靈
[00:01:45.000 --> 00:01:51.000]  他們相信在朝聖之旅,承受的苦難越多
[00:01:51.000 --> 00:01:56.000]  就能夠洗滌他們的罪孽就越多
[00:01:56.000 --> 00:02:01.000]  大家看看畫面上的圖片
[00:02:01.000 --> 00:02:05.000]  這樣的朝聖之旅,在我心裡
[00:02:05.000 --> 00:02:11.000]  對他們法治內在的虔誠,真的有一份敬佩
[00:02:11.000 --> 00:02:18.000]  但我們也有疑惑,這樣的行動最終對人內心深處的信仰
[00:02:18.000 --> 00:02:23.000]  有多少作用和成效呢?
[00:02:23.000 --> 00:02:29.000]  今天跟大家分享的經文是馬可福音七章一至二十三節
[00:02:29.000 --> 00:02:34.000]  講題是主所喜悅的真實信仰
[00:02:34.000 --> 00:02:38.000]  我們一起來重讀這二十三節的經文
[00:02:38.000 --> 00:02:41.000]  我們一起讀
[00:02:41.000 --> 00:02:46.000]  有幾個從耶路撒冷來的文士聚集到耶穌那裡
[00:02:46.000 --> 00:02:51.000]  他們曾看見他的門徒中有用不潔淨的手
[00:02:51.000 --> 00:02:54.000]  就是沒有洗的手吃飯
[00:02:54.000 --> 00:03:00.000]  法利賽人和所有的猶太人都屈守古人的傳統
[00:03:00.000 --> 00:03:04.000]  若不按規矩洗手,就不吃飯
