
[00:00:00.000 --> 00:00:02.000]  各位聽眾晚安
[00:00:02.000 --> 00:00:06.000]  今天跟大家分享的題目是
[00:00:06.000 --> 00:00:09.000]  40年磨一劍
[00:00:09.000 --> 00:00:15.000]  有句話說是十年磨一劍
[00:00:15.000 --> 00:00:17.000]  大家也聽過吧
[00:00:17.000 --> 00:00:20.000]  但在這個步速快的世代裡
[00:00:20.000 --> 00:00:23.000]  要靜心打磨自己
[00:00:23.000 --> 00:00:25.000]  實在不容易
[00:00:25.000 --> 00:00:27.000]  十年磨一劍
[00:00:27.000 --> 00:00:29.000]  大家覺得是不是太長呢?
[00:00:30.000 --> 00:00:33.000]  但在真實的世界裡
[00:00:33.000 --> 00:00:38.000]  往往需要超過十年的期待
[00:00:38.000 --> 00:00:43.000]  他是誰呢?
[00:00:43.000 --> 00:00:47.000]  請出powerpoint
[00:00:47.000 --> 00:00:50.000]  他是誰呢?
[00:00:50.000 --> 00:00:52.000]  大家認識他嗎?
[00:00:52.000 --> 00:00:54.000]  認識他請舉手
[00:00:54.000 --> 00:00:58.000]  好像在搜尋中是最高的
[00:00:58.000 --> 00:01:00.000]  大家都認識他
[00:01:00.000 --> 00:01:02.000]  是張家朗
[00:01:02.000 --> 00:01:04.000]  香港男子劍擊運動員
[00:01:04.000 --> 00:01:07.000]  兩屆奧運金牌得主
[00:01:07.000 --> 00:01:10.000]  有少年劍神香港劍神之稱
[00:01:10.000 --> 00:01:14.000]  他十歲開始參加劍擊班
[00:01:14.000 --> 00:01:17.000]  並且愛上這項運動
[00:01:17.000 --> 00:01:20.000]  期間他參加不同的比賽
[00:01:20.000 --> 00:01:22.000]  並且多次獲獎
[00:01:22.000 --> 00:01:26.000]  在十六歲時轉為全職運動員
[00:01:27.000 --> 00:01:33.000]  他在2021年東京奧運男子盾劍個人賽
[00:01:33.000 --> 00:01:38.000]  以及2024年巴黎奧運男子盾劍個人賽
[00:01:38.000 --> 00:01:40.000]  都獲得金牌
[00:01:40.000 --> 00:01:43.000]  由他十歲開始練劍擊
[00:01:43.000 --> 00:01:45.000]  至24歲
[00:01:45.000 --> 00:01:48.000]  奪得他首面奧運金牌
[00:01:48.000 --> 00:01:52.000]  期間經歷了14年
[00:01:52.000 --> 00:01:55.000]  可以說是14年磨一劍
[00:01:55.000 --> 00:02:03.000]  張家朗14年磨一劍
[00:02:03.000 --> 00:02:06.000]  每個人的生命歷程都很不同
[00:02:06.000 --> 00:02:09.000]  今晚和大家分享一位人物
[00:02:09.000 --> 00:02:11.000]  他不是用14年
[00:02:11.000 --> 00:02:16.000]  而是用了40年來磨他生命的這一劍
[00:02:16.000 --> 00:02:20.000]  讓我們讀出今天的經文
[00:02:20.000 --> 00:02:24.000]  就是《出拉及記》二章十一至二十五節的經文
[00:02:24.000 --> 00:02:26.000]  讓我們一起禱告
[00:02:26.000 --> 00:02:28.000]  親愛的天父
[00:02:28.000 --> 00:02:32.000]  感謝祢讓我們頌頂至會聚集在祢面前的敬拜
[00:02:32.000 --> 00:02:35.000]  感謝祢賜給我們祢的說話
[00:02:35.000 --> 00:02:37.000]  求聖靈親自引導
[00:02:37.000 --> 00:02:41.000]  幫助我們明白今天祢要對我們說的話
[00:02:41.000 --> 00:02:43.000]  讓我們有信心
[00:02:43.000 --> 00:02:45.000]  以致我們可以作出回應
[00:02:45.000 --> 00:02:47.000]  我們的生命也更新成長
[00:02:47.000 --> 00:02:50.000]  祈禱奉主耶穌基督的名
[00:02:50.000 --> 00:02:51.000]  阿門
[00:02:51.000 --> 00:02:54.000]  首先是第一部分
[00:02:54.000 --> 00:02:58.000]  讓神除去生命的雜質
[00:02:58.000 --> 00:03:03.000]  第十二節說到
[00:03:03.000 --> 00:03:06.000]  於是他環顧左右
[00:03:06.000 --> 00:03:08.000]  見沒有人在
[00:03:08.000 --> 00:03:11.000]  就毆打死了那個埃及人
[00:03:11.000 --> 00:03:14.000]  把他埋在沙土裡
[00:03:14.000 --> 00:03:19.000]  我們看到摩西打死那個埃及人的原因
[00:03:19.000 --> 00:03:23.000]  是因為他見到沒有人在
[00:03:23.000 --> 00:03:25.000]  以為沒有人見到
[00:03:25.000 --> 00:03:27.000]  在這節經文裡
[00:03:27.000 --> 00:03:34.000]  很多人只會集中去看到毆打死了這個動詞
[00:03:34.000 --> 00:03:36.000]  但是在文法上
[00:03:36.000 --> 00:03:41.000]  毆打死了和埋在是並列的
[00:03:41.000 --> 00:03:48.000]  所以我們要同時去看這兩個動詞所帶出來的意思
[00:03:48.000 --> 00:03:51.000]  摩西打死埃及人
[00:03:51.000 --> 00:03:53.000]  他出手很重
[00:03:53.000 --> 00:03:55.000]  在二章十二節
[00:03:55.000 --> 00:03:56.000]  這節經文說到
[00:03:56.000 --> 00:03:59.000]  他毆打死了那個埃及人
[00:03:59.000 --> 00:04:01.000]  毆打死了
[00:04:01.000 --> 00:04:07.000]  原文可以譯作毒打、痛打、攻擊
[00:04:07.000 --> 00:04:12.000]  而這個字原文也可以譯作致命的擊打
[00:04:12.000 --> 00:04:17.000]  例如出埃及記二十一章十二節說到
[00:04:17.000 --> 00:04:22.000]  打人以致打死的必要把他致死
[00:04:22.000 --> 00:04:25.000]  從上下文去看
[00:04:25.000 --> 00:04:28.000]  摩西這個毆打是致命的
