
[00:00:00.000 --> 00:00:03.520]  我有一位很好的朋友
[00:00:03.520 --> 00:00:07.440]  近幾年他陪伴我幫助我
[00:00:07.440 --> 00:00:10.640]  去面對生命裏面一件很艱難的事
[00:00:10.640 --> 00:00:13.040]  有一次他跟我說
[00:00:13.040 --> 00:00:19.440]  Carol 我真的不明白為何神要讓這件事發生在你身上
[00:00:19.440 --> 00:00:22.640]  我即時眼淚忍不住
[00:00:22.640 --> 00:00:26.400]  心裏面感受到很被明白
[00:00:26.400 --> 00:00:31.280]  最近當我聽到有一位的肢體
[00:00:31.280 --> 00:00:34.080]  討論道神的公義的時候
[00:00:34.080 --> 00:00:36.960]  他說了一句話
[00:00:36.960 --> 00:00:39.920]  為何那個人還未死
[00:00:39.920 --> 00:00:46.240]  我發現我心裏面都偷偷地有一份共鳴
[00:00:46.240 --> 00:00:58.240]  「丁姐妹,當你看見在戰亂的地方、貧窮的地方、極權或者霸權的地方
[00:00:58.240 --> 00:01:00.240]  很多不義的事發生
[00:01:00.240 --> 00:01:04.240]  你有沒有試過質疑神的公義?
[00:01:04.240 --> 00:01:10.240]  而當不幸的事接二連三發生在你或心愛的人身上
[00:01:10.240 --> 00:01:14.240]  你又會不會質疑神的愛呢?
[00:01:14.240 --> 00:01:17.240]  在我們信仰的路上
[00:01:17.240 --> 00:01:23.240]  當現實和你所學的真理看起來不太吻合的時候
[00:01:23.240 --> 00:01:26.240]  令你產生疑惑、矛盾的時候
[00:01:26.240 --> 00:01:28.240]  你會怎樣呢?
[00:01:28.240 --> 00:01:33.240]  逃避、壓抑、否認
[00:01:33.240 --> 00:01:37.240]  「我不可以這樣想的,我怎可以對神沒有信心呢?」
[00:01:37.240 --> 00:01:42.240]  或者將真理放在一邊,我行我素
[00:01:42.240 --> 00:01:50.240]  「祈禱沒有用的,聖經也不落地的,我自己去解決就可以了」
[00:01:50.240 --> 00:01:57.240]  你曾經因為甚麼疑惑動搖過你對神的信心呢?
[00:01:57.240 --> 00:02:04.240]  今天我們會透過詩篇第73篇去探索一下門徒成長的心路歷程
[00:02:04.240 --> 00:02:08.240]  由疑惑到轉化是怎樣的呢?
[00:02:08.240 --> 00:02:12.240]  請大家一起同心的祈禱吧
[00:02:12.240 --> 00:02:18.240]  親愛的天父,很感謝你招聚我們一群你所愛的兒女來敬拜你
[00:02:18.240 --> 00:02:21.240]  懇求你讓我們同在
[00:02:21.240 --> 00:02:26.240]  讓聖靈給我們一顆渴慕主的心
[00:02:26.240 --> 00:02:29.240]  以致我們今天能夠看見上帝你的榮耀
[00:02:29.240 --> 00:02:32.240]  聽到上帝你的說話
