
[00:00:00.000 --> 00:00:03.000]  各位頂姐妹 各位朋友 早安
[00:00:03.000 --> 00:00:08.000]  很開心能夠在這裡跟大家分享神的說話
[00:00:08.000 --> 00:00:16.000]  也很感恩今天有部分的同工能夠在現場跟我們一起敬拜神
[00:00:16.000 --> 00:00:18.000]  我們很期望早日有實體的敬拜
[00:00:18.000 --> 00:00:23.000]  也告訴大家我們在恩福中心的19樓已經重開
[00:00:23.000 --> 00:00:25.000]  大家如果有室內運動場的使用
[00:00:25.000 --> 00:00:27.000]  也可以來到我們當中
[00:00:27.000 --> 00:00:29.000]  開始享受教會的設施
[00:00:29.000 --> 00:00:33.000]  今天我會跟大家分享的經文是
[00:00:33.000 --> 00:00:36.000]  《加拉太書》第一章一至十節
[00:00:36.000 --> 00:00:39.000]  首先我在這裡跟大家一起祈禱
[00:00:39.000 --> 00:00:40.000]  然後讀出這段經文
[00:00:40.000 --> 00:00:42.000]  主耶穌我們感謝祢
[00:00:42.000 --> 00:00:44.000]  祢自己在下寶貴的話語
[00:00:44.000 --> 00:00:46.000]  以致我們在每一個世代裡
[00:00:46.000 --> 00:00:48.000]  能夠平安的在祢裡面
[00:00:48.000 --> 00:00:50.000]  去面對每一個世代的挑戰
[00:00:50.000 --> 00:00:53.000]  求主祢的說話繼續安慰更新我們的心
[00:00:53.000 --> 00:00:55.000]  我們禱告奉耶穌基督的名而求
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:58.000 --> 00:01:01.000]  我想邀請大家可以找出聖經
[00:01:01.000 --> 00:01:04.000]  我用的是和合本修訂版
[00:01:04.000 --> 00:01:08.000]  在我們恩福APP裡也有這個聖經
[00:01:08.000 --> 00:01:09.000]  如果不是的話
[00:01:09.000 --> 00:01:10.000]  大家也可以在不同的地方
[00:01:10.000 --> 00:01:12.000]  或者在網上也找到
[00:01:12.000 --> 00:01:16.000]  我請大家可以跟我一起讀出這段經文
[00:01:16.000 --> 00:01:18.000]  《加拉太書》第一章第一節
[00:01:18.000 --> 00:01:22.000]  我使徒保羅和所有跟我一起的弟兄
[00:01:22.000 --> 00:01:25.000]  寫信給加拉太的宗教會
[00:01:25.000 --> 00:01:30.000]  我作使徒不是由於人也不是藉著人
[00:01:30.000 --> 00:01:32.000]  而是藉著耶穌基督
[00:01:32.000 --> 00:01:36.000]  與使他從死人中復活的父神
[00:01:36.000 --> 00:01:41.000]  願因平安從我們的父神和主耶穌基督
[00:01:41.000 --> 00:01:43.000]  歸給你們
[00:01:43.000 --> 00:01:46.000]  基督照我們父神的旨意
[00:01:46.000 --> 00:01:48.000]  為我們的罪捨己
[00:01:48.000 --> 00:01:53.000]  要救我們脫離現今這罪惡的世代
[00:01:53.000 --> 00:01:55.000]  願榮耀歸給神
[00:01:55.000 --> 00:01:57.000]  直到永永遠遠
[00:01:57.000 --> 00:01:59.000]  阿們
[00:01:59.000 --> 00:02:02.000]  我很驚訝你們這麼快就離開
[00:02:02.000 --> 00:02:07.000]  那位藉著基督之恩呼召你們的神
[00:02:07.000 --> 00:02:10.000]  而去隨從別的福音
[00:02:10.000 --> 00:02:13.000]  其實並沒有另一個福音
[00:02:13.000 --> 00:02:16.000]  不過有些人騷擾你們
[00:02:16.000 --> 00:02:19.000]  要把福音更改了
[00:02:19.000 --> 00:02:24.000]  但無論是我們或是天上來的使者
[00:02:24.000 --> 00:02:26.000]  若傳福音給你們
[00:02:26.000 --> 00:02:30.000]  與我們所傳給你們的不同
[00:02:30.000 --> 00:02:32.000]  他該受詛咒
[00:02:32.000 --> 00:02:34.000]  我已經說了
[00:02:34.000 --> 00:02:37.000]  現在我再說
[00:02:37.000 --> 00:02:40.000]  若有人傳福音給你們
[00:02:40.000 --> 00:02:43.000]  與你們所受的不同
[00:02:43.000 --> 00:02:45.000]  他該受詛咒
[00:02:45.000 --> 00:02:48.000]  我現在是要得人的心
[00:02:48.000 --> 00:02:51.000]  還是要得神的心呢?
[00:02:51.000 --> 00:02:54.000]  難道我再討人的喜歡嗎?
[00:02:54.000 --> 00:02:58.000]  若仍想討人的喜歡
[00:02:58.000 --> 00:03:01.000]  我就不是基督的僕人了
[00:03:01.000 --> 00:03:03.000]  今早回來的時候
[00:03:03.000 --> 00:03:06.000]  車經過荔枝角收押所
[00:03:06.000 --> 00:03:08.000]  看到很大群的記者
[00:03:08.000 --> 00:03:10.000]  已經在收押所對面
[00:03:10.000 --> 00:03:12.000]  七點多已經在等候
[00:03:12.000 --> 00:03:15.000]  我相信這星期
[00:03:15.000 --> 00:03:18.000]  47位香港人被控訴的案件
[00:03:18.000 --> 00:03:20.000]  牽動著香港人的心
[00:03:20.000 --> 00:03:22.000]  在2019年
[00:03:22.000 --> 00:03:25.000]  哈佛學者李維之基和齊布拉特
[00:03:25.000 --> 00:03:26.000]  編了一本書
[00:03:26.000 --> 00:03:29.000]  《民主國家如何死亡?
[00:03:29.000 --> 00:03:32.000]  歷史所揭示的我們的未來》
[00:03:32.000 --> 00:03:33.000]  是一本很長的書名
[00:03:33.000 --> 00:03:36.000]  書中指出現代社會
[00:03:36.000 --> 00:03:38.000]  不再重視民主
[00:03:38.000 --> 00:03:40.000]  藉以建立的規矩
[00:03:40.000 --> 00:03:43.000]  以至民主一步步步步向死亡
[00:03:43.000 --> 00:03:45.000]  特別是他提到
[00:03:45.000 --> 00:03:47.000]  在奧巴馬年代
[00:03:47.000 --> 00:03:50.000]  當他們提議大法官的時候
[00:03:50.000 --> 00:03:53.000]  居然政黨之間是黨同伐異
[00:03:53.000 --> 00:03:55.000]  大家不再按規矩而行
[00:03:55.000 --> 00:03:57.000]  書中提到民主的基礎
[00:03:57.000 --> 00:03:59.000]  就是包容和合作
[00:03:59.000 --> 00:04:00.000]  但現今的世界
[00:04:00.000 --> 00:04:02.000]  一路步向單邊主義
[00:04:02.000 --> 00:04:03.000]  就算是一個民主國家
[00:04:03.000 --> 00:04:06.000]  國內的政黨都很難互相包容
[00:04:06.000 --> 00:04:08.000]  只見互相攻擊
[00:04:08.000 --> 00:04:10.000]  我們看到無論是美國的特朗普
[00:04:10.000 --> 00:04:11.000]  到俄國的普京
[00:04:11.000 --> 00:04:14.000]  他們都可以在憲法的權限下
[00:04:14.000 --> 00:04:19.000]  不斷破壞民主的相容和合作的根基
[00:04:19.000 --> 00:04:20.000]  過去一兩年
[00:04:20.000 --> 00:04:22.000]  我們看到不單止美國和俄國
