
[00:00:00.000 --> 00:00:02.880]  各位電影姐妹,午安
[00:00:02.880 --> 00:00:06.800]  嘩,看看
[00:00:06.800 --> 00:00:10.200]  有些說話的,即是認識我
[00:00:10.200 --> 00:00:13.000]  不說的話的,應該也不認識我
[00:00:13.000 --> 00:00:16.440]  先介紹一下我自己,我是陳沛浩傳道
[00:00:16.440 --> 00:00:19.380]  通常大家叫我阿Ho
[00:00:19.380 --> 00:00:21.640]  或者叫我Ho傳道
[00:00:21.640 --> 00:00:25.000]  感謝神
[00:00:25.000 --> 00:00:27.580]  或者感謝靈峰
[00:00:27.580 --> 00:00:33.100]  在前幾個月,邀請我回來青少部分享訊息
[00:00:33.100 --> 00:00:35.160]  為什麼會回來呢?
[00:00:35.160 --> 00:00:37.980]  因為如果大家知道的話
[00:00:37.980 --> 00:00:41.000]  我曾經是青少部的
[00:00:41.000 --> 00:00:42.480]  很多年了
[00:00:42.480 --> 00:00:45.340]  我記得我上一次離開青少部的時候
[00:00:45.340 --> 00:00:46.840]  應該是20...
[00:00:46.840 --> 00:00:49.320]  2...嘩,這麼厲害
[00:00:49.320 --> 00:00:50.980]  說到我的去向
[00:00:50.980 --> 00:00:53.820]  是2021年離開了
[00:00:53.820 --> 00:00:55.880]  現在我去了哪裡呢?我去了...
[00:00:55.880 --> 00:00:57.080]  奇妙了
[00:00:57.080 --> 00:00:58.780]  我去了...
[00:00:58.780 --> 00:01:01.080]  以勒長者團契
[00:01:01.080 --> 00:01:02.620]  是,長者團契
[00:01:02.620 --> 00:01:03.740]  有沒有想過?
[00:01:03.740 --> 00:01:05.280]  我先說說我
[00:01:05.280 --> 00:01:07.380]  我在青少部很多年了
[00:01:07.380 --> 00:01:09.220]  我回來後很開心
[00:01:09.220 --> 00:01:13.260]  因為這個地方從開始的時候
[00:01:13.260 --> 00:01:14.540]  我已經在這裡了
[00:01:14.540 --> 00:01:16.540]  或者我見到Watchman的時候
[00:01:16.540 --> 00:01:17.880]  Watchman不知道在哪裡
[00:01:17.880 --> 00:01:20.540]  他很小的時候
[00:01:20.540 --> 00:01:23.160]  所以我回到青少部
[00:01:23.160 --> 00:01:25.780]  很有親切感,很溫暖
[00:01:25.780 --> 00:01:28.020]  我回說我去了長者團契
[00:01:28.020 --> 00:01:30.180]  長者團契和青少有什麼關係呢?
[00:01:30.180 --> 00:01:31.740]  應該沒有什麼關係
