
[00:00:00.000 --> 00:00:03.880]  神父我們繼續在《使徒行傳》系列裡
[00:00:03.880 --> 00:00:08.440]  一同思考如何在這個流散的世代
[00:00:08.440 --> 00:00:10.680]  去重拾使命
[00:00:10.680 --> 00:00:14.200]  亦需要知己又知彼
[00:00:14.200 --> 00:00:17.600]  在正道之先我們低頭一起做個禱告
[00:00:17.600 --> 00:00:26.600]  耶穌說:真是感謝祢
[00:00:26.600 --> 00:00:29.000]  我們愛是因為祢先愛我們
[00:00:29.000 --> 00:00:32.800]  否則祢來到這個世間
[00:00:32.800 --> 00:00:37.600]  為我們不可愛的人
[00:00:37.600 --> 00:00:39.600]  滿身醉污的人
[00:00:39.600 --> 00:00:45.200]  亦在迷茫迷失的人的羊
[00:00:45.200 --> 00:00:48.600]  不是祢首先成為一個贖罪劑
[00:00:48.600 --> 00:00:51.000]  我們今天仍然在黑暗裡
[00:00:51.000 --> 00:00:53.600]  仍然只是在自己的世界裡
[00:00:53.600 --> 00:00:55.200]  但主我感謝祢
[00:00:55.200 --> 00:00:57.800]  是祢來衝破一切障礙
[00:00:57.800 --> 00:01:04.200]  將神那份無比的愛打開
[00:01:04.200 --> 00:01:07.800]  讓我們能夠在理所定的日子
[00:01:07.800 --> 00:01:09.800]  真的在當中聽信福音
[00:01:09.800 --> 00:01:12.200]  去回轉去悔改
[00:01:12.200 --> 00:01:15.200]  也讓今天晚上我們一同聚集
[00:01:15.200 --> 00:01:16.400]  真的去敬拜
[00:01:16.400 --> 00:01:20.200]  願一切救恩榮耀歸給坐在寶座上的羔羊
[00:01:20.200 --> 00:01:23.800]  讓我們的心一同因你活著
[00:01:23.800 --> 00:01:27.000]  保守我們以下一切的宣講
[00:01:27.000 --> 00:01:28.200]  使講的聽的
[00:01:28.200 --> 00:01:30.600]  讓你的道建立我們的生命
[00:01:30.600 --> 00:01:31.800]  聽我們禱告
[00:01:31.800 --> 00:01:32.800]  奉主明求
[00:01:32.800 --> 00:01:33.800]  阿們
[00:01:33.800 --> 00:01:39.000]  今晚的講題是我給了
[00:01:39.000 --> 00:01:44.000]  是生是死都成就他的故事
[00:01:44.000 --> 00:01:46.800]  這是說他的故事
[00:01:46.800 --> 00:01:48.800]  給大家一個引子
[00:01:48.800 --> 00:01:52.400]  引子就是這個
[00:01:52.400 --> 00:01:54.400]  你看到什麼呢?
[00:01:55.800 --> 00:01:57.600]  說他的故事
[00:01:57.600 --> 00:02:00.200]  我們要謙卑才能去到那個位置
