
[00:00:00.000 --> 00:00:03.000]  剛才Briar問了我們一個問題
[00:00:03.000 --> 00:00:05.300]  我們收藏了什麼
[00:00:05.300 --> 00:00:07.900]  我們收藏了什麼在神面前
[00:00:07.900 --> 00:00:10.400]  願意我們繼續延續這個思考
[00:00:10.400 --> 00:00:13.600]  也很感恩在詩歌裡面讓我們體會到
[00:00:13.600 --> 00:00:15.600]  耶穌就是我們的避難所
[00:00:15.600 --> 00:00:16.300]  沒錯
[00:00:16.300 --> 00:00:18.800]  我們可以藏在祂的翅膀的任下
[00:00:18.800 --> 00:00:21.000]  無論我們生命裡面收藏了什麼
[00:00:21.000 --> 00:00:25.400]  但是藏在耶穌的翅膀任下
[00:00:25.400 --> 00:00:27.000]  我們神的翅膀任下
[00:00:27.000 --> 00:00:29.000]  是最穩妥、最安全的
[00:00:29.400 --> 00:00:30.800]  很感恩今天
[00:00:30.800 --> 00:00:32.800]  我介紹自己是在E-Div傳道
[00:00:32.800 --> 00:00:36.800]  很感恩今天有機會跟大家分享神的話
[00:00:36.800 --> 00:00:40.400]  我們首先進入講道之前
[00:00:40.400 --> 00:00:41.600]  讓大家看一幅圖
[00:00:41.600 --> 00:00:42.800]  大家看到什麼呢?
[00:00:42.800 --> 00:00:48.600]  無論在敬拜或者預備今天的講道的時候
[00:00:48.600 --> 00:00:49.800]  我自己就
[00:00:49.800 --> 00:00:53.800]  其實看到生命裡面有很多框框
[00:00:53.800 --> 00:00:57.400]  無論是好的框框、好的界線
[00:00:57.600 --> 00:01:01.000]  或者是一些保護我的界線也好
[00:01:01.000 --> 00:01:04.600]  或者是好像是框著自己的界線也好
[00:01:04.600 --> 00:01:07.200]  無論是時間、精神
[00:01:07.200 --> 00:01:10.600]  或者是金錢各方面
[00:01:10.600 --> 00:01:12.400]  或者可能你的才幹
[00:01:12.400 --> 00:01:14.000]  不能伸展
[00:01:14.000 --> 00:01:16.600]  這些都是我們的框框
[00:01:16.600 --> 00:01:19.800]  我不知道在近來的生命裡面
[00:01:19.800 --> 00:01:22.000]  神讓你看到你有什麼框框
[00:01:22.000 --> 00:01:23.600]  會不會是你的過去呢?
[00:01:23.600 --> 00:01:25.400]  會不會是你的工作呢?
[00:01:25.400 --> 00:01:27.000]  會不會是你的夢想呢?
[00:01:27.200 --> 00:01:29.000]  或者是你的家人呢?
[00:01:29.000 --> 00:01:30.000]  或者等等
[00:01:30.000 --> 00:01:33.000]  這些種種我都稱之為限制
[00:01:33.000 --> 00:01:35.800]  面對限制的時候
[00:01:35.800 --> 00:01:38.000]  我們怎麼去回應呢?
[00:01:38.000 --> 00:01:40.400]  還是我們有沒有很主動
[00:01:40.400 --> 00:01:42.600]  很刻意地去回應呢?
[00:01:42.600 --> 00:01:46.000]  我想這一點就是很想邀請大家
[00:01:46.000 --> 00:01:49.000]  在今天一起進入經文
[00:01:49.000 --> 00:01:52.000]  讓聖靈親自跟我們每一個人說話
[00:01:52.000 --> 00:01:54.400]  讓聖靈挑戰我們
[00:01:54.400 --> 00:01:56.600]  在我們的框框裡面
[00:01:56.600 --> 00:01:58.400]  我們要怎麼活著
[00:01:58.400 --> 00:02:00.000]  我看到一個需要
[00:02:00.000 --> 00:02:01.600]  我看到一個需要
[00:02:01.600 --> 00:02:03.200]  特別是在這個時代
[00:02:03.200 --> 00:02:06.000]  跟隨著耶穌的弟兄姊妹
[00:02:06.000 --> 00:02:08.200]  我們需要什麼呢?
[00:02:08.200 --> 00:02:09.000]  這麼粗小
[00:02:09.000 --> 00:02:12.600]  我們需要很刻意地去活著
[00:02:12.600 --> 00:02:14.600]  我記得讀神學的時候
[00:02:14.600 --> 00:02:17.000]  我的鄰居很喜歡說話
[00:02:17.000 --> 00:02:18.200]  每次看到我
[00:02:18.200 --> 00:02:19.200]  都跟我說
[00:02:19.200 --> 00:02:20.600]  他見證了
[00:02:20.600 --> 00:02:22.200]  今天去了哪裡講道
[00:02:22.200 --> 00:02:23.000]  怎樣怎樣
[00:02:23.000 --> 00:02:24.400]  然後說其實我心裡
[00:02:24.400 --> 00:02:26.000]  我只是想洗衣服而已
[00:02:26.000 --> 00:02:27.800]  我只是想處理家務
[00:02:27.800 --> 00:02:28.800]  你不要再跟他說
[00:02:28.800 --> 00:02:31.000]  他永遠都在總額內說話
[00:02:31.000 --> 00:02:32.800]  可以不停地在電梯上說
[00:02:32.800 --> 00:02:34.200]  到我們離開的那天
[00:02:34.200 --> 00:02:35.600]  他也是跟我們祈禱什麼的
[00:02:35.600 --> 00:02:37.200]  但是他說了一件事
[00:02:37.200 --> 00:02:38.200]  在四年裡面
[00:02:38.200 --> 00:02:39.000]  我是很深刻
[00:02:39.000 --> 00:02:40.800]  intentionality
[00:02:40.800 --> 00:02:41.200]  Edith
[00:02:41.200 --> 00:02:41.800]  他說
[00:02:41.800 --> 00:02:43.600]  你要刻意地去活著
[00:02:43.600 --> 00:02:45.200]  刻意活著
[00:02:45.200 --> 00:02:47.400]  我說其實我每天都會起床
[00:02:47.400 --> 00:02:48.600]  刷牙洗臉
[00:02:48.600 --> 00:02:49.800]  也是
