
[00:00:00.000 --> 00:00:06.000]  今天我們來聽聽保羅一段的福音性講章
[00:00:06.000 --> 00:00:11.000]  他在《士徒行傳》有很多記載他的事蹟
[00:00:11.000 --> 00:00:14.000]  但記載他傳福音的內容
[00:00:14.000 --> 00:00:17.000]  他實際講的內容原來不多
[00:00:17.000 --> 00:00:20.000]  第一次記載他傳福音的內容
[00:00:20.000 --> 00:00:22.000]  就是在第十四章
[00:00:22.000 --> 00:00:25.000]  那裏是他在路斯德傳福音
[00:00:25.000 --> 00:00:27.000]  大致是很簡短的三節
[00:00:27.000 --> 00:00:30.000]  但第二次就在第十七章
[00:00:30.000 --> 00:00:33.000]  在雅典這個很出名的文化大城市
[00:00:33.000 --> 00:00:36.000]  就很詳細的記載
[00:00:36.000 --> 00:00:40.000]  在那裏他見到很多追求哲學的人
[00:00:40.000 --> 00:00:43.000]  也見到滿天神佛
[00:00:43.000 --> 00:00:47.000]  在那裏他就詳細講了這是怎樣的福音
[00:00:47.000 --> 00:00:49.000]  這段經文很特別
[00:00:49.000 --> 00:00:53.000]  因為就算他在之後停留十八個月的哥林多
[00:00:53.000 --> 00:00:55.000]  甚至更長的爾忽所
[00:00:55.000 --> 00:00:57.000]  足足三年
[00:00:57.000 --> 00:01:01.000]  但路加都沒有記載他實際講了甚麼
[00:01:01.000 --> 00:01:03.000]  這裏就有詳細記載
[00:01:03.000 --> 00:01:07.000]  很值得我們生活在香港的人去認識一下
[00:01:07.000 --> 00:01:09.000]  我們一起讀今天的經文
[00:01:09.000 --> 00:01:12.000]  我們請弟兄姊妹輪流讀
[00:01:12.000 --> 00:01:14.000]  我們先請弟兄讀雙節
[00:01:14.000 --> 00:01:16.000]  姊妹讀單節
[00:01:16.000 --> 00:01:18.000]  預備起
[00:01:18.000 --> 00:01:22.000]  保羅站在阿勒巴古當中說
[00:01:22.000 --> 00:01:24.000]  諸位雅典人
[00:01:24.000 --> 00:01:27.000]  我看你們凡事懇敬畏神
[00:01:27.000 --> 00:01:28.000]  我看你們凡事懇敬畏神
[00:01:28.000 --> 00:01:30.000]  我看你們凡事懇敬畏神
[00:01:30.000 --> 00:01:32.000]  我看你們凡事懇敬畏神
[00:01:32.000 --> 00:01:34.000]  我看你們凡事懇敬畏神
[00:01:34.000 --> 00:01:36.000]  我看你們凡事懇敬畏神
[00:01:36.000 --> 00:01:38.000]  我看你們凡事懇敬畏神
[00:01:38.000 --> 00:01:40.000]  我看你們凡事懇敬畏神
[00:01:40.000 --> 00:01:42.000]  我看你們凡事懇敬畏神
[00:01:42.000 --> 00:01:44.000]  我看你們凡事懇敬畏神
[00:01:44.000 --> 00:01:46.000]  我看你們凡事懇敬畏神
[00:01:46.000 --> 00:01:48.000]  我看你們凡事懇敬畏神
[00:01:48.000 --> 00:01:50.000]  我看你們凡事懇敬畏神
[00:01:50.000 --> 00:01:52.000]  我看你們凡事懇敬畏神
[00:01:52.000 --> 00:01:54.000]  我看你們凡事懇敬畏神
[00:01:54.000 --> 00:01:56.000]  我看你們凡事懇敬畏神
[00:01:56.000 --> 00:01:58.000]  我看你們凡事懇敬畏神
[00:01:58.000 --> 00:02:00.000]  我看你們凡事懇敬畏神
[00:02:00.000 --> 00:02:02.000]  我看你們凡事懇敬畏神
[00:02:02.000 --> 00:02:04.000]  我看你們凡事懇敬畏神
[00:02:04.000 --> 00:02:06.000]  我看你們凡事懇敬畏神
[00:02:06.000 --> 00:02:08.000]  我看你們凡事懇敬畏神
[00:02:08.000 --> 00:02:10.000]  我看你們凡事懇敬畏神
[00:02:10.000 --> 00:02:12.000]  我看你們凡事懇敬畏神
[00:02:12.000 --> 00:02:14.000]  我看你們凡事懇敬畏神
[00:02:14.000 --> 00:02:16.000]  我看你們凡事懇敬畏神
[00:02:16.000 --> 00:02:18.000]  我看你們凡事懇敬畏神
[00:02:18.000 --> 00:02:20.000]  我看你們凡事懇敬畏神
[00:02:20.000 --> 00:02:22.000]  我看你們凡事懇敬畏神
[00:02:22.000 --> 00:02:24.000]  我看你們凡事懇敬畏神
[00:02:24.000 --> 00:02:26.000]  我看你們凡事懇敬畏神
[00:02:26.000 --> 00:02:28.000]  我看你們凡事懇敬畏神
