
[00:00:00.000 --> 00:00:04.000]  請聽聖經的說話
[00:00:04.000 --> 00:00:07.500]  當那一天 耶穌從房子裡出來
[00:00:07.500 --> 00:00:12.000]  坐在海邊 有許多人到他那裡聚集
[00:00:12.000 --> 00:00:17.000]  他只得上船坐下 眾人都站在岸上
[00:00:17.000 --> 00:00:21.000]  他用比喻對他們說許多道理 說
[00:00:21.000 --> 00:00:24.000]  有一個殺種的出去殺種
[00:00:24.000 --> 00:00:27.000]  殺的時候有落在路旁的
[00:00:27.000 --> 00:00:29.000]  飛了來吃盡了
[00:00:29.000 --> 00:00:31.500]  有落在土淺石頭地上的
[00:00:31.500 --> 00:00:34.500]  土忌不深 發苗最快
[00:00:34.500 --> 00:00:38.500]  日頭出來一曬 因為沒有根就枯乾了
[00:00:38.500 --> 00:00:40.500]  有落在荊棘裡的
[00:00:40.500 --> 00:00:43.500]  荊棘長起來 把它擠住了
[00:00:43.500 --> 00:00:47.000]  又有落在好土裡的 就結實
[00:00:47.000 --> 00:00:51.000]  有一百倍的 有六十倍的 有三十倍的
[00:00:51.000 --> 00:00:54.000]  有二可聽的 就應當聽
[00:00:54.000 --> 00:00:58.000]  門徒進前來 問耶穌說
[00:00:58.000 --> 00:01:01.000]  對眾人說話 為什麼用比喻呢
[00:01:01.000 --> 00:01:03.000]  耶穌回答說
[00:01:03.000 --> 00:01:06.000]  因為天國的奧秘只叫你們知道
[00:01:06.000 --> 00:01:08.000]  不叫他們知道
[00:01:08.000 --> 00:01:11.000]  凡有的還要加給他 叫他有餘
[00:01:11.000 --> 00:01:15.000]  凡沒有的連他所有的也要奪去
[00:01:15.000 --> 00:01:17.000]  所以我用比喻對他們說
[00:01:17.000 --> 00:01:19.500]  是因為他們看也看不見
[00:01:19.500 --> 00:01:22.000]  聽也聽不見 也不明白
[00:01:22.000 --> 00:01:26.000]  在他們身上正應了以賽亞的預言說
[00:01:26.000 --> 00:01:29.000]  你們聽少聽見 卻不明白
[00:01:29.000 --> 00:01:32.000]  看少看見 卻不曉得
[00:01:32.000 --> 00:01:35.500]  因為這百姓由蒙了心 耳朵發沉
[00:01:35.500 --> 00:01:38.000]  眼睛閉著 恐怕眼睛看見
[00:01:38.000 --> 00:01:40.000]  耳朵聽見 心裡明白
[00:01:40.000 --> 00:01:43.000]  回轉過來 我就依字貪玩
[00:01:43.000 --> 00:01:45.500]  但你們的眼睛是有福的
[00:01:45.500 --> 00:01:47.000]  因為看見了
[00:01:47.000 --> 00:01:49.000]  你們的耳朵也是有福的
[00:01:49.000 --> 00:01:51.000]  因為聽見了
[00:01:51.000 --> 00:01:53.000]  我實在告訴你們
[00:01:53.000 --> 00:01:55.000]  從前有許多先知和義人
[00:01:55.000 --> 00:01:58.000]  要看你們所看的 卻沒有看見
[00:01:58.000 --> 00:02:01.000]  要聽你們所聽的 卻沒有聽見
[00:02:01.000 --> 00:02:07.000]  所以你們當聽者殺眾的比喻
[00:02:07.000 --> 00:02:10.000]  凡聽見天國道理不明白的
[00:02:10.000 --> 00:02:11.000]  眼角者就來
[00:02:11.000 --> 00:02:14.000]  把所殺在他心裡的奪了去
[00:02:14.000 --> 00:02:16.000]  這就是殺在路旁的了
[00:02:16.000 --> 00:02:18.000]  殺在石頭地上的
[00:02:18.000 --> 00:02:19.000]  就是人聽了道
[00:02:19.000 --> 00:02:21.000]  當下歡喜令愁
[00:02:21.000 --> 00:02:23.000]  只因心裡沒有根
[00:02:23.000 --> 00:02:25.000]  不過是暫時的
[00:02:25.000 --> 00:02:27.000]  及自以為道遭了患難
[00:02:27.000 --> 00:02:29.000]  或是受了迫迫
[00:02:29.000 --> 00:02:30.000]  立刻就跌倒了
[00:02:30.000 --> 00:02:32.000]  殺在荊棘裡的
