
[00:00:00.000 --> 00:00:06.360]  好,我想問大家在網上有沒有見過這句英文字呢?
[00:00:06.360 --> 00:00:08.360]  不如我們讀一次好嗎?
[00:00:08.360 --> 00:00:15.240]  The same kinds of rice provides for different kinds of people
[00:00:15.240 --> 00:00:17.720]  即是中文是什麼意思呀?
[00:00:17.720 --> 00:00:23.880]  嘩,你們真是很聰明呀,真是一樣米養八樣人呀
[00:00:23.880 --> 00:00:25.880]  那我問你們了
[00:00:25.880 --> 00:00:29.520]  有回應的,多謝你呀
[00:00:30.000 --> 00:00:34.480]  好,那我問你們,一個的信仰,同一個信仰裏面
[00:00:34.480 --> 00:00:37.920]  應該會不會有不同的人呢?
[00:00:37.920 --> 00:00:39.920]  會的呀?
[00:00:39.920 --> 00:00:41.920]  大家認為呢?
[00:00:41.920 --> 00:00:43.920]  哦,會呀,OK,好
[00:00:43.920 --> 00:00:48.200]  那所以呢,就解釋到為什麼我們有時會聽到那些人說
[00:00:48.200 --> 00:00:51.680]  我看到某某人呢,所以我信了耶穌
[00:00:51.680 --> 00:00:56.600]  不過呢,我看到某某人呢,我就很不想信耶穌
[00:00:56.600 --> 00:00:59.600]  我見到他呢,信耶穌就很難了
[00:00:59.600 --> 00:01:02.920]  我不信主,我比他盡好呀,這樣
[00:01:02.920 --> 00:01:04.920]  甚至你有沒有見過一些基督徒呀?
[00:01:04.920 --> 00:01:09.320]  你見到信了主之後呢,嘩,他越來越開朗
[00:01:09.320 --> 00:01:12.840]  越來越溫柔,好有愛心
[00:01:12.840 --> 00:01:15.920]  但是你發覺呢,有些基督徒呢
[00:01:15.920 --> 00:01:19.480]  你見到越信主,越討人厭
[00:01:19.480 --> 00:01:22.800]  會不會呀?覺得他是越差
[00:01:22.800 --> 00:01:26.000]  而且表面很好,很和善
[00:01:26.000 --> 00:01:28.480]  但他裏面呢,其實很假
[00:01:28.480 --> 00:01:31.480]  覺得他是仍然很自我,這樣東西
[00:01:31.480 --> 00:01:35.200]  所以呢,為什麼同一個的信仰
[00:01:35.200 --> 00:01:38.880]  會出現了這麼多不同類型的基督徒呢?
[00:01:38.880 --> 00:01:40.880]  關鍵是在哪裏?
[00:01:40.880 --> 00:01:44.880]  所以今天就和大家去看這一篇的信息
[00:01:44.880 --> 00:01:50.400]  在看這一篇信息的時候裏面呢,我們了解一下少少的背景
[00:01:50.400 --> 00:01:52.400]  我們一起讀,好嗎?
[00:01:52.400 --> 00:02:03.800]  當時有一大群人從加利利、底加坡尼、耶路撒冷、猶太、約旦河的東邊來跟從他
[00:02:03.800 --> 00:02:09.200]  耶穌看見這一群人,就上了山,坐下來
[00:02:09.200 --> 00:02:15.120]  門徒到他跟前來,他開口教導他們說
[00:02:15.120 --> 00:02:18.600]  在《馬太福音》裏面,五至七章裏面呢
[00:02:18.600 --> 00:02:25.000]  整段裏面都是在說耶穌很著名很出名的教導,就是登山補訓
[00:02:25.000 --> 00:02:30.000]  聽你們的回應,大家都是信了主很久了
[00:02:30.000 --> 00:02:35.400]  他是在對著很多人面前教訓那群門徒
[00:02:35.400 --> 00:02:37.600]  耶穌教導的對象是什麼?
[00:02:37.600 --> 00:02:40.200]  不是那群未信的猶太人
[00:02:40.200 --> 00:02:43.800]  而是那些是跟隨他的門徒
[00:02:43.800 --> 00:02:47.200]  可以引申到,即是今天是我們這一群
[00:02:47.200 --> 00:02:57.000]  坐在這裏來聽道,和願意跟隨神的人,你和我
[00:02:57.000 --> 00:03:00.600]  主耶穌在這個登山補訓裏面,他是在說
[00:03:00.600 --> 00:03:04.800]  如何進入天國的標準,和天國主文裏面
[00:03:04.800 --> 00:03:07.800]  他的行事為人的原則
[00:03:07.800 --> 00:03:12.200]  更加說他們的生命的品格、質素是要怎樣
