
[00:00:00.000 --> 00:00:01.000]  喂喂喂
[00:00:01.000 --> 00:00:04.000]  謝謝敬拜隊帶領我們去敬拜
[00:00:04.000 --> 00:00:07.000]  讓我們思想耶穌基督的愛
[00:00:07.000 --> 00:00:10.000]  同一時間我想都是很特別
[00:00:10.000 --> 00:00:13.000]  聖潔來做開始
[00:00:13.000 --> 00:00:17.000]  詩歌的結尾都是讓我們思想
[00:00:17.000 --> 00:00:19.000]  神是一個聖潔的神
[00:00:19.000 --> 00:00:22.000]  也盼望讓我們每一次敬拜都去思想
[00:00:22.000 --> 00:00:25.000]  其實我們怎樣去認識神更多呢
[00:00:25.000 --> 00:00:27.000]  這個也是我們一個學習
[00:00:27.000 --> 00:00:30.000]  今天你會看到沒有了一大排椅子
[00:00:30.000 --> 00:00:32.000]  因為今天大專組去了露營
[00:00:32.000 --> 00:00:37.000]  所以當你看看旁邊那個應該是高中
[00:00:37.000 --> 00:00:39.000]  可能有些就再大過高中
[00:00:39.000 --> 00:00:40.000]  是導師來的
[00:00:40.000 --> 00:00:42.000]  但有些大專組都知道沒有去
[00:00:42.000 --> 00:00:46.000]  很開心我們可以繼續聽神的話語
[00:00:46.000 --> 00:00:52.000]  這兩個月的閱題都是用轉化來做主題
[00:00:52.000 --> 00:00:55.000]  今天我想和大家分享一個詞語
[00:00:55.000 --> 00:00:57.000]  叫做「偽椰青」
[00:00:57.000 --> 00:01:01.000]  剛才有敬拜隊問我是否說關於椰青
[00:01:01.000 --> 00:01:02.000]  和有沒有關係
[00:01:02.000 --> 00:01:03.000]  是否食字
[00:01:03.000 --> 00:01:06.000]  我想說這個宣傳不是我弄的
[00:01:06.000 --> 00:01:07.000]  是心裡想的
[00:01:07.000 --> 00:01:12.000]  所以不會說關於飲用椰青
[00:01:12.000 --> 00:01:14.000]  這個字是怎樣來的呢
[00:01:14.000 --> 00:01:18.000]  是來自於偽文青
[00:01:18.000 --> 00:01:20.000]  當我們想起偽文青的時候
[00:01:20.000 --> 00:01:23.000]  我不知道你想起什麼想像
[00:01:23.000 --> 00:01:28.000]  可能你會想到一些很有文學氣息的人
[00:01:28.000 --> 00:01:29.000]  穿著衣服
[00:01:29.000 --> 00:01:31.000]  又很有文學氣息
[00:01:31.000 --> 00:01:35.000]  然後去一些很有感覺的咖啡店
[00:01:35.000 --> 00:01:40.000]  坐在窗口前拿著一本很有文學氣息的小說
[00:01:40.000 --> 00:01:42.000]  在那裡看
[00:01:42.000 --> 00:01:46.000]  但說到偽其實只有感覺
[00:01:46.000 --> 00:01:50.000]  可能在IG打卡拍照
[00:01:50.000 --> 00:01:54.000]  上網就說自己是文青
[00:01:54.000 --> 00:02:00.000]  好像IG上的東西和現實上都有一些落差
[00:02:00.000 --> 00:02:04.000]  偽椰青又是什麼呢
[00:02:04.000 --> 00:02:10.000]  很多人會形容椰青是跟隨耶穌的青年人或基督徒
[00:02:10.000 --> 00:02:13.000]  可能我們有時候也會這樣
[00:02:13.000 --> 00:02:17.000]  一個人我們很有準備每個星期上教會
[00:02:17.000 --> 00:02:21.000]  回教會的時候穿著準備回教會的裝備
[00:02:21.000 --> 00:02:23.000]  我不知道你想起的裝備是什麼
[00:02:23.000 --> 00:02:26.000]  很有感覺踏入恩福的門口
[00:02:26.000 --> 00:02:29.000]  很有感覺踏入崇拜
