
[00:00:00.000 --> 00:00:04.080]  前幾天大家都經歷了香港五百年一遇的什麼?
[00:00:04.080 --> 00:00:10.240]  黑雨,經歷了16個半小時被黑雨洗滌
[00:00:10.240 --> 00:00:12.800]  都很但願大家平安
[00:00:12.800 --> 00:00:17.400]  香港的確受到很多水浸的衝擊
[00:00:17.400 --> 00:00:19.720]  不知道大家印象中心在什麼地方?
[00:00:19.720 --> 00:00:26.120]  我心在黃大仙的地鐵站和商場
[00:00:26.120 --> 00:00:29.760]  看著那些水衝到地鐵站的樓梯
[00:00:29.760 --> 00:00:32.640]  令我想起當年年輕時看的《Titanic》
[00:00:32.640 --> 00:00:34.960]  那些水浸進來的狀況
[00:00:34.960 --> 00:00:36.760]  或者加州大地震
[00:00:36.760 --> 00:00:38.240]  其實開玩笑地說
[00:00:38.240 --> 00:00:40.720]  黃大仙廟裡面的黃大仙
[00:00:40.720 --> 00:00:42.720]  保不住他的地頭
[00:00:42.720 --> 00:00:47.400]  所以希望信黃大仙的朋友不要再迷信
[00:00:47.400 --> 00:00:49.680]  真的相信那個自己都沒有說自己是神仙
[00:00:49.680 --> 00:00:51.360]  那位叫黃大仙
[00:00:51.360 --> 00:00:53.200]  另外深刻的地方就是
[00:00:53.240 --> 00:00:56.480]  全港車流最多的海底隧道
[00:00:56.480 --> 00:00:58.960]  很多雨水衝進去
[00:00:58.960 --> 00:01:00.560]  當時市民拍到
[00:01:00.560 --> 00:01:01.960]  我想大家在電視都看到
[00:01:01.960 --> 00:01:03.400]  水高到椅子
[00:01:03.400 --> 00:01:06.000]  甚至有些水到車的一半
[00:01:06.000 --> 00:01:08.040]  市民看到這樣的狀況就覺得
[00:01:08.040 --> 00:01:11.360]  這條真的是海底隧道
[00:01:11.360 --> 00:01:15.600]  又或者好像海洋公園的衝鋒浪那樣
[00:01:15.600 --> 00:01:17.200]  甚至有司機看到
[00:01:17.200 --> 00:01:18.840]  現在不是在過洪水
[00:01:18.840 --> 00:01:21.640]  是在過紅海
[00:01:21.640 --> 00:01:23.640]  其實司機看到紅海
[00:01:23.640 --> 00:01:26.760]  應該需要聖經哪個歷史人物去幫幫忙
[00:01:26.760 --> 00:01:27.800]  摩西吧
[00:01:27.800 --> 00:01:29.800]  是去分紅海的
[00:01:29.800 --> 00:01:31.640]  今天我正道的經文
[00:01:31.640 --> 00:01:33.920]  的確是和摩西有關係的
[00:01:33.920 --> 00:01:35.560]  不過在這一刻我也很想歡迎
[00:01:35.560 --> 00:01:37.360]  第一次來到恩福堂
[00:01:37.360 --> 00:01:39.800]  參與崇拜的弟兄姊妹或者朋友
[00:01:39.800 --> 00:01:41.120]  你可不可以站起來
[00:01:41.120 --> 00:01:43.440]  讓我們用掌聲去歡迎你
[00:01:43.440 --> 00:01:45.040]  今天有沒有第一次來到
[00:01:45.040 --> 00:01:46.240]  我們當中的新朋友
[00:01:46.240 --> 00:01:46.920]  如果有的話
[00:01:46.920 --> 00:01:50.360]  站起來讓我們去掌聲歡迎你
[00:01:50.360 --> 00:01:52.360]  好 那裡有一位的
[00:01:52.360 --> 00:01:54.360]  歡迎啊歡迎
[00:01:54.360 --> 00:01:56.360]  好 樓上有沒有
