
[00:00:00.000 --> 00:00:09.000]  母親在家庭和孩子生活中都扮演非常重要的角色,相信大家都不會否認。
[00:00:09.000 --> 00:00:19.000]  作為一個媽媽,由懷孕開始到子女成長,當中所付出的心力精力努力,我想一點都不少。
[00:00:19.000 --> 00:00:25.000]  在當中,若果當了母親多年,我深信也會有很深的體會。
[00:00:25.000 --> 00:00:30.000]  如果是講聖經中的母親,你會即時想起哪一位?
[00:00:30.000 --> 00:00:36.000]  耶穌的母親瑪利亞,或者撒姆爾的母親哈娜。
[00:00:36.000 --> 00:00:42.000]  今早想跟大家分享另一個母親的故事,摩西的媽媽,大家知不知道她叫什麼名字?
[00:00:42.000 --> 00:00:46.000]  她很靜,約基別。
[00:00:46.000 --> 00:00:53.000]  在世人眼中,約基別是一位非常成功的媽媽,她一門三傑。
[00:00:53.000 --> 00:01:03.000]  她的兒女,無論是摩西、亞倫、米利安,都成為整個以色列民族,出埃及時代的偉大領袖,是神所縱容的人。
[00:01:03.000 --> 00:01:08.000]  相信這也是天下很多媽媽心中對兒女的期盼。
[00:01:08.000 --> 00:01:15.000]  出埃及的第一章記載摩西當時所處的一個很動盪的時代。
[00:01:15.000 --> 00:01:20.000]  當時以色列民族正在埃及做什麼?奴隸。
[00:01:20.000 --> 00:01:28.000]  然後埃及王擔心以色列人越來越強盛,以致影響他的勢力。
[00:01:28.000 --> 00:01:36.000]  所以法老王下命令要殺掉所有以色列人當中剛出生的男嬰。
[00:01:36.000 --> 00:01:42.000]  摩西就在這個動盪的時代出生,本來一出生就應該死的,
[00:01:42.000 --> 00:01:48.000]  但結局並不是這樣,是因為她媽媽的緣故,改寫了她的身。
[00:01:48.000 --> 00:01:55.000]  出埃及的二章一至十字不單記載了母親拯救兒子的經歷,
[00:01:55.000 --> 00:02:02.000]  更是神如何運用母親的愛來成就她偉大的計劃的見證。
[00:02:02.000 --> 00:02:06.000]  聖經沒有提及若幾別如何教導子女,
[00:02:06.000 --> 00:02:14.000]  而從摩西出生的經歷,我們看到若幾別展現了母愛非凡的幾方面,
[00:02:14.000 --> 00:02:18.000]  很值得我們學習。
[00:02:18.000 --> 00:02:26.000]  第一,就是她屬靈的眼光。請大家一起讀出埃及的二章一至二字。
[00:02:26.000 --> 00:02:32.000]  有一家家庭人娶了一個尼美女子為妻,
[00:02:32.000 --> 00:02:40.000]  那女人懷孕生一個見她俊未,就藏了她三個月。
[00:02:40.000 --> 00:02:44.000]  根據出埃及的六章二十至二十三字記載,
[00:02:44.000 --> 00:02:50.000]  亞倫的父親是暗蘭,母親是若幾別,姐姐是米尼暗。
[00:02:50.000 --> 00:02:56.000]  摩西是亞倫的弟弟,所以第一節的尼美女子是若幾別。
[00:02:56.000 --> 00:03:03.000]  第二節記載若幾別做了一個很冒險的行動,目的是要保留她兒子的性命。
[00:03:03.000 --> 00:03:08.000]  我們知道當時不將男嬰殺死已經是違法,
[00:03:08.000 --> 00:03:16.000]  還說將孩子留在身邊更加危險,一旦被發現違背皇命可以是死罪。
[00:03:16.000 --> 00:03:19.000]  為什麼若幾別這樣做呢?
[00:03:19.000 --> 00:03:26.000]  第二節講到那女人懷孕生了一個兒子,見她俊未。
[00:03:26.000 --> 00:03:31.000]  俊未這個字原文不只是一般的漂亮美麗,
[00:03:31.000 --> 00:03:38.000]  在《創世紀》第一章講到神創造天地萬物之後,一連幾次說神看著是好的。
[00:03:38.000 --> 00:03:43.000]  這裡的俊未和好是同一個字。
[00:03:43.000 --> 00:03:51.000]  若幾別從信心屬靈的眼光中,看見這個孩子神看是好,
[00:03:51.000 --> 00:03:58.000]  將來可以成為神美好的器皿,在孩子身上存著美好的盼望,
[00:03:58.000 --> 00:04:02.000]  從而將她收買起來。
[00:04:02.000 --> 00:04:06.000]  在在各位媽媽,你又如何看待你的子女?
[00:04:06.000 --> 00:04:12.000]  又或者當中的婆婆媽媽,你又如何看待你的孫子孫女?
[00:04:12.000 --> 00:04:15.000]  你又若幾別這份屬靈的眼光,
[00:04:15.000 --> 00:04:23.000]  看見他們是俊美,是可愛,是一個很有價值,是神會大大使用的人嗎?
[00:04:23.000 --> 00:04:29.000]  你又相信神在我們身上有祂美好的計劃和目的嗎?
[00:04:29.000 --> 00:04:34.000]  香港學生的學術成績不比世界其他地方差,
[00:04:34.000 --> 00:04:43.000]  但調查發現本地學生的自尊心評分是肥佬,低於國際標準。
[00:04:43.000 --> 00:04:52.000]  明光社生命及倫理研究中心曾經以問卷形式訪問過超過三千個小四到中五的學生,
[00:04:52.000 --> 00:04:59.000]  調查發現接近兩成的小學生和兩成半的中學生認為自己是失敗者。
[00:04:59.000 --> 00:05:03.000]  這是多年前的數據,我想現在不止。
[00:05:03.000 --> 00:05:10.000]  大部分學生的自尊感和父母正面負面的表達息息相關。
[00:05:10.000 --> 00:05:15.000]  子女如何看待自己,看自己是否有價值,
[00:05:15.000 --> 00:05:21.000]  往往是基於父母思想、評判如何看待他。
[00:05:21.000 --> 00:05:24.000]  而父母無條件的愛,
[00:05:24.000 --> 00:05:31.000]  父母的接納就是子女安全感、自信心、價值感的來源,
[00:05:31.000 --> 00:05:37.000]  也是讓孩子願意積極一點、做好一點、努力變得更好的一個動力。
[00:05:37.000 --> 00:05:40.000]  即是說,今天你的子女已經長大成人,
[00:05:40.000 --> 00:05:48.000]  父母的愛、肯定、鼓勵對他自己以及他的家庭仍然是一個很大的支持。
[00:05:48.000 --> 00:05:52.000]  我兒子一歲多,還是很嬰兒的時候,
[00:05:52.000 --> 00:05:58.000]  下個下午,他爸爸,即是我丈夫,哄他睡覺,
[00:05:58.000 --> 00:06:02.000]  突然間,丈夫有一種很特別的感動,
[00:06:02.000 --> 00:06:05.000]  甚至給他一種啟示,
[00:06:05.000 --> 00:06:07.000]  「我很喜歡這個兒子。」
[00:06:07.000 --> 00:06:13.000]  丈夫這個領袖,由兒子嬰兒到今天十九歲,
[00:06:13.000 --> 00:06:17.000]  成為我和丈夫很大的支持、安慰、盼望。
[00:06:17.000 --> 00:06:22.000]  是讓我們看孩子乖不乖、聽不聽話、
[00:06:22.000 --> 00:06:25.000]  天知好或壞、將來有沒有成就,
[00:06:25.000 --> 00:06:28.000]  甚至他有多令我們傷心、失望、擔心也好,
[00:06:28.000 --> 00:06:32.000]  神仍然愛他,看他美好。
