
[00:00:00.000 --> 00:00:04.040]  好,謝謝敬拜隊帶我們一起去敬拜
[00:00:04.040 --> 00:00:06.240]  敬拜之後有兩個體會
[00:00:06.240 --> 00:00:07.520]  第一個體會是甚麼呢?
[00:00:07.520 --> 00:00:10.400]  就是我今天Huber帶得很好
[00:00:10.400 --> 00:00:13.280]  有時我們敬拜
[00:00:13.280 --> 00:00:15.360]  我們很多時候都會想
[00:00:15.360 --> 00:00:17.480]  師哥跟我們有甚麼共鳴
[00:00:17.480 --> 00:00:19.600]  但是敬拜隊帶我們的時候
[00:00:19.600 --> 00:00:20.920]  我覺得有多一個體會
[00:00:20.920 --> 00:00:24.040]  就是他今天說了很多宣告
[00:00:24.040 --> 00:00:25.640]  即是神是怎樣的神
[00:00:25.640 --> 00:00:28.200]  有時我們敬拜都很重要
[00:00:28.200 --> 00:00:30.200]  我們要記得的是我們透過敬拜
[00:00:30.200 --> 00:00:33.040]  我們知道神是怎樣的神
[00:00:33.040 --> 00:00:34.200]  其實對我們來說
[00:00:34.200 --> 00:00:38.280]  當我們回到生活中同樣面對困境的時候
[00:00:38.280 --> 00:00:40.200]  我們知道這些宣告
[00:00:40.200 --> 00:00:41.680]  我們認識神的屬性
[00:00:41.680 --> 00:00:42.880]  其實對於我們來說
[00:00:42.880 --> 00:00:44.280]  我們面對困難
[00:00:44.280 --> 00:00:47.280]  其實對我們來說是一個很大的提醒
[00:00:47.280 --> 00:00:49.320]  第二個體會是甚麼呢?
[00:00:49.320 --> 00:00:51.600]  就是剛剛這幾個星期
[00:00:51.600 --> 00:00:57.160]  我代表教會和幾個同工去了其他地方開會
[00:00:57.160 --> 00:00:59.080]  我很深的體會
[00:00:59.080 --> 00:01:00.080]  今天發現
[00:01:00.080 --> 00:01:02.320]  因為剛剛這幾天唱了很多普通話歌
[00:01:02.320 --> 00:01:04.800]  而旁邊的全部都是比較年長的目者
[00:01:04.800 --> 00:01:07.400]  即是大家唱的聲音都比較老奴
[00:01:07.400 --> 00:01:10.320]  今天聽到大家一起去敬拜的時候
[00:01:10.320 --> 00:01:13.080]  覺得唱廣東話歌和一起大聲唱
[00:01:13.080 --> 00:01:14.760]  又年輕又覺得很親切
[00:01:14.760 --> 00:01:18.320]  所以這個就是我剛才敬拜的兩個體會
[00:01:18.320 --> 00:01:19.200]  我不說那麼多了
[00:01:19.200 --> 00:01:20.600]  因為今天不是我能說的
[00:01:20.600 --> 00:01:24.600]  今天我想來歡迎Rex穆斯甸
[00:01:24.600 --> 00:01:27.080]  今天會在我們當中分享訊息
[00:01:27.080 --> 00:01:29.600]  這幾天我和他正正相處了很多
[00:01:29.600 --> 00:01:32.800]  追回我這五年來恩福的進度
[00:01:32.800 --> 00:01:34.240]  可以和他聊天
[00:01:34.240 --> 00:01:35.680]  今天很特別
[00:01:35.680 --> 00:01:38.280]  因為這兩天是教會的猜拳主人
[00:01:38.280 --> 00:01:40.920]  他今天只說一字的經文
[00:01:40.920 --> 00:01:43.120]  我們給他掌聲歡迎他
