
[00:00:00.000 --> 00:00:05.320]  大家好,今天又是一個很特別的日子
[00:00:05.320 --> 00:00:08.320]  一會兒會提一下為什麼會這麼特別
[00:00:08.320 --> 00:00:13.800]  我今天會講一篇信息是來自約翰福音15章
[00:00:13.800 --> 00:00:18.360]  我給的題目是給我結果子的理由
[00:00:18.360 --> 00:00:23.080]  我跟朋友分享,他說你都很囂張
[00:00:23.080 --> 00:00:26.280]  我就不敢問神這個問題
[00:00:26.280 --> 00:00:31.520]  不知道大家有沒有問過我為什麼要給我結果子的理由
[00:00:31.520 --> 00:00:40.360]  因為我們有選擇可以去選擇或做決定
[00:00:40.360 --> 00:00:43.880]  先問你一條問題
[00:00:43.880 --> 00:00:46.880]  我們去下一個圖
[00:00:46.880 --> 00:00:48.880]  出了沒有
[00:00:48.880 --> 00:00:57.720]  如果有位坐的話,你會選擇什麼位?
[00:00:57.720 --> 00:01:00.440]  你會選擇中間嗎?
[00:01:00.440 --> 00:01:02.000]  通常會怎樣?
[00:01:02.000 --> 00:01:04.440]  一走過去,兩邊先
[00:01:04.440 --> 00:01:06.920]  那些是什麼位?最好的位
[00:01:06.920 --> 00:01:10.440]  二出二入,最少會被人夾住
[00:01:10.440 --> 00:01:14.200]  所以我們都會有選擇
[00:01:14.200 --> 00:01:17.720]  我們會有選擇,有決定的時候
[00:01:17.720 --> 00:01:25.600]  上星期三,我第一次坐地鐵去黃埔站
[00:01:25.600 --> 00:01:27.600]  大家有沒有去過黃埔站
[00:01:27.600 --> 00:01:31.680]  現在地鐵真的很方便,四通八達
[00:01:31.680 --> 00:01:33.680]  為什麼我會去黃埔站呢?
[00:01:33.680 --> 00:01:39.280]  因為上星期三快要復活節
[00:01:39.280 --> 00:01:47.080]  我團體阿加皮選擇了去一個預俯期前的聚會
[00:01:47.080 --> 00:01:53.800]  其實快要四十天的預俯期已經開始了
[00:01:53.800 --> 00:01:59.240]  今天也是預俯期第一個的主日
[00:01:59.240 --> 00:02:04.760]  所以我今天選了一篇經文
[00:02:04.760 --> 00:02:11.200]  都是關於耶穌基督最後晚餐的敘述
[00:02:11.200 --> 00:02:13.840]  今天看的是約翰福音
[00:02:13.840 --> 00:02:19.680]  其實約翰福音比其他福音書有些特色
[00:02:19.680 --> 00:02:23.760]  例如最後晚餐這十五章
[00:02:23.760 --> 00:02:26.160]  他跟其他福音書不同
[00:02:26.160 --> 00:02:34.560]  今天的經文主要是耶穌基督最後晚餐前的最後一篇講道
[00:02:34.560 --> 00:02:36.240]  特別的地方是什麼呢?
[00:02:36.240 --> 00:02:39.240]  如果我們看其他的婦女福音
[00:02:39.240 --> 00:02:41.480]  馬太、馬可、路加
[00:02:41.480 --> 00:02:44.560]  耶穌基督設立最後晚餐的時候
[00:02:44.560 --> 00:02:45.200]  他會怎樣呢?
[00:02:45.200 --> 00:02:47.400]  他會抹餅喝杯
[00:02:47.400 --> 00:02:50.240]  就像上星期的守聖餐
[00:02:50.240 --> 00:02:55.200]  然而約翰福音沒有記載這件事
[00:02:55.200 --> 00:02:59.560]  反而記載了他去講道
[00:02:59.560 --> 00:03:01.160]  為什麼會這樣呢?
[00:03:01.160 --> 00:03:08.160]  因為其他福音書可能會比較多講天國、神國的比喻
[00:03:08.160 --> 00:03:15.280]  但約翰福音很強調耶穌是誰
[00:03:15.280 --> 00:03:19.560]  在約翰福音有一個特色
[00:03:19.560 --> 00:03:22.320]  就是耶穌會講很多「我是」
[00:03:22.320 --> 00:03:24.160]  不知道大家記不記得有多少個
[00:03:24.160 --> 00:03:26.040]  不過我們一會兒再講
[00:03:26.040 --> 00:03:29.800]  所以約翰福音有一個特色
[00:03:29.800 --> 00:03:32.640]  為什麼要講耶穌「我是」
[00:03:32.640 --> 00:03:38.240]  因為他很想揭示耶穌基督的神聖
[00:03:38.240 --> 00:03:42.040]  和他和信徒之間的關係
[00:03:42.040 --> 00:03:45.440]  耶穌基督在這裡強調「我是誰」
[00:03:45.440 --> 00:03:50.440]  亦強調了他和門徒之間的關係
[00:03:50.440 --> 00:03:53.720]  約翰在這本書中講道
[00:03:53.720 --> 00:03:55.880]  在約翰福音中
[00:03:55.880 --> 00:03:58.960]  他針對門徒和耶穌之間的關係
[00:03:58.960 --> 00:04:01.520]  所以今天我們看最後晚餐的講道
[00:04:01.520 --> 00:04:03.840]  亦反映了這個特色
[00:04:03.840 --> 00:04:09.120]  最後晚餐的道由十三章開始
[00:04:09.120 --> 00:04:10.400]  到十七章
[00:04:10.400 --> 00:04:13.400]  今天我們看第十五章
[00:04:13.400 --> 00:04:15.600]  就在道的中間
