
[00:00:00.000 --> 00:00:04.680]  今晚的講題是《起初的愛》
[00:00:04.680 --> 00:00:09.360]  經文是啟示錄二章一至七節
[00:00:09.360 --> 00:00:15.080]  不知道大家想起啟示錄的訊息是什麼
[00:00:15.080 --> 00:00:20.280]  通常是在受壓迫的處境下聽
[00:00:20.280 --> 00:00:22.400]  是更加有味道
[00:00:22.400 --> 00:00:26.640]  今日香港人都面對很大的壓力
[00:00:26.960 --> 00:00:32.000]  昨天剛好有個新聞是在荃灣凌晨時分
[00:00:32.000 --> 00:00:34.040]  有沒有看過這個新聞
[00:00:34.040 --> 00:00:37.280]  有一對男女在街上爭執
[00:00:37.280 --> 00:00:41.720]  女的很用力地一巴掌打男士
[00:00:41.720 --> 00:00:45.040]  而女的全裸地在街頭
[00:00:45.040 --> 00:00:46.480]  凌晨時分
[00:00:46.480 --> 00:00:49.320]  下面有很多留言
[00:00:49.320 --> 00:00:52.800]  男的不走即是多麼愛你
[00:00:53.800 --> 00:00:58.720]  都間中有不同奇怪的新聞在我們的城市發生
[00:00:58.720 --> 00:01:03.200]  讓我們看看一些統計和數據
[00:01:03.200 --> 00:01:08.200]  香港人的生活是怎樣呢
[00:01:08.200 --> 00:01:10.000]  有幾個指數
[00:01:10.000 --> 00:01:10.840]  有五個
[00:01:10.840 --> 00:01:12.640]  第一個是開心指數
[00:01:12.640 --> 00:01:14.400]  這個不看都不知道
[00:01:14.400 --> 00:01:16.480]  竟然是怎樣
[00:01:16.480 --> 00:01:19.280]  越來越低
[00:01:19.280 --> 00:01:21.440]  想不到
[00:01:21.440 --> 00:01:22.720]  比疫症之前還要低
[00:01:22.720 --> 00:01:24.880]  現在2024年都是上年的統計
[00:01:24.880 --> 00:01:26.680]  現在2025年公佈
[00:01:26.680 --> 00:01:28.040]  越來越低
[00:01:28.040 --> 00:01:29.960]  整體開心
[00:01:29.960 --> 00:01:32.960]  如果是全世界的幸福指數
[00:01:32.960 --> 00:01:34.880]  也是低了
[00:01:34.880 --> 00:01:35.880]  去到86
[00:01:35.880 --> 00:01:41.280]  但是抑鬱情緒的情況就高了
[00:01:41.280 --> 00:01:45.840]  這個又很特別
[00:01:45.840 --> 00:01:50.800]  外在的環境因素來說
[00:01:50.800 --> 00:01:56.440]  滿意度對經濟是極度不滿的
[00:01:56.440 --> 00:01:57.240]  香港人
[00:01:57.240 --> 00:02:00.680]  但是對宗教共融又很好
[00:02:00.680 --> 00:02:02.800]  這個現象很有趣
[00:02:02.800 --> 00:02:06.840]  在顯示一些數據給我們知道
[00:02:06.840 --> 00:02:09.640]  最後這個
[00:02:09.640 --> 00:02:11.280]  剛才有外在環境
[00:02:11.280 --> 00:02:13.680]  也有內在的心理指數
[00:02:13.680 --> 00:02:16.200]  在裡面
[00:02:16.200 --> 00:02:18.720]  一般香港人的價值觀是什麼
[00:02:18.960 --> 00:02:21.880]  有一個是很低分的
[00:02:21.880 --> 00:02:23.520]  誰最低分
[00:02:23.520 --> 00:02:24.920]  誠信
[00:02:24.920 --> 00:02:26.440]  很多人都覺得
[00:02:26.440 --> 00:02:28.720]  現在的人信不過
[00:02:28.720 --> 00:02:31.280]  戒心極重
[00:02:31.280 --> 00:02:33.120]  特別賣豬仔事件
[00:02:33.120 --> 00:02:34.320]  很多東西都出來了
[00:02:34.320 --> 00:02:35.600]  12個香港人
[00:02:35.600 --> 00:02:36.760]  3個出來
[00:02:36.760 --> 00:02:40.160]  另外9個好像還在研究中
[00:02:40.160 --> 00:02:43.800]  在尊重上也是最高分的
[00:02:43.800 --> 00:02:47.000]  我想會不會和宗教共融也有關係
[00:02:47.000 --> 00:02:47.640]  這麼有趣
[00:02:47.640 --> 00:02:49.080]  這個最高分
[00:02:49.080 --> 00:02:51.280]  但是那個這麼低分
[00:02:51.280 --> 00:02:52.840]  你看看旁邊那個
[00:02:52.840 --> 00:02:53.880]  他信不信得過
[00:02:53.880 --> 00:02:56.280]  信得過
[00:02:56.280 --> 00:02:57.520]  笑得這麼開心
[00:02:57.520 --> 00:03:05.040]  似乎啟示錄的信息都很適合我們聽
[00:03:05.040 --> 00:03:06.800]  當我看到這些數據的時候
[00:03:06.800 --> 00:03:10.360]  我們仍然是在一個這麼大的張力
[00:03:10.360 --> 00:03:11.080]  壓力
[00:03:11.080 --> 00:03:14.840]  或者一些外在內在的困擾下
[00:03:15.200 --> 00:03:17.200]  讓我們一起有個禱告
[00:03:17.200 --> 00:03:18.680]  請你和我們同心禱告
[00:03:18.680 --> 00:03:23.840]  主耶穌感謝你
[00:03:23.840 --> 00:03:25.360]  你住在我們心裡面
[00:03:25.360 --> 00:03:27.720]  你每一天都和我們同在
[00:03:27.720 --> 00:03:29.840]  你知道我們一切是警方
[00:03:29.840 --> 00:03:33.560]  你每一天都張開手等待我們
[00:03:33.560 --> 00:03:36.840]  讓我們都可以在你面前傾心討議
[00:03:36.840 --> 00:03:39.880]  只是可能我們放下了
[00:03:39.880 --> 00:03:40.680]  做了這個
[00:03:40.680 --> 00:03:41.280]  做了那個
[00:03:41.280 --> 00:03:41.840]  忘了這個
[00:03:41.840 --> 00:03:42.760]  忘了那個
[00:03:43.120 --> 00:03:45.120]  而冷落了你自己
[00:03:45.120 --> 00:03:47.000]  求你憐憫我們
[00:03:47.000 --> 00:03:50.320]  幫助我們能夠聽到你微細的聲音
[00:03:50.320 --> 00:03:54.840]  幫助我們也向你恢復這份起初的愛
[00:03:54.840 --> 00:03:58.160]  帶領我們一時之間進入你的經文
[00:03:58.160 --> 00:03:58.960]  聽我們禱告
[00:03:58.960 --> 00:03:59.760]  奉主命求
[00:03:59.760 --> 00:04:00.280]  阿們
[00:04:00.280 --> 00:04:04.880]  讓我們首先了解一下
[00:04:04.880 --> 00:04:06.680]  啟示錄是什麼來的
[00:04:06.680 --> 00:04:08.280]  很快告訴大家
[00:04:08.680 --> 00:04:15.960]  啟示錄裡面主要有三種的內容
[00:04:15.960 --> 00:04:17.960]  第一就是先知的信息
[00:04:17.960 --> 00:04:19.840]  第二就是啟示的文學
[00:04:19.840 --> 00:04:21.280]  第三就是一般的書信
[00:04:21.280 --> 00:04:25.160]  先知的信息告訴全世界
[00:04:25.160 --> 00:04:27.160]  記得有警告
[00:04:27.160 --> 00:04:28.480]  有提醒
[00:04:28.480 --> 00:04:30.440]  也有出路
[00:04:30.440 --> 00:04:32.120]  是嚴肅的
[00:04:32.120 --> 00:04:33.560]  這件事是對全世界說的
[00:04:33.560 --> 00:04:35.280]  聖經是對全人類說的
[00:04:35.280 --> 00:04:37.360]  第二是啟示文學
[00:04:37.600 --> 00:04:39.600]  啟示文學是說一個
[00:04:39.600 --> 00:04:42.280]  我們眼睛看不到的世界
[00:04:42.280 --> 00:04:43.920]  我們知道是天上的世界
[00:04:43.920 --> 00:04:45.000]  屬靈的向導
[00:04:45.000 --> 00:04:47.200]  有天上有地上的
[00:04:47.200 --> 00:04:49.600]  也在神的手裡
[00:04:49.600 --> 00:04:53.200]  終局已經定了
[00:04:53.200 --> 00:04:57.680]  這一個位置是我們人類無法扭轉改變
[00:04:57.680 --> 00:05:01.080]  而神就透過啟示文學的形式
[00:05:01.080 --> 00:05:02.000]  透過啟示錄
[00:05:02.000 --> 00:05:03.400]  去說了出來
[00:05:03.400 --> 00:05:07.400]  而是讓我們認定我們的盼望都是在乎他
[00:05:08.400 --> 00:05:10.000]  特別是在第一世紀的時候
[00:05:10.000 --> 00:05:12.320]  面對這麼高壓的情況下
[00:05:12.320 --> 00:05:13.800]  稍後會多說一點
[00:05:13.800 --> 00:05:15.000]  政治迫害
