
[00:00:00.000 --> 00:00:02.760]  感謝敬拜隊帶領師哥讓我們
[00:00:02.760 --> 00:00:04.600]  好像歌詞裡面所說
[00:00:04.600 --> 00:00:06.320]  「我要看見」
[00:00:06.320 --> 00:00:09.920]  也讓這個世代能夠看見神的榮耀
[00:00:09.920 --> 00:00:12.080]  頂智媒今天的崇拜講道
[00:00:12.080 --> 00:00:13.560]  將會繼續今年教會的主題
[00:00:13.560 --> 00:00:15.680]  就是「破繭的蛻變」
[00:00:15.680 --> 00:00:17.320]  我們會透過馬克福音
[00:00:17.320 --> 00:00:20.360]  學習讓真理轉化生命
[00:00:20.360 --> 00:00:23.960]  今天的講題就是「眼不能見的信心」
[00:00:23.960 --> 00:00:25.960]  上一次在這個系列裡面
[00:00:25.960 --> 00:00:28.240]  陳健諾牧師已經和我們在馬克福音
[00:00:28.240 --> 00:00:30.560]  第八章和第九章一同就著
[00:00:30.560 --> 00:00:33.480]  「門徒生命的再思」這個題目學習
[00:00:33.480 --> 00:00:34.680]  我不知道你們記不記得
[00:00:34.680 --> 00:00:37.280]  不過這個時候我們可以重溫一下
[00:00:37.280 --> 00:00:40.200]  究竟在第八章開始其實說些什麼呢?
[00:00:40.200 --> 00:00:42.760]  由第八章二十二節開始
[00:00:42.760 --> 00:00:46.520]  就是耶穌醫好了一個在白菜大的盲人
[00:00:46.520 --> 00:00:49.000]  然後有三次
[00:00:49.000 --> 00:00:53.680]  耶穌分別講到祂預言祂受難和復活
[00:00:53.680 --> 00:00:55.400]  然後去到最後
[00:00:55.400 --> 00:00:56.640]  就是今天的講道
[00:00:56.640 --> 00:00:58.840]  我們會講到耶穌怎樣醫好一個盲人
[00:00:58.840 --> 00:00:59.920]  叫做巴底邁
[00:00:59.920 --> 00:01:04.720]  可以說是首尾呼應兩個盲人得著醫治
[00:01:04.720 --> 00:01:05.600]  他們能夠見到
[00:01:05.600 --> 00:01:07.600]  中間有三次
[00:01:07.600 --> 00:01:10.520]  耶穌預言祂將會受難和復活
[00:01:10.520 --> 00:01:12.360]  這個是耶穌的使命
[00:01:12.360 --> 00:01:13.920]  祂要上耶路撒冷
[00:01:13.920 --> 00:01:15.840]  但是門徒似乎不太明白
[00:01:15.840 --> 00:01:17.680]  縱然講了三次
[00:01:17.680 --> 00:01:19.840]  我們先看一下門徒的反應
[00:01:19.840 --> 00:01:21.000]  第一次的時候
[00:01:21.000 --> 00:01:25.080]  當耶穌預言了祂將會去受死
