
[00:00:00.000 --> 00:00:09.000]  頂姐妹們, 祝大家新年第一個主日能夠經歷到神的恩典
[00:00:09.000 --> 00:00:15.000]  頂姐妹們, 我們今天要思想的經文
[00:00:15.000 --> 00:00:20.000]  記載在提摩太前書一章第一至十一節
[00:00:20.000 --> 00:00:23.000]  我們今天要思想的題目就是
[00:00:23.000 --> 00:00:27.000]  信仰是否只有「講」字呢?
[00:00:29.000 --> 00:00:34.000]  我想邀請大家待會一二節我會讀出
[00:00:34.000 --> 00:00:40.000]  第三至第七節兩張powerpoint請姐妹讀
[00:00:40.000 --> 00:00:42.000]  最後一張powerpoint請弟兄讀
[00:00:42.000 --> 00:00:44.000]  好, 預備好了嗎?
[00:00:44.000 --> 00:00:51.000]  提摩太前書一章一節
[00:00:51.000 --> 00:00:56.000]  奉我們救主神和我們盼望基督耶穌的命令
[00:00:56.000 --> 00:00:59.000]  作基督耶穌使徒的保羅
[00:00:59.000 --> 00:01:04.000]  寫信給我在信仰上的真兒子提摩太
[00:01:04.000 --> 00:01:11.000]  願父神和我們的主基督耶穌賜予你恩惠、憐憫、平安
[00:01:12.000 --> 00:01:14.000]  (廣東話)
[00:01:15.000 --> 00:01:17.000]  (廣東話)
[00:01:17.000 --> 00:01:19.000]  (廣東話)
[00:01:19.000 --> 00:01:21.000]  (廣東話)
[00:01:22.000 --> 00:01:24.000]  (廣東話)
[00:01:24.000 --> 00:01:26.000]  (廣東話)
[00:01:27.000 --> 00:01:29.000]  (廣東話)
[00:01:29.000 --> 00:01:31.000]  (廣東話)
[00:01:32.000 --> 00:01:34.000]  (廣東話)
[00:01:35.000 --> 00:01:37.000]  (廣東話)
[00:02:02.000 --> 00:02:04.000]  (廣東話)
[00:02:04.000 --> 00:02:06.000]  (廣東話)
[00:02:07.000 --> 00:02:09.000]  (廣東話)
[00:02:09.000 --> 00:02:16.000]  (廣東話)
[00:02:16.000 --> 00:02:22.000]  (廣東話)
[00:02:22.000 --> 00:02:30.000]  (廣東話)
[00:02:30.000 --> 00:02:32.000]  (廣東話)
[00:02:32.000 --> 00:02:44.000]  好,謝謝大家
[00:02:44.000 --> 00:02:46.000]  我們一起祈禱
[00:02:46.000 --> 00:02:48.000]  親愛的天父,我們謝謝你
[00:02:48.000 --> 00:02:51.000]  今天當我們回來教會
[00:02:51.000 --> 00:02:53.000]  或者我們帶著不同的心情
[00:02:53.000 --> 00:02:55.000]  神你是知道的
[00:02:55.000 --> 00:02:59.000]  願主將我們掛心的事情挪開
[00:02:59.000 --> 00:03:03.000]  讓我們將焦點放在耶穌基督的身上
[00:03:03.000 --> 00:03:07.000]  求真正的聖靈開啟我們的心
[00:03:07.000 --> 00:03:10.000]  好讓我們聽得見你的聲音
[00:03:10.000 --> 00:03:13.000]  奉耶穌基督得聖的名字祈求
[00:03:13.000 --> 00:03:14.000]  阿們
[00:03:14.000 --> 00:03:16.000]  弟兄姊妹
[00:03:16.000 --> 00:03:17.000]  我想問問大家
[00:03:17.000 --> 00:03:20.000]  你們都會逛街買東西
[00:03:20.000 --> 00:03:21.000]  除了網上之外
[00:03:21.000 --> 00:03:23.000]  你買東西的時候
[00:03:23.000 --> 00:03:26.000]  無論買衣服、買鞋、買電器
[00:03:26.000 --> 00:03:28.000]  如果你試完覺得OK
[00:03:28.000 --> 00:03:31.000]  那你會怎樣做呢?
[00:03:31.000 --> 00:03:33.000]  我心裡已經很想買
[00:03:33.000 --> 00:03:35.000]  但忍住那種興奮
[00:03:35.000 --> 00:03:38.000]  就會跟售貨員說
[00:03:38.000 --> 00:03:40.000]  「有新的嗎?」
[00:03:40.000 --> 00:03:43.000]  「你們會不會買?」
[00:03:43.000 --> 00:03:46.000]  有多少人自然都覺得滿意
[00:03:46.000 --> 00:03:48.000]  「有新的嗎?」
[00:03:48.000 --> 00:03:50.000]  「有多少人會這樣做?」
[00:03:50.000 --> 00:03:51.000]  很厲害
[00:03:51.000 --> 00:03:53.000]  大部分的人都會這樣做
[00:03:53.000 --> 00:03:55.000]  不過如果售貨員告訴你
[00:03:55.000 --> 00:03:59.000]  「小姐,只有手頭這件而已」
[00:03:59.000 --> 00:04:01.000]  「那你會買嗎?」
[00:04:01.000 --> 00:04:03.000]  「買都買吧」
[00:04:03.000 --> 00:04:06.000]  其實我不會買
[00:04:06.000 --> 00:04:08.000]  始終新的好
[00:04:08.000 --> 00:04:12.000]  原來在我們生活的細節裡
[00:04:12.000 --> 00:04:14.000]  我們對一些新的東西
[00:04:14.000 --> 00:04:17.000]  都會有一些熱切的期待
[00:04:17.000 --> 00:04:19.000]  我留意到一個情況
[00:04:19.000 --> 00:04:21.000]  對於外在的事情
[00:04:21.000 --> 00:04:24.000]  我們很容易有新的期待
[00:04:24.000 --> 00:04:26.000]  例如前陣子
[00:04:26.000 --> 00:04:29.000]  「阿龍又出生了」
[00:04:29.000 --> 00:04:35.000]  你不需要刻意地聽到
[00:04:35.000 --> 00:04:36.000]  知道
[00:04:36.000 --> 00:04:39.000]  但對於自己的內在情況
[00:04:39.000 --> 00:04:42.000]  例如「我最近發脾氣」
[00:04:42.000 --> 00:04:44.000]  「我又接他了」
[00:04:44.000 --> 00:04:46.000]  我不知道你會不會接他
[00:04:46.000 --> 00:04:48.000]  我們客氣一點
[00:04:48.000 --> 00:04:50.000]  我們現代人不斯文
[00:04:50.000 --> 00:04:52.000]  我們不會向對方發脾氣
[00:04:52.000 --> 00:04:54.000]  但會接他
[00:04:54.000 --> 00:04:56.000]  無論在心裡或是口裡
[00:04:56.000 --> 00:04:59.000]  這些時候我們都會忽略了
[00:04:59.000 --> 00:05:02.000]  我們對內在的成長
[00:05:02.000 --> 00:05:04.000]  有一些期待
