
[00:00:00.000 --> 00:00:04.720]  早前我相信不少弟兄姊妹應該正在看奧運的直播
[00:00:04.720 --> 00:00:06.720]  看得可能很沸騰
[00:00:06.720 --> 00:00:08.720]  不過那段時間我反而很少
[00:00:08.720 --> 00:00:10.720]  我不是經常看奧運
[00:00:10.720 --> 00:00:13.200]  我正在慢火煲一套劇集
[00:00:13.200 --> 00:00:18.640]  那套劇集是我很喜歡的導演王家衛的一套劇集
[00:00:18.640 --> 00:00:19.680]  叫《繁花》
[00:00:19.680 --> 00:00:21.200]  我不知道有沒有弟兄姊妹有看
[00:00:21.200 --> 00:00:23.200]  你舉舉手
[00:00:23.200 --> 00:00:24.800]  都有不少
[00:00:24.800 --> 00:00:27.840]  因為這套也不算是很熱門
[00:00:27.840 --> 00:00:31.840]  不是很容易上口的一套劇集
[00:00:31.840 --> 00:00:34.800]  我喜歡王家衛導演是因為他的作品
[00:00:34.800 --> 00:00:36.800]  經常用美學的鏡頭
[00:00:36.800 --> 00:00:38.320]  蒙太奇的手法
[00:00:38.320 --> 00:00:40.720]  即是他的敘事不是線性的
[00:00:40.720 --> 00:00:43.840]  要你在腦裏面通過不同的場景
[00:00:43.840 --> 00:00:46.320]  去建構那個時間觀
[00:00:46.320 --> 00:00:49.200]  不過他所有的作品大部分都表達
[00:00:49.200 --> 00:00:54.400]  對時光流逝之下那種慨嘆和無奈
[00:00:54.400 --> 00:00:57.680]  我喜歡《繁花》裏面有一句金句
[00:00:57.680 --> 00:01:00.160]  他說:時光如水
[00:01:00.160 --> 00:01:02.320]  將人同事帶離
[00:01:02.320 --> 00:01:05.520]  又一併帶走
[00:01:05.520 --> 00:01:08.640]  在這套戲裏面有很多小人物
[00:01:08.640 --> 00:01:11.440]  很努力很想成為大人物
[00:01:11.440 --> 00:01:16.080]  有些大人物在時勢改變之下被迫成為小人物
[00:01:16.080 --> 00:01:18.240]  也有些大人物當他做過大人物之後
[00:01:18.240 --> 00:01:20.400]  他覺得原來不過已
[00:01:20.400 --> 00:01:23.760]  又很想做回最初的小人物
[00:01:23.760 --> 00:01:26.160]  當中包括那位的主角
[00:01:26.160 --> 00:01:28.320]  讓我們看到時光流逝之後
[00:01:28.320 --> 00:01:29.600]  很多東西我們捉不實
[00:01:29.600 --> 00:01:30.880]  我特別喜歡這套劇集
[00:01:30.880 --> 00:01:34.800]  因為他用了很多九十年代的流行曲
[00:01:34.800 --> 00:01:37.040]  當中有一首我小時候很喜歡
[00:01:37.040 --> 00:01:38.960]  叫做《一生何求》
[00:01:38.960 --> 00:01:40.480]  裏面有一些歌詞
[00:01:40.480 --> 00:01:42.720]  不過放心吧 我不會唱出來
[00:01:42.720 --> 00:01:45.120]  我會讀幾句歌詞的
[00:01:45.120 --> 00:01:47.600]  裏面說到:冷暖那可休
[00:01:47.600 --> 00:01:50.400]  回頭多少個秋
