
[00:00:00.000 --> 00:00:02.640]  各位早晨 平安
[00:00:02.640 --> 00:00:04.760]  再一次能夠在大家當中
[00:00:04.760 --> 00:00:05.960]  以孫廣臣的話
[00:00:05.960 --> 00:00:07.680]  我們互相團契
[00:00:07.680 --> 00:00:11.000]  教會每月一次的亞國書講道系列
[00:00:11.000 --> 00:00:14.120]  就來到今日第三章的尾段
[00:00:14.120 --> 00:00:16.880]  一段是有關於智慧的經文
[00:00:16.880 --> 00:00:18.280]  講起智慧
[00:00:18.280 --> 00:00:20.200]  不知道大家覺得什麼是智慧呢
[00:00:20.200 --> 00:00:21.680]  如果要你用一兩句
[00:00:21.680 --> 00:00:23.600]  或者圖畫去想起智慧
[00:00:23.600 --> 00:00:25.440]  你會想起什麼
[00:00:25.440 --> 00:00:27.080]  智慧是
[00:00:27.080 --> 00:00:30.800]  又想想自己是不是一個智者呢
[00:00:30.800 --> 00:00:32.440]  又或者誰是
[00:00:32.440 --> 00:00:33.240]  在你心目中
[00:00:33.240 --> 00:00:35.320]  你覺得是最有智慧的人
[00:00:35.320 --> 00:00:37.360]  有沒有一個想或者一個樣子
[00:00:37.360 --> 00:00:39.360]  想得出來
[00:00:39.360 --> 00:00:42.600]  不如大家和隔壁的打個招呼
[00:00:42.600 --> 00:00:43.320]  分享半句
[00:00:43.320 --> 00:00:45.120]  你剛才腦裏想到的東西
[00:00:45.120 --> 00:00:47.360]  不用介意別人想什麼
[00:00:47.360 --> 00:00:50.560]  你說出來其實是幫自己明白神的話
[00:00:50.560 --> 00:00:52.800]  給大家幾秒
[00:00:56.240 --> 00:00:58.240]  嘩 真的很少聲音
[00:00:58.240 --> 00:01:00.920]  不知道大家想到或者聽到什麼
[00:01:00.920 --> 00:01:03.080]  當我知道自己要講這段經文的時候
[00:01:03.080 --> 00:01:03.640]  我問自己
[00:01:03.640 --> 00:01:05.880]  Ada 你知不知道什麼是智慧
[00:01:05.880 --> 00:01:08.280]  我的反應和剛才大家有點像
[00:01:08.280 --> 00:01:10.160]  都不知道該說什麼
[00:01:10.160 --> 00:01:11.960]  智慧好像很虛無
[00:01:11.960 --> 00:01:13.440]  好像很深奧
