
[00:00:00.000 --> 00:00:02.000]  各位頂子妹、各位朋友,早安!
[00:00:02.000 --> 00:00:05.000]  多謝敬拜隊帶領我們有這麼好的敬拜
[00:00:05.000 --> 00:00:10.000]  實在感謝神,今天能夠和大家實體見面
[00:00:10.000 --> 00:00:14.000]  剛才受方旋導說這是一件很得無比的事
[00:00:14.000 --> 00:00:18.000]  這也是上帝的保守,我們給上帝一點掌聲,好嗎?
[00:00:18.000 --> 00:00:27.000]  上帝創造我們是一個有血有肉、有身體有靈魂的生命
[00:00:27.000 --> 00:00:32.000]  我們的實體的存在是上帝創造我們實體去敬拜祂
[00:00:32.000 --> 00:00:36.000]  我們珍惜一次得一次的實體敬拜,好嗎?
[00:00:36.000 --> 00:00:43.000]  但容許我說,如果萬一日後又要回到網上
[00:00:43.000 --> 00:00:45.000]  大家也要準時網上參與敬拜
[00:00:45.000 --> 00:00:54.000]  這也是上帝給過我們,無論或信或逆都要堅持去敬拜主的人生
[00:00:54.000 --> 00:00:59.000]  自從2020年初開始,香港以至世界各地的教會聚會
[00:00:59.000 --> 00:01:03.000]  正如我剛才所說,都起了翻天覆地的變化
[00:01:03.000 --> 00:01:05.000]  紛紛停止實體聚會
[00:01:05.000 --> 00:01:13.000]  不少人指出因為失去實體的聚會,變得很多信徒都迷失
[00:01:13.000 --> 00:01:17.000]  過去可能由於很多其他原因加在一起
[00:01:17.000 --> 00:01:21.000]  弟兄姊妹彼此的關係都可能有點疏離
[00:01:21.000 --> 00:01:25.000]  現在,霎時間失去恆常實體聚會
[00:01:25.000 --> 00:01:35.000]  作為信仰生活的關鍵,不少弟兄姊妹更覺得跟神距離越來越遠
[00:01:35.000 --> 00:01:41.000]  所以教會很盼望在今年2021年的廣告系列中
[00:01:41.000 --> 00:01:45.000]  引進一個系列叫做「女神相遇」的主題
[00:01:45.000 --> 00:01:48.000]  讓我們一起去學習,去反省
