
[00:00:00.000 --> 00:00:02.720]  不知道大家是否記得
[00:00:02.720 --> 00:00:07.040]  或者有沒有聽過誰是壞了的人
[00:00:07.040 --> 00:00:09.040]  有沒有聽過
[00:00:09.040 --> 00:00:11.480]  有的
[00:00:11.480 --> 00:00:15.160]  幾年前曾經有一個歌星
[00:00:15.160 --> 00:00:17.240]  和一個明星
[00:00:17.240 --> 00:00:20.880]  在的士裡面出軌
[00:00:20.880 --> 00:00:22.680]  被人拍到
[00:00:22.680 --> 00:00:27.600]  最後當事人在記者會上是這麼說的
[00:00:27.880 --> 00:00:31.520]  他說我不知道如何再走以後的路
[00:00:31.520 --> 00:00:32.800]  這一刻
[00:00:32.800 --> 00:00:34.800]  我是沒有了靈魂
[00:00:34.800 --> 00:00:37.200]  我是一個壞了的人
[00:00:37.200 --> 00:00:42.320]  希望大家給我時間去找回我自己
[00:00:42.320 --> 00:00:44.400]  這件事之後
[00:00:44.400 --> 00:00:45.840]  壞了的人
[00:00:45.840 --> 00:00:51.120]  這個詞語就收錄在香港的潮語字典裡面
[00:00:51.120 --> 00:00:55.040]  這個壞了的人不是指壞人
[00:00:55.040 --> 00:00:58.600]  而是被形容好像失去了靈魂
[00:00:58.600 --> 00:01:01.240]  迷失了自我的一個人
[00:01:01.240 --> 00:01:05.760]  所以壞了是一個階段性的狀態
[00:01:05.760 --> 00:01:06.600]  就是說
[00:01:06.600 --> 00:01:08.680]  之前是很好的
[00:01:08.680 --> 00:01:09.920]  之前沒有壞的
[00:01:09.920 --> 00:01:11.080]  但是壞了
[00:01:11.080 --> 00:01:14.520]  需要修理之後才可以好了
[00:01:14.520 --> 00:01:16.640]  在我們的人生裡面
[00:01:16.640 --> 00:01:19.320]  其實有時候都會因為迷失
[00:01:19.320 --> 00:01:20.800]  我們會犯錯
[00:01:20.800 --> 00:01:22.200]  我們會做錯事
[00:01:22.200 --> 00:01:24.800]  都會有壞了的時候
