
[00:00:00.000 --> 00:00:04.000]  今天的題目是
[00:00:04.000 --> 00:00:07.000]  小菜一碟,不知道大家明不明白
[00:00:07.000 --> 00:00:11.000]  都明白的,如果要地道一點就是
[00:00:11.000 --> 00:00:13.000]  二哥吃生菜
[00:00:13.000 --> 00:00:16.000]  英文就是piece of cake
[00:00:16.000 --> 00:00:19.000]  總之就是很簡單的
[00:00:19.000 --> 00:00:25.000]  今天又是要講的就是生命記
[00:00:25.000 --> 00:00:29.000]  大家最近都聽了不少生命記
[00:00:29.000 --> 00:00:31.000]  說到摩西寫生命記
[00:00:31.000 --> 00:00:35.000]  不知為何我總是想到一個人
[00:00:35.000 --> 00:00:39.000]  明朝的開國皇帝朱元璋
[00:00:39.000 --> 00:00:42.000]  有個傳說說他臨死之前
[00:00:42.000 --> 00:00:45.000]  預計接位的孫子有點不濟
[00:00:45.000 --> 00:00:48.000]  所以預先留下錦盒,這是一個傳說
[00:00:48.000 --> 00:00:51.000]  他死了之後,孫子真的不濟
[00:00:51.000 --> 00:00:55.000]  被叔叔搞政變,殺入皇宮
[00:00:55.000 --> 00:00:59.000]  快要沒命的時候打開爺爺留下的錦盒
[00:00:59.000 --> 00:01:01.000]  你猜裡面是什麼?
[00:01:01.000 --> 00:01:11.000]  是剃刀一把和尚的袈裟一套
[00:01:11.000 --> 00:01:14.000]  明顯就是叫孫子不忘初心
[00:01:14.000 --> 00:01:18.000]  做回爺爺本身的老本行,即是做和尚
[00:01:18.000 --> 00:01:21.000]  孫子馬上剃光頭
[00:01:21.000 --> 00:01:24.000]  拜和尚,由秘道逃走了
[00:01:24.000 --> 00:01:26.000]  傳說真假我不知道
[00:01:26.000 --> 00:01:31.000]  只知道孫極友可能真的成功逃走了
[00:01:31.000 --> 00:01:33.000]  甚至有些歷史學家說
[00:01:33.000 --> 00:01:38.000]  後來的三寶太監夏西揚
[00:01:38.000 --> 00:01:42.000]  其中一個秘密任務就是要尋找
[00:01:42.000 --> 00:01:47.000]  在他鄉失蹤的過去皇帝
[00:01:47.000 --> 00:01:49.000]  這個信不信就由你了
