
[00:00:00.000 --> 00:00:04.000]  我們真的要給點掌聲敬拜隊
[00:00:04.000 --> 00:00:07.000]  令到我們的心靈
[00:00:07.000 --> 00:00:10.000]  真是好被師哥去帶動
[00:00:10.000 --> 00:00:12.000]  去到神的面前
[00:00:12.000 --> 00:00:14.000]  我們真是獻上感恩
[00:00:14.000 --> 00:00:16.000]  好高興大家
[00:00:16.000 --> 00:00:19.000]  今日在這個清晨早上見面
[00:00:19.000 --> 00:00:21.000]  一齊來去敬拜神
[00:00:21.000 --> 00:00:23.000]  可以實體來去聚會
[00:00:23.000 --> 00:00:24.000]  我們一齊祈禱
[00:00:24.000 --> 00:00:25.000]  預備我們的心
[00:00:25.000 --> 00:00:27.000]  來去聆聽神的話語
[00:00:27.000 --> 00:00:32.000]  請上天父我們謝謝你
[00:00:32.000 --> 00:00:34.000]  讓我們的腳步
[00:00:34.000 --> 00:00:37.000]  好平安回到神的殿
[00:00:37.000 --> 00:00:40.000]  在這裡有你的同在
[00:00:40.000 --> 00:00:43.000]  我們心靈的裏面
[00:00:43.000 --> 00:00:45.000]  可以安揭在這裏
[00:00:45.000 --> 00:00:47.000]  主阿願意以下的時間
[00:00:47.000 --> 00:00:51.000]  我們都安靜我們
[00:00:51.000 --> 00:00:53.000]  罪念我們的心
[00:00:53.000 --> 00:00:56.000]  來去等候你的話語
[00:00:56.000 --> 00:01:00.000]  好像因語一樣進入我們的內心
[00:01:00.000 --> 00:01:02.000]  又讓待會的訊息
[00:01:02.000 --> 00:01:05.000]  是能夠在我們心靈的裏面
[00:01:05.000 --> 00:01:11.000]  來去直入我們心靈的裏面
[00:01:11.000 --> 00:01:15.000]  讓我們的心都是能夠與你契合
[00:01:15.000 --> 00:01:19.000]  亦都聽到你對我們所講的話
[00:01:19.000 --> 00:01:21.000]  我們將以下時間
[00:01:21.000 --> 00:01:23.000]  我們交託願意聖靈
[00:01:23.000 --> 00:01:25.000]  在我們當中自由運行
[00:01:25.000 --> 00:01:27.000]  動你自己的工作
[00:01:27.000 --> 00:01:28.000]  我們誠心獻上祈禱
[00:01:28.000 --> 00:01:31.000]  奉耶穌基督的明智祈求
[00:01:31.000 --> 00:01:32.000]  阿們
[00:01:33.000 --> 00:01:36.000]  各位聽眾姊妹
[00:01:36.000 --> 00:01:39.000]  今天和大家分享的主題
[00:01:39.000 --> 00:01:42.000]  在螢光幕都打了出來
[00:01:42.000 --> 00:01:46.000]  就是在獨處和簡樸中去體驗神
[00:01:46.000 --> 00:01:51.000]  今天分享的經文是出自《馬可福音》
[00:01:51.000 --> 00:01:56.000]  《馬可福音》第一章第一節
[00:01:56.000 --> 00:02:01.000]  說神的兒子耶穌基督福音的起頭
[00:02:01.000 --> 00:02:05.000]  所以《馬可福音》所記載的
[00:02:05.000 --> 00:02:09.000]  耶穌的腳踪和他的意向
[00:02:09.000 --> 00:02:15.000]  就是福音這個好消息的重要元素和內容
[00:02:15.000 --> 00:02:21.000]  主耶穌是我們每一個跟從主的人所學校的榜樣
