
[00:00:00.000 --> 00:00:05.140]  好,謝謝敬拜隊預備我們的心去進入今天的崇拜
[00:00:05.140 --> 00:00:10.140]  我看到最近很多人生病了
[00:00:10.140 --> 00:00:14.140]  我相信6至8月,我上網看就說
[00:00:14.140 --> 00:00:17.140]  夏季的流感高峰期正式出現
[00:00:17.140 --> 00:00:20.140]  很多人都會不小心中招
[00:00:20.140 --> 00:00:24.140]  我想現在大家不知道有沒有看過
[00:00:24.140 --> 00:00:27.140]  以前我們COVID的時候就有一些檢查你有沒有中COVID
[00:00:27.140 --> 00:00:32.140]  現在有一個叫10 in 1的快測試劑
[00:00:32.140 --> 00:00:37.140]  它說可以檢查到10種不同的病毒是否中了甲瘤
[00:00:37.140 --> 00:00:41.140]  有些我都不懂,例如肺炎資源體、乙型病毒
[00:00:41.140 --> 00:00:43.140]  好像很厲害
[00:00:43.140 --> 00:00:49.140]  我也知道有些人會特意生病時摸一摸鼻子
[00:00:49.140 --> 00:00:55.140]  等15分鐘檢查一下自己是中了甲瘤還是新冠
[00:00:55.140 --> 00:00:57.140]  還是只是普通感冒
[00:00:57.140 --> 00:01:04.140]  對於青少報來說,暑假其實是一個服事的旺季
[00:01:04.140 --> 00:01:09.140]  我想接下來不知不覺,星期一我們即將要第一彈
[00:01:09.140 --> 00:01:11.140]  我們正式去柬埔寨出發
[00:01:11.140 --> 00:01:14.140]  之後還有很多不同的短孫,台灣短孫
[00:01:14.140 --> 00:01:17.140]  本地短孫,甚至有不同的Camp
[00:01:17.140 --> 00:01:19.140]  甚至有暑期班排隊來
[00:01:19.140 --> 00:01:23.140]  我想原來在這個服事的旺季
[00:01:23.140 --> 00:01:26.140]  有時我們的屬靈生命都有機會中招
[00:01:26.140 --> 00:01:28.140]  中甚麼招呢?
[00:01:28.140 --> 00:01:36.140]  今次如果大家有留意,我講題的病名是大兒子症候群
[00:01:36.140 --> 00:01:39.140]  我想說這個名不是我編的
[00:01:39.140 --> 00:01:42.140]  而是來自聖經一個很熟悉的比喻
[00:01:42.140 --> 00:01:44.140]  就是浪子的比喻
[00:01:44.140 --> 00:01:48.140]  我相信大家很多時候都會看過浪子的比喻
[00:01:48.140 --> 00:01:53.140]  今天很想一起去檢查一下
[00:01:53.140 --> 00:01:57.140]  其實這個大兒子症候群的病是甚麼?
[00:01:57.140 --> 00:01:59.140]  這個屬靈的疾病是甚麼?
[00:01:59.140 --> 00:02:02.140]  很多時候我們看浪子的比喻
[00:02:02.140 --> 00:02:05.140]  我們都知道浪子的比喻中
[00:02:05.140 --> 00:02:07.140]  父親有兩個兒子
[00:02:07.140 --> 00:02:09.140]  叫做大兒子和小兒子
[00:02:09.140 --> 00:02:11.140]  很多時候我們都會想
[00:02:11.140 --> 00:02:14.140]  想起那位小兒子如何流離失所
[00:02:14.140 --> 00:02:19.140]  回到他的家,被父親擁抱的那份認愛
[00:02:19.140 --> 00:02:21.140]  今天我們很想看看
[00:02:21.140 --> 00:02:23.140]  當中有一位叫做大兒子
[00:02:23.140 --> 00:02:25.140]  我們可能比較少去看他
[00:02:25.140 --> 00:02:27.140]  但我們今天想集中
[00:02:27.140 --> 00:02:29.140]  正如今天的講題所說
[00:02:29.140 --> 00:02:31.140]  集中看看這個大兒子
[00:02:31.140 --> 00:02:33.140]  這個一直在家裡
[00:02:33.140 --> 00:02:35.140]  他從來沒有離開過家裡
[00:02:35.140 --> 00:02:40.140]  不過他的內心是遠離父親很遠很遠的大兒子
[00:02:40.140 --> 00:02:43.140]  我們去了解一下這個大兒子症候群
[00:02:43.140 --> 00:02:45.140]  會有甚麼東西出現
[00:02:45.140 --> 00:02:47.140]  所謂預防勝於治療
[00:02:47.140 --> 00:02:51.140]  很想讓我們在進入暑期服事前
[00:02:51.140 --> 00:02:53.140]  透過這篇經文
[00:02:53.140 --> 00:02:57.140]  檢測一下甚或成為我們的藥方
[00:02:57.140 --> 00:03:00.140]  當你在服事中出現大兒子症狀時
[00:03:00.140 --> 00:03:03.140]  我們都可以提防和被醫治
[00:03:03.140 --> 00:03:05.140]  究竟是甚麼呢?
[00:03:05.140 --> 00:03:08.140]  事不宜遲,我們先讀讀今天的經文
[00:03:08.140 --> 00:03:10.140]  今天我們主要會看
[00:03:10.140 --> 00:03:12.140]  《老家福音》大兒子的篇幅
[00:03:12.140 --> 00:03:15.140]  在15章25到32節
