
[00:00:00.000 --> 00:00:01.700]  今天的經文有兩段
[00:00:01.700 --> 00:00:03.700]  是出埃及記和新穎記
[00:00:03.700 --> 00:00:05.700]  我們會一段段地看
[00:00:05.700 --> 00:00:10.900]  第一段經文是出埃及記的20章
[00:00:10.900 --> 00:00:11.700]  8至11節
[00:00:11.700 --> 00:00:14.100]  不如有請大家一起讀出來
[00:00:14.100 --> 00:00:14.900]  1 2 3
[00:00:14.900 --> 00:00:16.500]  當紀念
[00:00:16.500 --> 00:00:18.500]  (音樂)
[00:00:19.500 --> 00:00:21.500]  (音樂)
[00:00:21.500 --> 00:00:48.500]  (廣東話)
[00:00:48.500 --> 00:00:49.000]  好
[00:00:50.500 --> 00:00:52.500]  要說說背景
[00:00:52.500 --> 00:00:54.500]  剛剛我們讀的是出埃及記
[00:00:54.500 --> 00:00:57.500]  可能大家都記得出埃及記的故事
[00:00:57.500 --> 00:00:59.500]  但我也提醒一下大家
[00:00:59.500 --> 00:01:01.500]  其實故事是這樣的
[00:01:01.500 --> 00:01:03.500]  很久以前
[00:01:03.500 --> 00:01:05.500]  以色列人在埃及圍爐
[00:01:05.500 --> 00:01:07.500]  但因為人口眾多
[00:01:07.500 --> 00:01:08.500]  成為了壓迫的對象
[00:01:08.500 --> 00:01:09.500]  可能大家都記得
[00:01:09.500 --> 00:01:12.500]  法老想用盡方法殺盡一切男嬰
[00:01:12.500 --> 00:01:15.500]  亦都向以色列人捉數
[00:01:15.500 --> 00:01:16.500]  捉什麼數呢
[00:01:16.500 --> 00:01:18.500]  就是要他們做磚
[00:01:18.500 --> 00:01:21.500]  還要在沒有原材料下做磚頭
[00:01:21.500 --> 00:01:23.500]  神見到以色列人的苦況
[00:01:23.500 --> 00:01:25.500]  就決意要拯救他們
[00:01:25.500 --> 00:01:27.500]  摩西受到神的差遣
[00:01:27.500 --> 00:01:29.500]  向法老要人
[00:01:29.500 --> 00:01:33.500]  要帶他們離開埃及去巴勒斯坦地
[00:01:33.500 --> 00:01:34.500]  去敬拜耶和華
[00:01:34.500 --> 00:01:36.500]  大家可能都記得
[00:01:36.500 --> 00:01:39.500]  以色列人透過一步步
[00:01:39.500 --> 00:01:40.500]  他們手如雨接
[00:01:40.500 --> 00:01:42.500]  出埃及去過紅海
[00:01:42.500 --> 00:01:43.500]  去到曠野
[00:01:43.500 --> 00:01:46.500]  去到這個經文的背景
[00:01:46.500 --> 00:01:49.500]  就是西冷山下面的安營
[00:01:49.500 --> 00:01:53.500]  那時候神就向以色列人
[00:01:53.500 --> 00:01:54.500]  訂立聖約
[00:01:54.500 --> 00:01:56.500]  做了什麼呢
[00:01:56.500 --> 00:01:58.500]  訂立了這十誡
[00:01:58.500 --> 00:02:00.500]  剛剛所讀的經文
[00:02:00.500 --> 00:02:02.500]  就是其中的第四誡
[00:02:02.500 --> 00:02:04.500]  就是守安息日
[00:02:04.500 --> 00:02:06.500]  或紀念安息日的誡明
[00:02:06.500 --> 00:02:12.500]  所以當我們去看誡明的時候
[00:02:12.500 --> 00:02:15.500]  是有這個背景的
[00:02:15.500 --> 00:02:18.500]  可能剛剛說的故事
[00:02:18.500 --> 00:02:19.500]  或者那個經文
[00:02:19.500 --> 00:02:20.500]  可能對大家
[00:02:20.500 --> 00:02:22.500]  在近年教會裡的人來說
[00:02:22.500 --> 00:02:24.500]  都很熟悉
[00:02:24.500 --> 00:02:26.500]  簡單來說就是
[00:02:26.500 --> 00:02:28.500]  返老的工然後休息一天
[00:02:28.500 --> 00:02:30.500]  不信主的人都在做
[00:02:30.500 --> 00:02:33.500]  但是聖經所說的
[00:02:33.500 --> 00:02:35.500]  安息的意義
[00:02:35.500 --> 00:02:36.500]  是大過
[00:02:36.500 --> 00:02:39.500]  甚至是更多於放假
[00:02:39.500 --> 00:02:44.500]  而對於剛剛出埃及的以色列人來說
[00:02:44.500 --> 00:02:47.500]  這些誡明其實真的很奇怪
[00:02:47.500 --> 00:02:48.500]  尤其是這個安息日的誡明
[00:02:48.500 --> 00:02:49.500]  是很奇怪的
[00:02:49.500 --> 00:02:50.500]  為什麼呢
[00:02:50.500 --> 00:02:52.500]  原來這個七天一次
[00:02:52.500 --> 00:02:54.500]  每次24小時的安息
[00:02:54.500 --> 00:02:56.500]  在古近東的文化裡
[00:02:56.500 --> 00:02:58.500]  是沒有相對應的例證
[00:02:58.500 --> 00:03:00.500]  什麼意思呢
[00:03:00.500 --> 00:03:03.500]  就是說在古近東的世界裡
[00:03:03.500 --> 00:03:06.500]  沒有其他國家或其他文化
[00:03:06.500 --> 00:03:09.500]  是有這種有規律的休息
[00:03:09.500 --> 00:03:12.500]  就算巴比倫他們每逢滿月的時候
[00:03:12.500 --> 00:03:14.500]  都會有拜神的儀式
[00:03:14.500 --> 00:03:16.500]  但是他們的人都要上班
[00:03:16.500 --> 00:03:19.500]  所以這個七天一次的休息
[00:03:19.500 --> 00:03:21.500]  對以色列人來說是很衝擊的
[00:03:21.500 --> 00:03:23.500]  從來沒有聽過原來可以這樣
[00:03:23.500 --> 00:03:25.500]  那麼
[00:03:25.500 --> 00:03:28.500]  為什麼古近東的人要不停上班
[00:03:28.500 --> 00:03:30.500]  不停去工作呢
[00:03:30.500 --> 00:03:32.500]  其實是在背後反映
[00:03:32.500 --> 00:03:35.500]  人有一種無止境的需求
[00:03:35.500 --> 00:03:37.500]  很想被滿足
[00:03:37.500 --> 00:03:39.500]  不知道大家有沒有吃過任食火鍋
[00:03:39.500 --> 00:03:41.500]  我很喜歡吃牛軋仁的
