
[00:00:00.000 --> 00:00:01.200]  人生很多事都猜不到
[00:00:01.200 --> 00:00:03.400]  猜不到你返崇拜之前會下大雨
[00:00:03.400 --> 00:00:04.800]  正如我也猜不到
[00:00:04.800 --> 00:00:06.200]  今天大家要多聽一次
[00:00:06.200 --> 00:00:09.000]  耶穌四十晝夜受試探的經文
[00:00:09.000 --> 00:00:11.000]  因為上個禮拜你聽完Macy講完
[00:00:11.000 --> 00:00:13.600]  這個禮拜你要多聽一次
[00:00:13.600 --> 00:00:15.400]  這節禮拜有什麼分別呢?
[00:00:15.400 --> 00:00:16.800]  主要是題目有點不同
[00:00:16.800 --> 00:00:19.400]  叫「拒絕接敬,品格傳承」
[00:00:19.400 --> 00:00:21.400]  就是看《馬太福音》的版本
[00:00:21.400 --> 00:00:23.200]  就是《馬太福音》四章一至十一節
[00:00:23.200 --> 00:00:25.600]  和十八至十九節
[00:00:25.600 --> 00:00:27.600]  不過由於我們要從另一個角度
[00:00:27.600 --> 00:00:29.400]  或者深入一點的應用角度
[00:00:29.400 --> 00:00:33.000]  去看一下耶穌四十晝夜受試探這件事
[00:00:33.000 --> 00:00:35.400]  對我們來說有什麼力量給我們呢?
[00:00:35.400 --> 00:00:37.000]  我先介紹一下
[00:00:37.000 --> 00:00:39.000]  最近很流行的一個運動
[00:00:39.000 --> 00:00:41.400]  就叫「爆旋陀螺」
[00:00:41.400 --> 00:00:43.000]  「爆旋陀螺」來到這一代
[00:00:43.000 --> 00:00:44.600]  它叫「X世代」
[00:00:44.600 --> 00:00:46.000]  其實它有分為
[00:00:46.000 --> 00:00:50.200]  攻擊型、防禦型、持久型和平衡型
[00:00:50.200 --> 00:00:51.800]  攻擊型即是衝力很大
[00:00:51.800 --> 00:00:54.800]  一撞陀螺就飛出界外
[00:00:54.800 --> 00:00:58.400]  防禦型就是你撞它會反彈回頭
[00:00:58.400 --> 00:01:00.400]  持久型就是你點撞它
[00:01:00.400 --> 00:01:02.400]  總之轉到最後它還在轉
[00:01:02.400 --> 00:01:04.400]  其他陀螺不轉它也還在轉
[00:01:04.400 --> 00:01:05.600]  它就叫持久型
[00:01:05.600 --> 00:01:08.400]  平衡型就是什麼都有一點
[00:01:08.400 --> 00:01:10.400]  在現在世代裡面
[00:01:10.400 --> 00:01:12.800]  最熱門的持久型陀螺
[00:01:12.800 --> 00:01:14.400]  堪稱是神器
[00:01:14.400 --> 00:01:16.000]  它就叫神像
