
[00:00:00.000 --> 00:00:05.400]  今天會講《創世紀》32章
[00:00:05.400 --> 00:00:09.160]  這段經文我大概三年多四年前
[00:00:09.160 --> 00:00:11.160]  在標青曾經講過一次
[00:00:11.160 --> 00:00:15.160]  不過當時X的弟兄姊妹應該還未上來標青
[00:00:15.160 --> 00:00:22.040]  亦因為這章經文很適合今天的月題
[00:00:22.040 --> 00:00:25.040]  所以我選擇再講這段經文
[00:00:25.040 --> 00:00:29.880]  以樂及三皮的舊朋友如果當時聽過
[00:00:29.880 --> 00:00:33.280]  我盼望你在今天的聽道裏面
[00:00:33.280 --> 00:00:36.480]  都有繼續新的領袖
[00:00:36.480 --> 00:00:39.880]  亦鼓勵你趁機量度一下
[00:00:39.880 --> 00:00:45.280]  現在的你和四年前的你有沒有什麼不同
[00:00:45.280 --> 00:00:48.880]  我們先來了解一下《創世紀》32章
[00:00:48.880 --> 00:00:53.680]  在這個時候是雅各人生的什麼階段呢
[00:00:53.680 --> 00:00:56.880]  雅各的故事相信大家都不陌生
[00:00:56.880 --> 00:00:58.480]  先問大家一個問題
[00:00:58.480 --> 00:01:01.480]  雅各這個名是什麼意思
[00:01:01.480 --> 00:01:07.480]  有人答對了
[00:01:07.480 --> 00:01:11.480]  曾經有人問雅各的名字的意思是鬼咋
[00:01:11.480 --> 00:01:14.280]  有這個理解是完全合理的
[00:01:14.280 --> 00:01:18.280]  因為他的哥哥爾素曾經說
[00:01:18.280 --> 00:01:20.880]  他名叫雅各豈不是這樣嗎
[00:01:20.880 --> 00:01:22.880]  他欺騙了我兩次
[00:01:22.880 --> 00:01:26.880]  所以雅各確實是一個很鬼咋的人
[00:01:26.880 --> 00:01:32.880]  不過雅各最直接的意思就是抓住的意思
[00:01:32.880 --> 00:01:37.880]  在《創世紀》25章26節說到雅各出生的時候
[00:01:37.880 --> 00:01:38.880]  這樣說
[00:01:38.880 --> 00:01:42.880]  隨後又生了爾素的兄弟
[00:01:42.880 --> 00:01:46.880]  抓住爾素的腳跟因此給他起名
[00:01:46.880 --> 00:01:49.880]  叫雅各就是抓住的意思
[00:01:49.880 --> 00:01:52.880]  我們可以去下一章的PowerPoint
[00:01:52.880 --> 00:01:56.880]  鬼咋只是他的手段
[00:01:56.880 --> 00:02:00.880]  是雅各心底裏要抓住的動機
[00:02:00.880 --> 00:02:02.880]  衍生出來的行為
[00:02:02.880 --> 00:02:08.880]  雅各一出生已經表現出這種要抓住的性格
[00:02:08.880 --> 00:02:10.880]  他抓住爾素的腳跟
[00:02:10.880 --> 00:02:11.880]  是要做什麼
[00:02:11.880 --> 00:02:15.880]  是要早點出生去做長子
[00:02:15.880 --> 00:02:17.880]  結果沒有成功
[00:02:17.880 --> 00:02:21.880]  他長大之後就繼續要去爭取長子的祝福
[00:02:21.880 --> 00:02:23.880]  和爭取祝福
[00:02:23.880 --> 00:02:25.880]  包括做過什麼
[00:02:25.880 --> 00:02:27.880]  就是趁爾素在田野回來的時候
[00:02:27.880 --> 00:02:29.880]  累到死的時候
[00:02:29.880 --> 00:02:34.880]  用一碗紅豆沙或者紅豆冰去換掉長子的名份
[00:02:34.880 --> 00:02:37.880]  到他父親以殺年老的時候
[00:02:37.880 --> 00:02:43.880]  雅各又假冒爾素去騙取了爸爸以殺的祝福
[00:02:43.880 --> 00:02:47.880]  雅各真的是一個很fight for自己
[00:02:47.880 --> 00:02:50.880]  是很抓住的人
[00:02:50.880 --> 00:02:54.880]  被騙的話哥哥爾素當然很生氣
[00:02:54.880 --> 00:02:56.880]  所以打算如果是以殺
[00:02:56.880 --> 00:03:00.880]  爸爸一離世他就要殺這個弟弟
[00:03:00.880 --> 00:03:05.880]  他媽媽尼伯加於是就安排雅各逃亡去哈蘭
[00:03:05.880 --> 00:03:09.880]  去到尼伯加哥哥拉班那裏
[00:03:09.880 --> 00:03:13.880]  雅各在他舅父拉班那裏都打了20年工
[00:03:13.880 --> 00:03:15.880]  中間發生了很多事
[00:03:15.880 --> 00:03:18.880]  包括被他舅父鬼咋
[00:03:18.880 --> 00:03:20.880]  也被他舅父鬼咋
[00:03:20.880 --> 00:03:22.880]  所以這個世界真的很複雜
[00:03:22.880 --> 00:03:24.880]  來到32章
[00:03:24.880 --> 00:03:28.880]  雅各剛剛脫離了拉班離開哈蘭
[00:03:28.880 --> 00:03:31.880]  也就是他將會回到家裏
[00:03:31.880 --> 00:03:34.880]  將會和爾素再次見面
[00:03:34.880 --> 00:03:40.880]  1至21節這段21節經文都很有趣
[00:03:40.880 --> 00:03:42.880]  我以前曾經想
[00:03:42.880 --> 00:03:44.880]  只會選擇22至32節
[00:03:44.880 --> 00:03:49.880]  雅各和神和神的使者摔交那一段
[00:03:49.880 --> 00:03:52.880]  但當我去讀1至21節的時候
[00:03:52.880 --> 00:03:53.880]  真的笑了
[00:03:53.880 --> 00:03:55.880]  因為實在很寫實
[00:03:55.880 --> 00:04:01.880]  簡直就是很多人包括我自己曾經的寫照
[00:04:01.880 --> 00:04:07.880]  讀1至21節我們不得不去說
[00:04:07.880 --> 00:04:08.880]  雅各真的很聰明
[00:04:08.880 --> 00:04:10.880]  也很有策略
[00:04:10.880 --> 00:04:13.880]  簡直是一個心理專家
[00:04:13.880 --> 00:04:16.880]  首先他很有語言的藝術
[00:04:16.880 --> 00:04:19.880]  在3至5節他吩咐前面的使者
[00:04:19.880 --> 00:04:21.880]  對爾素要怎樣說呢
[00:04:21.880 --> 00:04:24.880]  就是要叫雅各做你的僕人雅各
[00:04:24.880 --> 00:04:27.880]  也要代雅各稱爾素做我主
[00:04:27.880 --> 00:04:31.880]  其實整個1至21節出現了三次
[00:04:31.880 --> 00:04:35.880]  是雅各要人稱爾素做我主
[00:04:35.880 --> 00:04:39.880]  也有三次他稱雅各做我們的僕人
[00:04:39.880 --> 00:04:43.880]  而且他叫人見到爾素的時候要說
[00:04:43.880 --> 00:04:47.880]  我來見你的動機是為了在你眼前蒙恩
[00:04:47.880 --> 00:04:50.880]  所以要認帝威
[00:04:50.880 --> 00:04:54.880]  還有他特意說自己有很多東西
[00:04:54.880 --> 00:04:58.880]  有牢、牛、羊群、牢獄、婢女
