
[00:00:00.000 --> 00:00:02.000]  各位標青的弟兄姊妹、各位朋友晚安
[00:00:02.000 --> 00:00:05.560]  很感恩能夠來到大家的當中
[00:00:05.560 --> 00:00:12.600]  今晚想跟大家分享一個在聖經裡面的題目
[00:00:12.600 --> 00:00:13.600]  就是敬拜
[00:00:13.600 --> 00:00:19.480]  今晚想跟大家由創世紀一直有機會看到啟示錄
[00:00:19.480 --> 00:00:22.920]  有時候在人生裡面很多的低氣壓
[00:00:22.920 --> 00:00:26.840]  很多心裡面很不愉快或者很受到捆綁的日子
[00:00:27.200 --> 00:00:32.200]  不過我們看到整個時代在上帝整個規劃裡面是怎樣
[00:00:32.200 --> 00:00:34.440]  讓我們整個眼目可以向上去看
[00:00:34.440 --> 00:00:38.160]  以至超越我們這一刻時代的限制和困惑
[00:00:38.160 --> 00:00:43.240]  所以今天很想跟大家由創世紀開始看上帝的心意
[00:00:43.240 --> 00:00:46.360]  然後看到我們的生命如何在這個心意裡面活出來
[00:00:46.360 --> 00:00:47.640]  我們一起祈禱好嗎
[00:00:47.640 --> 00:00:50.160]  真是天父求你幫助我們
[00:00:50.160 --> 00:00:53.360]  無論人生有多低噪的氣壓
[00:00:53.800 --> 00:00:56.400]  但是當我們看過這些混層的時候
[00:00:56.400 --> 00:00:58.960]  我們看到上帝的恩典和能力
[00:00:58.960 --> 00:01:02.640]  還有創世以先導在世界的終結
[00:01:02.640 --> 00:01:03.640]  你自己的心意
[00:01:03.640 --> 00:01:05.280]  以至你活出來的生命
[00:01:05.280 --> 00:01:07.520]  因為主這份永恆的心意
[00:01:07.520 --> 00:01:10.280]  我們在每一刻、每一個難關
[00:01:10.280 --> 00:01:14.040]  我們都將自己整個生命活得有意義、有價值
[00:01:14.040 --> 00:01:15.240]  放在你的壇上
[00:01:15.240 --> 00:01:17.040]  求主就這樣幫助祝福我們
[00:01:17.040 --> 00:01:18.840]  我們祈禱奉耶穌基督的名
[00:01:18.840 --> 00:01:19.480]  阿們
[00:01:21.040 --> 00:01:23.640]  在開始的時候我想介紹一本書
[00:01:23.640 --> 00:01:24.400]  我很少介紹書
[00:01:24.400 --> 00:01:27.040]  叫《五彩繽紛舊約五小卷》
[00:01:27.040 --> 00:01:31.920]  是我在Morpheological College的老師寫的一本書
[00:01:31.920 --> 00:01:34.480]  它講述整個舊約如何看待
[00:01:34.480 --> 00:01:37.360]  例如傳道書、路德記、雅歌這些書
[00:01:37.360 --> 00:01:39.160]  和耶穌基督有什麼關係
[00:01:39.160 --> 00:01:41.080]  為什麼我會介紹這本書呢
[00:01:41.080 --> 00:01:43.320]  因為我今天想跟大家分享敬拜
[00:01:43.320 --> 00:01:46.840]  敬拜這個題目其實都是由創世紀
[00:01:47.080 --> 00:01:51.160]  一直到啟示錄出現的
[00:01:51.160 --> 00:01:54.240]  不過我想跟大家讀的經文是在希伯來書
[00:01:54.240 --> 00:01:57.480]  我打出來的經文我們一起讀
[00:01:57.480 --> 00:02:02.160]  希伯來書我是由第十章第八節開始讀的
[00:02:02.160 --> 00:02:05.480]  在第八節我們一起讀
[00:02:05.480 --> 00:02:07.000]  我們一起試試讀這段經文
[00:02:07.000 --> 00:02:08.360]  我們由八節一直讀
[00:02:08.360 --> 00:02:10.160]  讀到大概十七節
[00:02:10.160 --> 00:02:11.360]  大概到十八節
[00:02:11.360 --> 00:02:12.040]  這十節的經文
[00:02:12.040 --> 00:02:13.160]  好,我們一起讀
[00:02:13.160 --> 00:02:14.080]  一、二、三
[00:02:14.480 --> 00:02:15.400]  以上說
[00:02:15.400 --> 00:02:20.000]  祭物和禮物以及凡祭和贖罪祭
[00:02:20.000 --> 00:02:22.080]  不是你所要的
[00:02:22.080 --> 00:02:24.400]  也不是你喜歡的
[00:02:24.400 --> 00:02:27.880]  這都是按著律法獻的
[00:02:27.880 --> 00:02:29.520]  他接著說
[00:02:29.520 --> 00:02:31.440]  看那我來了
[00:02:31.440 --> 00:02:34.280]  為要照你的旨意行
[00:02:34.280 --> 00:02:37.480]  可見他除去在先的
[00:02:37.480 --> 00:02:40.200]  為要立定在後的
[00:02:40.200 --> 00:02:42.840]  我們憑著這旨意
[00:02:43.080 --> 00:02:44.960]  藉著耶穌基督
[00:02:44.960 --> 00:02:48.400]  僅止一次獻上他的身體
[00:02:48.400 --> 00:02:50.280]  就得以成成
