
[00:00:00.000 --> 00:00:03.000]  約翰一書四章十九節一起起
[00:00:03.000 --> 00:00:08.320]  「我們愛,因為神先愛我們」
[00:00:08.320 --> 00:00:14.480]  通常我們這一句經文會在什麼場合聽得多?
[00:00:14.480 --> 00:00:15.640]  好像聽到了
[00:00:15.640 --> 00:00:16.800]  其中一個場合
[00:00:16.800 --> 00:00:22.080]  都會在婚禮裡藉著牧師對一對新人的宣講和教導
[00:00:22.080 --> 00:00:24.680]  會用上這一節的經文
[00:00:24.680 --> 00:00:26.600]  當婚禮完成之後
[00:00:26.600 --> 00:00:29.320]  就會開展一個新的家庭
[00:00:29.320 --> 00:00:31.360]  所以今天我同樣預備
[00:00:31.360 --> 00:00:34.160]  以約翰一書四章的經文
[00:00:34.160 --> 00:00:38.280]  跟大家一起反思家庭開展之後
[00:00:38.280 --> 00:00:42.600]  我們在這個家裡的實際狀況是怎樣呢?
[00:00:42.600 --> 00:00:48.600]  在前一段日子有一套劇集
[00:00:48.600 --> 00:00:50.120]  叫做《婚後事》
[00:00:50.120 --> 00:00:53.960]  不知道大家當中有多少人會有看過這套劇集
[00:00:53.960 --> 00:00:56.600]  這套是講述三對男女
[00:00:56.600 --> 00:00:59.120]  已經有組織了家庭
[00:00:59.120 --> 00:01:01.240]  有不太想建立家庭
[00:01:01.240 --> 00:01:04.880]  也有夢想想建立一個美滿的家庭
[00:01:04.880 --> 00:01:08.000]  最終三對人都結了婚
[00:01:08.000 --> 00:01:09.560]  也有離婚
[00:01:09.560 --> 00:01:11.960]  不過仍然繼續一起生活
[00:01:11.960 --> 00:01:13.880]  在裡面讓我察覺到
[00:01:13.880 --> 00:01:16.000]  還有一個反省
[00:01:16.000 --> 00:01:18.440]  原來現代家庭的關係
[00:01:18.440 --> 00:01:20.400]  無論是一對夫婦好
[00:01:20.400 --> 00:01:23.520]  或者跟下一代、上一代的關係
[00:01:23.520 --> 00:01:26.480]  都是很不容易的
[00:01:26.480 --> 00:01:30.200]  劇集裡出現了很想追求生活富裕
[00:01:30.200 --> 00:01:33.040]  希望女兒有一個美好的未來
[00:01:33.040 --> 00:01:34.600]  但是
