
[00:00:00.000 --> 00:00:04.080]  今天我們在第四週
[00:00:04.080 --> 00:00:06.080]  都是教會的主題講道
[00:00:06.080 --> 00:00:07.840]  這次是和我們分享
[00:00:07.840 --> 00:00:12.320]  《馬學福音》第四章35到5章20字的經文
[00:00:12.320 --> 00:00:14.920]  比較多的兩段經文
[00:00:14.920 --> 00:00:17.400]  但這兩段經文大家都很熟悉
[00:00:17.400 --> 00:00:20.280]  如果你想一針見血的福音的時候
[00:00:20.280 --> 00:00:21.680]  必修課程
[00:00:21.680 --> 00:00:23.400]  所以今天有什麼好說的呢?
[00:00:23.400 --> 00:00:24.280]  大家都知道
[00:00:24.280 --> 00:00:26.160]  但我嘗試用一個角度
[00:00:26.160 --> 00:00:28.720]  一個兩段經文加起來
[00:00:28.720 --> 00:00:30.200]  和我們有什麼關係
[00:00:30.200 --> 00:00:32.000]  今天我給大家的題目是
[00:00:32.000 --> 00:00:34.400]  上帝比我們想像中還大
[00:00:34.400 --> 00:00:38.520]  首先我會讀一讀第四章的35字
[00:00:38.520 --> 00:00:41.400]  到第四章的41字
[00:00:41.400 --> 00:00:45.720]  接著我想大兄讀第五章的1到8字
[00:00:45.720 --> 00:00:48.920]  姐妹讀第五章的9到15字
[00:00:48.920 --> 00:00:49.600]  很簡單
[00:00:49.600 --> 00:00:51.960]  兩個power point
[00:00:51.960 --> 00:00:53.560]  這樣去分解
[00:00:53.560 --> 00:00:55.360]  最後16到20字
[00:00:55.360 --> 00:00:56.800]  大家一起讀好不好?
[00:00:56.800 --> 00:00:59.280]  首先請我讀出神的話語
[00:00:59.280 --> 00:01:02.000]  《馬學福音》第四章35字
[00:01:02.000 --> 00:01:03.800]  「當那天晚上
[00:01:03.800 --> 00:01:05.280]  耶穌對門徒說:
[00:01:05.280 --> 00:01:07.360]  『我們到那邊去』
[00:01:07.360 --> 00:01:08.880]  門徒離開眾人
[00:01:08.880 --> 00:01:10.640]  耶穌仍在船上
[00:01:10.640 --> 00:01:13.200]  三門就把他一同帶去
[00:01:13.200 --> 00:01:15.600]  也有別的船和他同去
[00:01:15.600 --> 00:01:17.280]  忽然起了暴風
[00:01:17.280 --> 00:01:18.880]  風浪打入船內
[00:01:18.880 --> 00:01:21.360]  甚至船要滿了水
[00:01:21.360 --> 00:01:23.200]  耶穌在船尾上
[00:01:23.200 --> 00:01:25.080]  枕著枕頭睡覺
[00:01:25.080 --> 00:01:26.600]  門徒叫醒了他
[00:01:26.600 --> 00:01:29.120]  說:『夫子!我們喪命
[00:01:29.120 --> 00:01:31.640]  你不顧嗎?』
[00:01:31.640 --> 00:01:32.640]  耶穌醒了
[00:01:32.640 --> 00:01:34.520]  斥責風向海說:
[00:01:34.520 --> 00:01:36.480]  『住了吧!靜了吧!』
[00:01:36.480 --> 00:01:37.760]  風就主住
[00:01:37.760 --> 00:01:39.520]  大大地平靜了
[00:01:39.520 --> 00:01:41.120]  耶穌對他們說:
[00:01:41.120 --> 00:01:42.520]  『為什麼膽怯呢?
[00:01:42.520 --> 00:01:44.520]  你們還沒有信心嗎?』
[00:01:44.520 --> 00:01:46.600]  他們就大大地懼怕
[00:01:46.600 --> 00:01:47.720]  彼此說:
[00:01:47.720 --> 00:01:49.040]  『這到底是誰?
[00:01:49.040 --> 00:01:51.920]  連風和海也聽從了他』」
[00:01:51.920 --> 00:01:56.520]  我們請大兄讀第五章的1到8字
[00:01:56.520 --> 00:01:58.520]  預備 1 2 3
[00:01:58.520 --> 00:02:00.440]  「他們來到海邊
[00:02:00.440 --> 00:02:02.920]  加拉森蘭的地方
[00:02:02.920 --> 00:02:04.720]  耶穌一下船
[00:02:04.720 --> 00:02:07.600]  就有一個被鬼附著的人
[00:02:07.600 --> 00:02:10.800]  從墳營裡出來迎著他
[00:02:10.800 --> 00:02:13.400]  那人常住在墳營裡
[00:02:13.400 --> 00:02:15.800]  沒有人能困住他
[00:02:15.800 --> 00:02:18.120]  就是用鐵鏈也不能
[00:02:18.120 --> 00:02:22.880]  因為人類似用腳鐐和鐵鏈困住他
