
[00:00:00.000 --> 00:00:03.800]  大家好,很感恩可以在這裡跟大家分享神的話語
[00:00:03.800 --> 00:00:06.800]  我們講道之先,一起低頭祈禱
[00:00:06.800 --> 00:00:08.640]  慈悲天父,我們感恩
[00:00:08.640 --> 00:00:10.880]  祢的話語何等寶貴
[00:00:10.880 --> 00:00:15.200]  主,我們能夠在祢的話語當中得著智慧
[00:00:15.200 --> 00:00:18.800]  求祢在靈體當中教導、提醒
[00:00:18.800 --> 00:00:22.800]  祈禱奉耶穌基督得勝於民及,阿門
[00:00:22.800 --> 00:00:27.920]  根基是什麼呢?
[00:00:27.920 --> 00:00:31.000]  根基可以有很多理解
[00:00:31.000 --> 00:00:34.080]  如果根基不好,會怎樣?
[00:00:34.080 --> 00:00:36.600]  會倒塌的
[00:00:36.600 --> 00:00:39.680]  根基還有第二個更重要的目的
[00:00:39.680 --> 00:00:45.920]  就是一個穩固的根基能夠讓我們建立上去
[00:00:45.920 --> 00:00:47.760]  我們屬靈的根基也是
[00:00:47.760 --> 00:00:52.880]  如果你的根基不好,你很難再建造
[00:00:52.880 --> 00:00:56.360]  那智慧的根基是什麼呢?
[00:00:56.360 --> 00:00:58.960]  我不知道智慧的根基是什麼
[00:00:58.960 --> 00:01:01.200]  我搜尋到Google
[00:01:01.200 --> 00:01:03.160]  你不知道我找到什麼呢?
[00:01:03.160 --> 00:01:04.760]  找到智慧的根基
[00:01:04.760 --> 00:01:07.600]  然後Google告訴我第一件事
[00:01:07.600 --> 00:01:10.800]  一定要是道德基礎
[00:01:10.800 --> 00:01:12.600]  我很驚訝
[00:01:12.600 --> 00:01:19.720]  原來智慧的根基在世俗上一定有道德的規範
[00:01:19.720 --> 00:01:22.640]  如果沒有道德的標準
[00:01:22.640 --> 00:01:25.160]  智慧危不危險?
[00:01:25.160 --> 00:01:26.840]  你的根基越強勁
[00:01:26.840 --> 00:01:30.160]  你的騙案越難破
[00:01:30.160 --> 00:01:34.560]  智慧越高的話,你的殺傷力越大
[00:01:34.560 --> 00:01:37.760]  然後Google告訴我們
[00:01:37.760 --> 00:01:41.720]  有七個方面就是智慧的根基
[00:01:41.720 --> 00:01:43.360]  我不知道你同不同意
[00:01:43.360 --> 00:01:46.000]  第一就是社交決定
[00:01:46.000 --> 00:01:47.520]  社交的決定
[00:01:47.520 --> 00:01:50.880]  就是你決定找什麼人做你的朋友
[00:01:50.880 --> 00:01:52.560]  這是根基
[00:01:52.560 --> 00:01:55.440]  第二就是情感控制
[00:01:55.440 --> 00:01:59.640]  你能不能控制你的情感呢?
[00:01:59.640 --> 00:02:01.520]  這是根基
[00:02:01.520 --> 00:02:03.080]  你跟別人建立關係
[00:02:03.080 --> 00:02:05.600]  第三就是非社會行為
[00:02:05.600 --> 00:02:08.920]  你是非社會還是非社會的呢?
