
[00:00:00.000 --> 00:00:04.000]  今年是我信主三十二年
[00:00:04.000 --> 00:00:07.000]  剛剛聽到仙頭的詩歌
[00:00:07.000 --> 00:00:11.000]  都是初信主的時候
[00:00:11.000 --> 00:00:13.000]  常常聽的一首詩歌
[00:00:13.000 --> 00:00:16.000]  歌詞都說到是聖靈掌管我們的生命
[00:00:16.000 --> 00:00:19.000]  神一生的庇蔭我們
[00:00:19.000 --> 00:00:22.000]  一路唱的時候想起這三十多年
[00:00:22.000 --> 00:00:24.000]  我相信你想起你信主這麼多年
[00:00:24.000 --> 00:00:26.000]  神是很多恩典
[00:00:26.000 --> 00:00:29.000]  想起很多很多莫神的拯救
[00:00:29.000 --> 00:00:31.000]  我相信你也經歷過
[00:00:31.000 --> 00:00:33.000]  神真的很好
[00:00:33.000 --> 00:00:35.000]  所以當我唱的時候
[00:00:35.000 --> 00:00:37.000]  這個我沒有在講唱上預備
[00:00:37.000 --> 00:00:38.000]  但我心裡也很感動
[00:00:38.000 --> 00:00:39.000]  我想你想想
[00:00:39.000 --> 00:00:41.000]  神這麼多年
[00:00:41.000 --> 00:00:43.000]  由信主到現在
[00:00:43.000 --> 00:00:45.000]  甚至在我們還沒有出世之前
[00:00:45.000 --> 00:00:46.000]  在沒有福的時候
[00:00:46.000 --> 00:00:47.000]  神已經一路帶領我們
[00:00:47.000 --> 00:00:48.000]  神真的微善
[00:00:48.000 --> 00:00:50.000]  我們將所有掌聲給神好不好
[00:00:57.000 --> 00:00:59.000]  聽完節目相信這幾個月
[00:00:59.000 --> 00:01:01.000]  有兩個字我們常常聽到
[00:01:01.000 --> 00:01:02.000]  就是
[00:01:02.000 --> 00:01:04.000]  或者你自己也會常常說的
[00:01:04.000 --> 00:01:05.000]  就是
[00:01:05.000 --> 00:01:07.000]  復常
[00:01:07.000 --> 00:01:09.000]  經歷了三年多的疫情
[00:01:09.000 --> 00:01:12.000]  大家都很想忘記過去
[00:01:12.000 --> 00:01:14.000]  盡快回復正常
[00:01:14.000 --> 00:01:16.000]  無論在經濟上我們很想復常
[00:01:16.000 --> 00:01:19.000]  在家人的關係上我們很想復常
[00:01:19.000 --> 00:01:20.000]  最重要是什麼
[00:01:20.000 --> 00:01:22.000]  身體健康
[00:01:22.000 --> 00:01:23.000]  回復正常
[00:01:23.000 --> 00:01:26.000]  有時候我也會發覺自己有點老毛
[00:01:26.000 --> 00:01:28.000]  開始忘記了
[00:01:28.000 --> 00:01:29.000]  不知道你有沒有發現
[00:01:29.000 --> 00:01:31.000]  我們很想快點去復常
[00:01:31.000 --> 00:01:33.000]  這是很真實的情況
[00:01:33.000 --> 00:01:35.000]  但事實發現
[00:01:35.000 --> 00:01:38.000]  可能你病完回來一年
[00:01:38.000 --> 00:01:40.000]  發覺呼吸好像沒有以前那麼好
[00:01:40.000 --> 00:01:42.000]  記憶沒有以前那麼好
[00:01:42.000 --> 00:01:45.000]  身體的狀況沒有以前那麼好
[00:01:45.000 --> 00:01:48.000]  社會的經濟好像跟我們預期的復常
[00:01:48.000 --> 00:01:49.000]  好像有點不同
[00:01:49.000 --> 00:01:52.000]  但對於作主門徒的你和我苦心自問
[00:01:52.000 --> 00:01:54.000]  其實最重要是什麼
[00:01:54.000 --> 00:01:55.000]  就是你和神的關係
[00:01:55.000 --> 00:01:57.000]  你會發覺在屬靈上
[00:01:57.000 --> 00:01:59.000]  我們好像沒有以前那麼火熱
[00:01:59.000 --> 00:02:01.000]  或者渴慕神的心
[00:02:01.000 --> 00:02:02.000]  好像沒有以前一樣
[00:02:02.000 --> 00:02:04.000]  或者好像現在的環境
[00:02:04.000 --> 00:02:06.000]  有一點點是一池死水
[00:02:06.000 --> 00:02:08.000]  似乎距離復常
[00:02:08.000 --> 00:02:11.000]  好像還有一段很長的時間
[00:02:11.000 --> 00:02:13.000]  我記得在四月中的時候
[00:02:13.000 --> 00:02:15.000]  剛剛我們開始陸續復常
[00:02:15.000 --> 00:02:17.000]  回到實體崇拜的時候
[00:02:17.000 --> 00:02:19.000]  有一位我們以前的教務同工
[00:02:19.000 --> 00:02:21.000]  他現在就在創啟的地方宣教
[00:02:21.000 --> 00:02:23.000]  他邀請我和另外一位
[00:02:23.000 --> 00:02:25.000]  禱告部的同工我們一起去祈禱
[00:02:25.000 --> 00:02:26.000]  我心裡面想
[00:02:26.000 --> 00:02:28.000]  也好啊 為前線的宣教士祈禱
[00:02:28.000 --> 00:02:31.000]  確實是非常好的一件事
[00:02:31.000 --> 00:02:33.000]  誰知道當我們一起祈禱的時候
[00:02:33.000 --> 00:02:35.000]  這位同工就分享
[00:02:35.000 --> 00:02:38.000]  他說前線的宣教當然是需要代禱
[00:02:38.000 --> 00:02:41.000]  但他說後方我們在恩福
[00:02:41.000 --> 00:02:44.000]  我們都要切切去為教會合一祈禱
[00:02:44.000 --> 00:02:47.000]  唯有禱告才能夠讓我們走出這個困局
[00:02:47.000 --> 00:02:50.000]  唯有禱告才能夠在我們屬靈上
[00:02:50.000 --> 00:02:51.000]  能夠重新得力
[00:02:51.000 --> 00:02:53.000]  我們三個人就在教會的祈禱室
[00:02:53.000 --> 00:02:56.000]  我們就為教會的復興去禱告
[00:02:56.000 --> 00:03:01.000]  沒錯 當世人都在說復常的時候
[00:03:01.000 --> 00:03:02.000]  我們作為基督的門徒
[00:03:02.000 --> 00:03:05.000]  我們更加應該是看屬靈的更生
[00:03:05.000 --> 00:03:09.000]  和教會信徒群體的復興
[00:03:09.000 --> 00:03:13.000]  在榮耀進行曲近三百年教會復興史一本書裡面
[00:03:13.000 --> 00:03:16.000]  作者就對復興和更生這兩個字
[00:03:16.000 --> 00:03:18.000]  有以下的一個詮釋
[00:03:18.000 --> 00:03:21.000]  復興的一詞根源探討
[00:03:21.000 --> 00:03:23.000]  可以幫我們找到合用的定義
[00:03:23.000 --> 00:03:27.000]  它來自拉丁文的意思就是再活一次
[00:03:27.000 --> 00:03:29.000]  而更生這個字就是re或者novus
[00:03:29.000 --> 00:03:32.000]  就是說會來新的意思
[00:03:32.000 --> 00:03:34.000]  所以基本的意義就是
[00:03:34.000 --> 00:03:36.000]  什麼叫復興呢
[00:03:36.000 --> 00:03:39.000]  就是我們在一個很屬靈低潮的情況
[00:03:39.000 --> 00:03:43.000]  我們經歷了一個很生命的澎湃的轉變
[00:03:43.000 --> 00:03:45.000]  而復興是為著基督徒
[00:03:45.000 --> 00:03:47.000]  只有基督徒是需要復興
[00:03:47.000 --> 00:03:49.000]  這本書的作者這樣說
[00:03:49.000 --> 00:03:51.000]  在舊約的每一個例子
[00:03:51.000 --> 00:03:53.000]  書裡面列出了很多很多
[00:03:53.000 --> 00:03:56.000]  在舊約歷史裡面一次又一次復興
[00:03:56.000 --> 00:03:58.000]  他說在靈性上的敗落
[00:03:58.000 --> 00:04:01.000]  當以色列人永遠去到最低潮的時候
[00:04:01.000 --> 00:04:03.000]  危機來到的時候
[00:04:03.000 --> 00:04:06.000]  然後領導者就會宣講神的話
[00:04:06.000 --> 00:04:10.000]  然後認罪悔改和神所喜悅的事就發生
[00:04:10.000 --> 00:04:12.000]  這本書的作者就說
[00:04:12.000 --> 00:04:15.000]  在十八世紀英國大復興之前
[00:04:15.000 --> 00:04:19.000]  其實整個社會當時英國都是很腐敗的
[00:04:19.000 --> 00:04:21.000]  賭風很多人賭錢
[00:04:21.000 --> 00:04:24.000]  政治家很多人負債累累
[00:04:24.000 --> 00:04:26.000]  魚走的問題很嚴重
[00:04:26.000 --> 00:04:29.000]  物質的主義理性的主義自然神論
[00:04:29.000 --> 00:04:31.000]  瀰漫在上流的社會當中
