
[00:00:00.000 --> 00:00:03.400]  很開心今天有機會來到恩福堂
[00:00:03.400 --> 00:00:05.640]  來宣講神的話
[00:00:05.640 --> 00:00:10.800]  相信每一位坐在禮堂的弟兄姊妹
[00:00:10.800 --> 00:00:14.000]  不多不少都認識耶穌基督
[00:00:14.000 --> 00:00:17.000]  甚至非常重視耶穌
[00:00:17.000 --> 00:00:20.000]  我們深知沒有耶穌
[00:00:20.000 --> 00:00:23.000]  我們的罪沒辦法赦免
[00:00:23.000 --> 00:00:26.000]  沒有耶穌我們沒辦法有新的生命
[00:00:26.000 --> 00:00:28.000]  沒有耶穌我們沒教會
[00:00:28.000 --> 00:00:32.000]  去一起去學彼此相愛的地方
[00:00:32.000 --> 00:00:35.000]  無論我們頭腦上知道也好
[00:00:35.000 --> 00:00:36.000]  感受上知道也好
[00:00:36.000 --> 00:00:41.000]  我們真真確確知道我們需要耶穌
[00:00:41.000 --> 00:00:44.000]  那我們有多重視耶穌呢?
[00:00:44.000 --> 00:00:47.000]  我們會不會經常想著和耶穌聊天呢?
[00:00:47.000 --> 00:00:49.000]  又或者經常思考
[00:00:49.000 --> 00:00:53.000]  聖經怎樣在現實生活裡應用出來呢?
[00:00:53.000 --> 00:00:56.000]  我簡單做一個評估
[00:00:56.000 --> 00:01:00.000]  大家可以合上眼睛
[00:01:00.000 --> 00:01:03.000]  然後用其中一隻手去顯示
[00:01:03.000 --> 00:01:06.000]  我們的心有多重視耶穌
[00:01:06.000 --> 00:01:10.000]  這個可以根據你真實情況作答
[00:01:10.000 --> 00:01:14.000]  如果你100%很重視耶穌
[00:01:14.000 --> 00:01:18.000]  可以把手伸到最高
[00:01:18.000 --> 00:01:20.000]  如果不太重視耶穌
[00:01:20.000 --> 00:01:22.000]  可以放低一點
[00:01:22.000 --> 00:01:23.000]  放心大家合上眼睛
[00:01:23.000 --> 00:01:26.000]  就沒有評價了
[00:01:26.000 --> 00:01:29.000]  如果真的很不重視耶穌
[00:01:29.000 --> 00:01:32.000]  走過十天不找耶穌一次
[00:01:32.000 --> 00:01:35.000]  可以放在大腿上
[00:01:35.000 --> 00:01:37.000]  我看到了
[00:01:37.000 --> 00:01:38.000]  大家可以放下手
[00:01:38.000 --> 00:01:40.000]  還有張開眼睛
[00:01:40.000 --> 00:01:43.000]  剛剛有人舉得很高
[00:01:43.000 --> 00:01:45.000]  也有人舉得很低
[00:01:45.000 --> 00:01:47.000]  不過無論我們高還是低
[00:01:47.000 --> 00:01:50.000]  其實都是根據我們和耶穌的經歷
[00:01:50.000 --> 00:01:53.000]  和我們如何認知耶穌
[00:01:53.000 --> 00:01:56.000]  有時候高有時候低
