
[00:00:00.000 --> 00:00:03.000]  大家可否給點掌聲敬拜隊
[00:00:03.000 --> 00:00:07.000]  多謝他們帶領我們一個很好的敬拜
[00:00:07.000 --> 00:00:10.000]  不知道大家在剛才敬拜的面前有什麼體會
[00:00:10.000 --> 00:00:12.000]  第一個體會就是
[00:00:12.000 --> 00:00:13.000]  有沒有聲音?
[00:00:13.000 --> 00:00:14.000]  有聲音
[00:00:14.000 --> 00:00:15.000]  第一個體會就是什麼?
[00:00:15.000 --> 00:00:16.000]  嘩! 還有酒音
[00:00:16.000 --> 00:00:20.000]  就是實體敬拜差很遠, 是不是?
[00:00:20.000 --> 00:00:24.000]  你想對著屏幕聽我們唱歌, 還是這樣一起
[00:00:24.000 --> 00:00:26.000]  對著阿君
[00:00:26.000 --> 00:00:29.000]  實體一起敬拜差很遠, 是不是?
[00:00:29.000 --> 00:00:30.000]  師妹
[00:00:30.000 --> 00:00:33.000]  剛才敬拜的其中一個深刻的體會是
[00:00:33.000 --> 00:00:36.000]  唱到其中一首歌說
[00:00:36.000 --> 00:00:39.000]  耶穌的愛一直都在
[00:00:39.000 --> 00:00:41.000]  耶穌的愛一直都在
[00:00:41.000 --> 00:00:46.000]  可能在網上令我們距離有點遠了
[00:00:46.000 --> 00:00:49.000]  可能你都覺得感受不太到上帝的愛
[00:00:49.000 --> 00:00:51.000]  但其實不是的
[00:00:51.000 --> 00:00:54.000]  上帝的愛, 耶穌的愛一直都在
[00:00:54.000 --> 00:00:56.000]  在崇拜裏面一直都在
[00:00:56.000 --> 00:00:58.000]  在你的生命裏面一直都在
[00:00:58.000 --> 00:01:00.000]  你跟旁邊的那個說, 好不好?
[00:01:00.000 --> 00:01:03.000]  原來一直都在
[00:01:03.000 --> 00:01:06.000]  喂! 給點反應啊
[00:01:06.000 --> 00:01:08.000]  這麼久沒見面的那個
[00:01:08.000 --> 00:01:09.000]  難得可以跟你聊天
[00:01:09.000 --> 00:01:12.000]  待會我說到就沒有聊天了
[00:01:12.000 --> 00:01:14.000]  嘩! 真是很久沒見面了
[00:01:14.000 --> 00:01:18.000]  有感覺, 有十年沒見面的感覺
[00:01:18.000 --> 00:01:20.000]  所以今天能夠跟大家分享神的話
[00:01:20.000 --> 00:01:23.000]  真是一個很開心的事情
[00:01:23.000 --> 00:01:27.000]  我今天分享的題目叫你認定了沒有?
[00:01:27.000 --> 00:01:29.000]  那你認定了什麼呢?
[00:01:29.000 --> 00:01:31.000]  我想問一下
[00:01:31.000 --> 00:01:34.000]  大家有沒有試過認錯人?
[00:01:34.000 --> 00:01:35.000]  有沒有?
[00:01:35.000 --> 00:01:37.000]  我聽到有人說有
[00:01:37.000 --> 00:01:39.000]  特別現在疫情
[00:01:39.000 --> 00:01:41.000]  是不是經常戴著口罩?
[00:01:41.000 --> 00:01:42.000]  我記下軍, 是不是?
[00:01:42.000 --> 00:01:44.000]  經常戴著口罩
[00:01:44.000 --> 00:01:46.000]  你都試過認錯人嗎?
[00:01:46.000 --> 00:01:48.000]  你也知道戴著口罩只有一隻眼睛
[00:01:48.000 --> 00:01:50.000]  你看不到整個樣子
[00:01:50.000 --> 00:01:52.000]  我呢, 就沒試過認錯人
[00:01:52.000 --> 00:01:54.000]  我試過差點認錯
[00:01:54.000 --> 00:01:56.000]  差點想叫他走到
[00:01:56.000 --> 00:01:58.000]  不對路, 只剩兩步
[00:01:58.000 --> 00:02:01.000]  但我試過被人認錯了我
[00:02:01.000 --> 00:02:02.000]  走近跟我說
[00:02:02.000 --> 00:02:04.000]  Hello, 我說話
[00:02:04.000 --> 00:02:06.000]  然後我就說不好意思
[00:02:06.000 --> 00:02:07.000]  你是哪位?
[00:02:07.000 --> 00:02:09.000]  我有些不是很認得你
[00:02:09.000 --> 00:02:11.000]  他就說不好意思
[00:02:11.000 --> 00:02:13.000]  不好意思, 我認錯了人
[00:02:13.000 --> 00:02:16.000]  其實我都很尷尬認錯人
[00:02:16.000 --> 00:02:20.000]  加上現在真的很難認得清楚樣子
[00:02:20.000 --> 00:02:22.000]  遮住了樣子, 只剩一雙眼
[00:02:22.000 --> 00:02:25.000]  可能遠望的身形差不多
[00:02:25.000 --> 00:02:27.000]  眼睛看下去幾次
[00:02:27.000 --> 00:02:28.000]  就以為是那個人
[00:02:28.000 --> 00:02:31.000]  以為是我認識那個人
[00:02:31.000 --> 00:02:33.000]  不過當然認錯人
[00:02:33.000 --> 00:02:36.000]  其實都在反映一些東西
[00:02:36.000 --> 00:02:37.000]  反映什麼呢?
[00:02:37.000 --> 00:02:39.000]  為什麼會認錯了那個人?
[00:02:39.000 --> 00:02:43.000]  可能我都沒有認真看他的樣子
[00:02:43.000 --> 00:02:46.000]  眼睛看起來就以為是
[00:02:46.000 --> 00:02:48.000]  又或者這個人
[00:02:48.000 --> 00:02:51.000]  我都很少見他, 很久沒見
[00:02:51.000 --> 00:02:54.000]  甚至我跟他都不是很熟
[00:02:54.000 --> 00:02:56.000]  所以我認錯了
[00:02:56.000 --> 00:02:58.000]  如果你跟那個人很熟
[00:02:58.000 --> 00:03:00.000]  很朋友
[00:03:00.000 --> 00:03:03.000]  其實我們應該很少機會認錯
[00:03:03.000 --> 00:03:05.000]  正常來說
[00:03:05.000 --> 00:03:09.000]  你應該很少認錯你的媽媽
[00:03:09.000 --> 00:03:11.000]  你應該很少有機會
[00:03:11.000 --> 00:03:14.000]  你叫錯了另一個人做爸爸
[00:03:14.000 --> 00:03:16.000]  因為你跟他很熟
[00:03:16.000 --> 00:03:19.000]  跟你很熟, 很親密的人
[00:03:19.000 --> 00:03:21.000]  你應該很少認錯
[00:03:21.000 --> 00:03:24.000]  你應該很熟悉他, 不會認錯的
[00:03:24.000 --> 00:03:26.000]  將來你再大一點
[00:03:26.000 --> 00:03:28.000]  你拍拖
[00:03:28.000 --> 00:03:30.000]  你試試認錯女朋友
[00:03:30.000 --> 00:03:33.000]  你大了, 我告訴你
[00:03:33.000 --> 00:03:36.000]  因為那是跟你很熟, 很親密的人
[00:03:36.000 --> 00:03:38.000]  很熟, 很親密的人
[00:03:38.000 --> 00:03:41.000]  我們很少認錯的
