
[00:00:00.000 --> 00:00:04.000]  今天早上看到有孩子
[00:00:04.000 --> 00:00:06.000]  也有整個家庭
[00:00:06.000 --> 00:00:08.000]  看到很多一個一個的家
[00:00:08.000 --> 00:00:11.000]  來到主面前去植思歌
[00:00:11.000 --> 00:00:14.000]  帶領我們進入復活節的清晨
[00:00:14.000 --> 00:00:16.000]  今天早上我回到神套會
[00:00:16.000 --> 00:00:20.000]  好好將一早最美好的時間獻給主
[00:00:20.000 --> 00:00:22.000]  是一件很美麗的事情
[00:00:22.000 --> 00:00:25.000]  雖然我們在放假
[00:00:25.000 --> 00:00:28.000]  我不知道有多少人去了外遊
[00:00:28.000 --> 00:00:30.000]  但是看到很多頂梓妹
[00:00:30.000 --> 00:00:32.000]  都繼續留在教會裡面
[00:00:32.000 --> 00:00:34.000]  非常感恩
[00:00:34.000 --> 00:00:37.000]  很多年來我們香港人都知道沒有外遊
[00:00:37.000 --> 00:00:38.000]  可能忍了很久
[00:00:38.000 --> 00:00:41.000]  我聽說這個復活節是報復式外出
[00:00:41.000 --> 00:00:43.000]  機場排隊
[00:00:43.000 --> 00:00:47.000]  原來他們不僅忍了很久沒有外遊
[00:00:47.000 --> 00:00:50.000]  其實我們今年復活節
[00:00:50.000 --> 00:00:53.000]  年壽苦節的主題是用了忍耐到底
[00:00:53.000 --> 00:00:55.000]  作為一個主題
[00:00:55.000 --> 00:00:57.000]  我們可能說忍了很久
[00:00:57.000 --> 00:01:00.000]  但是忍耐到底是什麼呢?
[00:01:00.000 --> 00:01:03.000]  我們發覺其實我們忍耐了很多事情
[00:01:03.000 --> 00:01:06.000]  可能近來香港人其中一個忍耐就是
[00:01:06.000 --> 00:01:08.000]  我們忍耐我們的孩子
[00:01:08.000 --> 00:01:09.000]  玩了很久的朋友
[00:01:09.000 --> 00:01:12.000]  特時跟我們說他們要移民了
[00:01:12.000 --> 00:01:15.000]  不能夠再像以往那樣見到面
[00:01:15.000 --> 00:01:20.000]  又或者可能我們特時要忍耐的
[00:01:20.000 --> 00:01:23.000]  甚至是自己的至親要移居了
[00:01:23.000 --> 00:01:25.000]  可能是我們的親人
[00:01:25.000 --> 00:01:28.000]  可能是我們工作了很久的同事
[00:01:28.000 --> 00:01:30.000]  可能是我們的好朋友
[00:01:30.000 --> 00:01:31.000]  大學的同學
[00:01:31.000 --> 00:01:36.000]  很多很多在很短的時間內就說他們要離開
[00:01:36.000 --> 00:01:38.000]  這個都是我們近來的忍耐
[00:01:38.000 --> 00:01:39.000]  可能不單止這些忍耐
[00:01:39.000 --> 00:01:41.000]  更加大的忍耐可能是
[00:01:41.000 --> 00:01:43.000]  在過去幾年的疫症裏面
[00:01:43.000 --> 00:01:46.000]  我們忍耐了很多的擔驚受怕
[00:01:46.000 --> 00:01:49.000]  我們忍耐了可能不知道什麼時候被通知
[00:01:49.000 --> 00:01:51.000]  自己患上了COVID
[00:01:51.000 --> 00:01:52.000]  自己收拾好袋子
[00:01:52.000 --> 00:01:54.000]  要進去竹篙灣
[00:01:54.000 --> 00:01:58.000]  我們忍耐著可能很特時的年長的一輩
[00:01:58.000 --> 00:01:59.000]  進了醫院
[00:01:59.000 --> 00:02:01.000]  很難再有機會探望到他
[00:02:01.000 --> 00:02:03.000]  在老人院很難見到他的面
[00:02:03.000 --> 00:02:06.000]  這些都是我們一一忍過的路程
