
[00:00:00.000 --> 00:00:02.760]  從《史徒行傳》的21章1至16節
[00:00:02.760 --> 00:00:08.000]  我們會看到保羅決定要離開他在外邦人的工場
[00:00:08.000 --> 00:00:10.000]  回到耶路撒冷那裡
[00:00:10.000 --> 00:00:12.400]  在第一節他這樣說
[00:00:12.400 --> 00:00:14.520]  「我們離別了那門以後
[00:00:14.520 --> 00:00:16.880]  船就直航到了哥斯
[00:00:16.880 --> 00:00:18.920]  第二天到羅底
[00:00:18.920 --> 00:00:21.880]  從那裡開往帕大拉
[00:00:21.880 --> 00:00:24.680]  遇見一艘開往腓利基的船
[00:00:24.680 --> 00:00:25.880]  就上船起行
[00:00:25.880 --> 00:00:28.120]  我們遠遠看見塞浦路斯
[00:00:28.120 --> 00:00:31.640]  從南邊駛過直航敘利亞
[00:00:31.640 --> 00:00:33.520]  再推羅靠鳥岸
[00:00:33.520 --> 00:00:35.920]  因為船要在那裡卸貨」
[00:00:35.920 --> 00:00:38.280]  這裡說我們就是保羅
[00:00:38.280 --> 00:00:41.520]  加上《史徒行傳》作者路加的團隊
[00:00:41.520 --> 00:00:45.600]  在他的宣教地方回到以色列
[00:00:45.600 --> 00:00:47.400]  但需要坐船
[00:00:47.400 --> 00:00:50.160]  坐船的過程不是像我們今天買船票
[00:00:50.160 --> 00:00:52.520]  買船票到時轉船就可以了
[00:00:52.520 --> 00:00:54.720]  或者轉飛機到時轉就可以了
[00:00:54.720 --> 00:00:55.560]  不是的
[00:00:55.560 --> 00:00:56.680]  我們見到有船
[00:00:56.680 --> 00:00:58.520]  給錢就上船
[00:00:58.520 --> 00:00:59.680]  有時可能運貨
[00:00:59.680 --> 00:01:00.600]  有時可能運客
[00:01:00.600 --> 00:01:01.520]  他什麼都運
[00:01:01.520 --> 00:01:04.160]  剛好那條船有經過某一點
[00:01:04.160 --> 00:01:05.480]  我就可以轉船了
[00:01:05.480 --> 00:01:07.280]  所以他們有船就上
[00:01:07.280 --> 00:01:10.240]  一路一路向南邊去走
[00:01:10.240 --> 00:01:12.520]  轉船之後
[00:01:12.520 --> 00:01:14.160]  轉著轉著就到推羅
[00:01:14.160 --> 00:01:16.680]  推羅在以色列的北面
[00:01:16.680 --> 00:01:18.640]  都算是一個很繁盛的港口
[00:01:18.640 --> 00:01:19.920]  他坐的船
[00:01:19.920 --> 00:01:21.280]  船就要卸貨
[00:01:21.280 --> 00:01:23.880]  他都要轉船去其他地方
[00:01:23.880 --> 00:01:25.520]  繼續去啟程
[00:01:25.520 --> 00:01:27.080]  去到第四節
[00:01:27.080 --> 00:01:30.080]  他就在當地找一些門徒去接濟他
[00:01:30.080 --> 00:01:31.480]  因為他不知道要等多久
[00:01:31.480 --> 00:01:33.320]  才啟程到下一個點
[00:01:33.320 --> 00:01:34.920]  第四節他就這樣說
[00:01:34.920 --> 00:01:37.040]  「我們找到了一些門徒
[00:01:37.040 --> 00:01:38.720]  就在那裡住了七天
[00:01:38.720 --> 00:01:40.520]  他們憑著聖靈的指示
[00:01:40.520 --> 00:01:43.240]  告訴保羅不要上耶路撒冷去
[00:01:43.240 --> 00:01:44.520]  過了這幾天
[00:01:44.520 --> 00:01:46.680]  我們就啟程前行
[00:01:46.680 --> 00:01:51.200]  他們眾人帶著妻子兒女送別我們到城外
[00:01:51.200 --> 00:01:53.880]  我們跪在海灘上禱告
[00:01:53.880 --> 00:01:55.000]  互相道別
[00:01:55.000 --> 00:01:56.280]  我們上了船
[00:01:56.280 --> 00:01:58.720]  他們就回家去了」
[00:01:58.720 --> 00:02:02.520]  這裡是他們主動向當地的信徒求助
[00:02:02.520 --> 00:02:04.280]  因為他們不知道要等多久
[00:02:04.280 --> 00:02:05.880]  才有下一條船
