
[00:00:00.000 --> 00:00:02.320]  今天跟大家講的題目
[00:00:02.320 --> 00:00:06.000]  叫做「荒謬世代下的成長與出路」
[00:00:06.000 --> 00:00:09.320]  我們會讀列王記上的經文
[00:00:09.320 --> 00:00:11.000]  我們會分幾段讀
[00:00:11.000 --> 00:00:16.240]  這次先讀第十七章的一到九節
[00:00:16.240 --> 00:00:21.480]  我們就請大兄先讀一到四
[00:00:21.480 --> 00:00:24.240]  姐妹就讀五到九,好嗎?
[00:00:24.240 --> 00:00:25.760]  好,我們請大兄先
[00:00:25.760 --> 00:00:28.760]  通常大兄讀經會小聲一點
[00:00:28.960 --> 00:00:30.200]  大聲一點好嗎?
[00:00:30.200 --> 00:00:31.400]  好嗎?
[00:00:31.400 --> 00:00:34.360]  好,大聲一點,預備,一二三
[00:00:34.640 --> 00:00:40.320]  「寄居的提比比人,以利亞對阿哈說:
[00:00:40.320 --> 00:00:43.880]  『我指著所侍奉永生耶和華
[00:00:43.880 --> 00:00:45.920]  以色列的神起誓
[00:00:45.920 --> 00:00:48.560]  這幾年我若不禱告
[00:00:48.560 --> 00:00:51.360]  必不降路,不下雨。』
[00:00:51.360 --> 00:00:54.760]  耶和華的說臨到以利亞說:
[00:00:54.760 --> 00:00:57.600]  『你離開這裏黃東去
[00:00:57.600 --> 00:01:01.720]  藏在若但河東面的基納溪泊
[00:01:01.960 --> 00:01:04.480]  你要喝那溪裏的水
[00:01:04.480 --> 00:01:08.640]  我已吩咐烏鴉在那裏供養你。』」
[00:01:08.640 --> 00:01:10.960]  好,姐妹請一二三
[00:01:10.960 --> 00:01:14.760]  「於是以利亞照著耶和華的話
[00:01:14.760 --> 00:01:18.600]  去住在極海洋洪東的基納溪泊
[00:01:18.600 --> 00:01:22.520]  烏鴉早散落在這片黃河陸內
[00:01:22.520 --> 00:01:25.440]  他也在那裏喝了水
[00:01:25.440 --> 00:01:28.960]  我已說一次,在水上方便
[00:01:29.080 --> 00:01:31.880]  因為要游泳,不在地上
[00:01:31.880 --> 00:01:34.680]  耶和華的話沒有加注
[00:01:34.680 --> 00:01:38.240]  你起身往西邊的沙瀨發去
[00:01:38.240 --> 00:01:39.880]  此在那裏
[00:01:39.880 --> 00:01:43.920]  我已吩咐那裏的一個寡婦供養你。」
[00:01:43.920 --> 00:01:46.200]  好,我們一起禱告
[00:01:46.200 --> 00:01:47.760]  七位天父
[00:01:47.760 --> 00:01:50.440]  讓你的說話向我們說話
[00:01:50.440 --> 00:01:53.560]  讓你的話語成為我們生命的亮光
[00:01:53.560 --> 00:01:56.960]  我們面對一些我們不能夠掌握明白的事
[00:01:57.080 --> 00:01:59.880]  讓我們存在信心去仰望你
[00:01:59.880 --> 00:02:01.840]  帶領我們明白你的話語
[00:02:01.840 --> 00:02:04.360]  透過以利亞一生的經驗當中
[00:02:04.360 --> 00:02:06.840]  我們知道上帝今天如何差遣我們
