
[00:00:00.000 --> 00:00:02.240]  其實排隊也是我們人生中
[00:00:02.240 --> 00:00:04.800]  特別是香港人常常遭遇的事情
[00:00:04.800 --> 00:00:06.600]  雖然今天我們講一段經文
[00:00:06.600 --> 00:00:09.040]  關於很怕淘汰又怎麼辦
[00:00:09.040 --> 00:00:11.600]  有馬可福音和加一點約翰福音
[00:00:11.600 --> 00:00:13.920]  但是在下一張powerpoint我們會看到
[00:00:13.920 --> 00:00:17.720]  其實現在我們真的是執書走投
[00:00:17.720 --> 00:00:18.960]  比敗家更慘
[00:00:18.960 --> 00:00:22.520]  不過最可怕的是AI抬頭很難養家
[00:00:22.520 --> 00:00:24.400]  你也明白這個道理
[00:00:24.400 --> 00:00:26.880]  曾經有個媽媽跟我說
[00:00:26.880 --> 00:00:30.680]  其實我的兒子要怎樣才不會執書
[00:00:30.680 --> 00:00:32.600]  她說現在AI抬頭
[00:00:32.600 --> 00:00:35.080]  學些什麼才不會被AI取代
[00:00:35.080 --> 00:00:38.400]  你上網看到很多教你不要被AI取代的東西
[00:00:38.400 --> 00:00:39.880]  其實我想跟你說
[00:00:39.880 --> 00:00:43.000]  你的兒子一定是被AI取代的
[00:00:43.000 --> 00:00:46.640]  其實某些人的子女已經被一些東西取代了
[00:00:46.640 --> 00:00:48.800]  例如原本以前的人是生孩子的
[00:00:48.800 --> 00:00:51.480]  但現在都是養養狗養養貓就算了
[00:00:51.480 --> 00:00:53.560]  所以貓狗已經代替了
[00:00:53.560 --> 00:00:54.840]  淘汰了子女
[00:00:54.840 --> 00:00:57.040]  其實在某程度上在人類的社會裡面
[00:00:57.040 --> 00:00:59.240]  AI是沒有什麼是做不到的
[00:00:59.240 --> 00:01:00.600]  只要它進入我的資料
[00:01:00.600 --> 00:01:01.600]  又合成我的樣子
[00:01:01.600 --> 00:01:02.560]  其實它播放一段影片
[00:01:02.560 --> 00:01:04.640]  我在說什麼你也不知道
[00:01:04.640 --> 00:01:06.800]  所以其實沒有東西是代替不了的
[00:01:06.800 --> 00:01:08.800]  還有人類經常會出錯的
[00:01:08.800 --> 00:01:10.400]  例如排隊為例
[00:01:10.400 --> 00:01:15.200]  我試過去一些小時候的漫畫展排隊
[00:01:15.200 --> 00:01:17.920]  排隊的時候就衝進去排
[00:01:17.920 --> 00:01:20.200]  因為我要買限量版的刀劍
[00:01:20.200 --> 00:01:21.400]  什麼叫刀劍呢
[00:01:21.400 --> 00:01:22.640]  就不是真刀真劍
[00:01:22.640 --> 00:01:24.120]  就是那些風雲畫集
[00:01:24.120 --> 00:01:24.920]  如果你認識這些
[00:01:24.920 --> 00:01:26.120]  跟我年紀差不多
[00:01:26.120 --> 00:01:27.440]  風雲、天下
[00:01:27.440 --> 00:01:29.280]  什麼絕世好劍
[00:01:29.280 --> 00:01:30.120]  要衝進去買
[00:01:30.120 --> 00:01:32.120]  因為限量版一百把
[00:01:32.120 --> 00:01:32.800]  一衝進去
[00:01:32.800 --> 00:01:33.680]  看到一條隊
[00:01:33.680 --> 00:01:34.480]  很多人的
[00:01:34.480 --> 00:01:35.880]  就跑去排隊
[00:01:35.880 --> 00:01:36.480]  排著排著
[00:01:36.480 --> 00:01:37.800]  我發現那些人的氣息
[00:01:37.800 --> 00:01:40.720]  跟我以前玩刀劍的人有點不同
[00:01:40.720 --> 00:01:41.400]  我就問他
[00:01:41.400 --> 00:01:42.520]  這裡這麼多人排隊
[00:01:42.520 --> 00:01:43.840]  其實我們排什麼
[00:01:43.840 --> 00:01:45.920]  他說這裡是賣寫真集的
[00:01:45.920 --> 00:01:50.440]  其實有時候你就很怕被淘汰
[00:01:50.440 --> 00:01:51.480]  亂掃地
[00:01:51.480 --> 00:01:52.080]  就不停衝
[00:01:52.080 --> 00:01:53.720]  看到有隊就排
[00:01:53.720 --> 00:01:55.840]  但其實你要搞清楚
[00:01:55.840 --> 00:01:56.960]  就是你的目標
[00:01:56.960 --> 00:01:59.000]  排隊那裡又排錯
[00:01:59.000 --> 00:02:00.440]  定位又定錯
