
[00:00:00.000 --> 00:00:03.480]  今天想和大家宣講的講題叫做
[00:00:03.480 --> 00:00:05.680]  信仰歷期旅程
[00:00:05.680 --> 00:00:09.600]  不知道大家有沒有玩過這類的活動
[00:00:09.600 --> 00:00:12.720]  通常是一些比較有挑戰性
[00:00:12.720 --> 00:00:16.120]  或者當中有很多的難關
[00:00:16.120 --> 00:00:18.800]  你要去完成那個站
[00:00:18.800 --> 00:00:21.520]  你才可以去到另一個站
[00:00:21.520 --> 00:00:22.920]  通常在一個站裏面
[00:00:22.920 --> 00:00:25.160]  有時候會給一些提示你
[00:00:25.160 --> 00:00:27.000]  或者給一些挑戰你
[00:00:27.000 --> 00:00:30.680]  或者要你去用一些很有限的資源
[00:00:30.680 --> 00:00:33.680]  去完成大會的一些目標
[00:00:33.680 --> 00:00:37.360]  其實往往通常在參與者裏面
[00:00:37.360 --> 00:00:40.680]  都會想不如放棄了
[00:00:40.680 --> 00:00:42.920]  中途不如退出了
[00:00:42.920 --> 00:00:45.360]  好像覺得不可能再下去
[00:00:45.360 --> 00:00:48.080]  這場賽事是要終結了
[00:00:48.080 --> 00:00:54.800]  但是當參賽者能夠按照指示堅忍地
[00:00:54.800 --> 00:00:58.080]  也能夠順利地完成整個旅程
[00:00:58.080 --> 00:01:00.320]  他們回望這個旅程的時候
[00:01:00.320 --> 00:01:04.920]  他們就會覺得自己原來在裏面不知不覺地成長了
[00:01:04.920 --> 00:01:10.720]  這段時間中堂一直都在講雅各的生平
[00:01:10.720 --> 00:01:14.600]  今天我們都會繼續去講雅各的生平
[00:01:14.600 --> 00:01:16.560]  當我預備這篇信息的時候
[00:01:16.560 --> 00:01:18.000]  很多的色經家都說
[00:01:18.000 --> 00:01:21.000]  來到錯世的35章似乎
[00:01:21.000 --> 00:01:26.480]  都是雅各的生平的一個類似的總結
[00:01:26.480 --> 00:01:28.240]  往後的章節
[00:01:28.240 --> 00:01:30.880]  其實就會由雅各這個主角
[00:01:30.880 --> 00:01:34.200]  轉移到他的兒子的身上
[00:01:34.200 --> 00:01:37.160]  讓我們今天能夠去看看
[00:01:37.160 --> 00:01:40.480]  究竟在雅各這個生平裏面
[00:01:40.480 --> 00:01:44.600]  他其實都是參與著一個信仰的歷期的旅程
[00:01:44.600 --> 00:01:46.680]  如果大家記得
[00:01:46.680 --> 00:01:49.000]  上個星期 Roger 牧師跟我們說
[00:01:49.000 --> 00:01:52.480]  就是雅各在雅伯道口
[00:01:52.480 --> 00:01:55.000]  在比魯伊勒那裏跟神率交
[00:01:55.000 --> 00:01:58.360]  神在那裏跟神率交
[00:01:58.360 --> 00:02:02.280]  以至神為他改名叫做以色列
[00:02:02.280 --> 00:02:05.360]  然後到33章
[00:02:05.360 --> 00:02:09.760]  就講到原本雅各很害怕要見耳掃
[00:02:09.760 --> 00:02:12.360]  很害怕耳掃要取他的姓名
[00:02:12.360 --> 00:02:15.080]  但是當他跟神率交之後
[00:02:15.080 --> 00:02:17.080]  他的靈命被上帝更新
[00:02:17.080 --> 00:02:18.480]  他親自遇見上帝
[00:02:18.480 --> 00:02:20.800]  他能夠流傳生命的時候
[00:02:20.800 --> 00:02:24.760]  他有那份勇氣去迎見他的哥哥耳掃
[00:02:24.760 --> 00:02:29.240]  就在33章裏面他們能夠去相見
[00:02:29.240 --> 00:02:31.560]  兩兄弟經過了二十年之後
[00:02:31.560 --> 00:02:33.960]  他們終於可以再一次相見
[00:02:33.960 --> 00:02:35.920]  耳掃邀請他
[00:02:35.920 --> 00:02:38.560]  跟他一起去西藝裏面居住
[00:02:38.560 --> 00:02:41.280]  不過雅各仍然心裏面都是一些怯
[00:02:41.280 --> 00:02:44.560]  所以他婉拒了哥哥這個邀請
[00:02:44.560 --> 00:02:48.360]  當雅各見到耳掃回到西藝的時候
[00:02:48.360 --> 00:02:53.880]  他就從相反方向離開了
[00:02:53.880 --> 00:02:59.520]  他就由比奴伊那再過去雅博河裏面
[00:02:59.520 --> 00:03:02.320]  去到疏國這個地方裏面
[00:03:02.320 --> 00:03:06.600]  經文裏面在33章裏面講到
[00:03:06.600 --> 00:03:08.320]  他去到疏國這個地方
[00:03:08.320 --> 00:03:10.520]  因為那裏土地肥沃
[00:03:10.520 --> 00:03:11.960]  還有很多草
[00:03:11.960 --> 00:03:12.760]  很適合
[00:03:12.760 --> 00:03:13.640]  你記得嗎
