
[00:00:00.000 --> 00:00:04.540]  我們亦感恩神今天讓我們可以回到崇拜當中
[00:00:04.540 --> 00:00:06.200]  我們一起去敬拜祢
[00:00:06.200 --> 00:00:07.820]  求神祢打開我們的心
[00:00:07.820 --> 00:00:09.820]  讓我們聆聽神祢的話語
[00:00:09.820 --> 00:00:13.180]  被祢的話語去改變和幫助
[00:00:13.180 --> 00:00:16.540]  讓我們記得神在我們生命裏的引導
[00:00:16.540 --> 00:00:17.720]  我們這樣禱告教託
[00:00:17.720 --> 00:00:19.100]  乃奉主耶穌基督之名
[00:00:19.100 --> 00:00:19.820]  祈求
[00:00:19.820 --> 00:00:20.820]  阿們
[00:00:20.820 --> 00:00:24.900]  想問問大家
[00:00:24.900 --> 00:00:28.900]  不知道大家有沒有試過走冤枉路
[00:00:29.200 --> 00:00:31.640]  白走路有沒有試過
[00:00:31.640 --> 00:00:33.640]  一定有
[00:00:33.640 --> 00:00:36.440]  我記得在去年秋天
[00:00:36.440 --> 00:00:38.440]  大約在秋天的時間
[00:00:38.440 --> 00:00:42.440]  我和朋友一起去走城門水塘
[00:00:42.440 --> 00:00:44.440]  大家有沒有走過
[00:00:44.440 --> 00:00:47.200]  香港一定會走城門水塘
[00:00:47.200 --> 00:00:50.840]  我一開始打算隨便走
[00:00:50.840 --> 00:00:55.840]  記得有一段路是走一條大斜路下去
[00:00:55.840 --> 00:00:59.240]  尾段就走
[00:00:59.240 --> 00:01:01.740]  那天很奇怪
[00:01:01.740 --> 00:01:06.240]  不知為何很多人從那條大斜路上來
[00:01:06.240 --> 00:01:09.240]  我心想為何人們這麼斜
[00:01:09.240 --> 00:01:12.240]  選一條路來從這裏開始
[00:01:12.240 --> 00:01:16.240]  還在想是否真的傻
[00:01:16.240 --> 00:01:18.240]  到達大斜路底
[00:01:18.240 --> 00:01:22.240]  我才發現原來有一張告示
[00:01:22.240 --> 00:01:25.240]  寫著因為垮樹的關係
[00:01:25.240 --> 00:01:27.240]  所以封路了
[00:01:27.240 --> 00:01:28.640]  代表甚麼呢
[00:01:28.640 --> 00:01:32.640]  我還以為在大斜路上走上去
[00:01:32.640 --> 00:01:38.640]  我心裡埋怨
[00:01:38.640 --> 00:01:39.640]  有點壞
[00:01:39.640 --> 00:01:42.640]  我在想剛才那幾個人
[00:01:42.640 --> 00:01:44.640]  明知下了去
[00:01:44.640 --> 00:01:45.640]  是掘頭路
[00:01:45.640 --> 00:01:47.640]  為何不提醒我們
[00:01:47.640 --> 00:01:51.640]  就不用我們走那麼多冤枉路
[00:01:51.640 --> 00:01:52.640]  如果讓你
[00:01:52.640 --> 00:01:56.640]  你會否提醒即將走冤枉路的人
[00:01:56.640 --> 00:01:57.640]  誰願意
[00:01:57.640 --> 00:02:01.640]  下次約你一起行山
[00:02:01.640 --> 00:02:04.640]  人生有時會遇到很多挑戰
[00:02:04.640 --> 00:02:06.640]  難關問題
[00:02:06.640 --> 00:02:08.640]  需要成長的空間
[00:02:08.640 --> 00:02:11.640]  有人說經一事長一智
[00:02:11.640 --> 00:02:13.640]  如果有人提醒自己
[00:02:13.640 --> 00:02:15.640]  可以避免發生的問題
[00:02:15.640 --> 00:02:18.640]  就不用走那麼多冤枉路
[00:02:18.640 --> 00:02:20.640]  不過昔日
