
[00:00:00.000 --> 00:00:02.960]  我們的信心是怎樣的呢?弟兄姊妹
[00:00:02.960 --> 00:00:04.960]  我說的是對主的信心
[00:00:04.960 --> 00:00:09.160]  有沒有動搖呢?有沒有軟弱呢?
[00:00:09.160 --> 00:00:12.520]  所以很盼望今天的經文
[00:00:12.520 --> 00:00:15.960]  我們看《馬太福音》十七章的經文
[00:00:15.960 --> 00:00:19.160]  有關門徒趕鬼的故事
[00:00:19.160 --> 00:00:23.800]  幫我們去反思我們對主的信心
[00:00:23.800 --> 00:00:26.400]  究竟我們的根基是怎樣的呢?
[00:00:26.400 --> 00:00:28.240]  不知道大家有沒有這個反思
[00:00:28.240 --> 00:00:30.240]  我們信主的根基是怎樣的呢?
[00:00:30.240 --> 00:00:32.240]  我們的信心是怎樣的呢?
[00:00:32.240 --> 00:00:34.040]  我們一起去學習
[00:00:34.040 --> 00:00:37.040]  怎樣在主面前培育、培養
[00:00:37.040 --> 00:00:39.640]  既單純又堅定的信心
[00:00:39.640 --> 00:00:43.240]  當我們面對周遭這麼多風浪的時候
[00:00:43.240 --> 00:00:46.840]  我們的信心不至於動搖
[00:00:46.840 --> 00:00:49.440]  我們可以堅持到底
[00:00:49.440 --> 00:00:51.640]  大家相不相信?
[00:00:51.640 --> 00:00:53.640]  我們可以很有能力去侍奉主
[00:00:53.640 --> 00:00:55.640]  去見證主是多好
[00:00:55.640 --> 00:00:57.640]  我們先一起祈禱吧
[00:00:58.640 --> 00:01:02.640]  七夕主求祢先安靜我們的心
[00:01:02.640 --> 00:01:06.640]  盼望今天透過科林書裡面的一段經文
[00:01:06.640 --> 00:01:08.640]  門徒趕鬼的故事
[00:01:08.640 --> 00:01:12.640]  讓我們反思信心這個題目
[00:01:12.640 --> 00:01:15.640]  也反思我們信心的生命
[00:01:15.640 --> 00:01:19.240]  怎樣能夠可以在你的心意裡面
[00:01:19.240 --> 00:01:21.240]  我們活出我們的信仰
[00:01:21.240 --> 00:01:24.640]  求主將我們心靈的擔子
[00:01:24.640 --> 00:01:27.240]  心裡面的重擔先放下
[00:01:27.240 --> 00:01:28.240]  交託給你
[00:01:28.240 --> 00:01:30.240]  讓我們能夠清心見你
[00:01:30.240 --> 00:01:33.240]  也靠你的話語去帶領我們
[00:01:33.240 --> 00:01:34.240]  我們這樣去祈禱
[00:01:34.240 --> 00:01:36.240]  是奉靠我主耶穌基督的名
[00:01:36.240 --> 00:01:37.240]  阿門
[00:01:37.240 --> 00:01:43.240]  經文是《馬太福音》十七章十四到二十一節
[00:01:43.240 --> 00:01:48.240]  是門徒趕鬼的信心的危機
[00:01:48.240 --> 00:01:51.240]  說說背景
[00:01:51.240 --> 00:01:52.240]  這件事件
[00:01:52.240 --> 00:01:53.240]  之前那一晚
[00:01:53.240 --> 00:01:55.240]  是耶穌帶著三個愛將
[00:01:55.240 --> 00:01:57.240]  貝德雅各、約翰上山
[00:01:57.240 --> 00:01:59.240]  知道做什麼嗎?
[00:01:59.240 --> 00:02:01.240]  登山變像
[00:02:01.240 --> 00:02:03.240]  其實很羨慕
[00:02:03.240 --> 00:02:06.240]  親眼目睹耶穌變像
[00:02:06.240 --> 00:02:09.240]  變成神聖的那一面
[00:02:09.240 --> 00:02:13.240]  他很想鼓勵那幾個門徒
[00:02:13.240 --> 00:02:18.240]  因為他們將來都要面對苦難
[00:02:18.240 --> 00:02:21.240]  那一刻他們目睹耶穌的榮耀
[00:02:21.240 --> 00:02:23.240]  耶穌的神聖
[00:02:24.240 --> 00:02:26.240]  信心會大增
[00:02:26.240 --> 00:02:31.240]  可以無畏無懼地去跟從
[00:02:31.240 --> 00:02:33.240]  背起十格跟從
[00:02:33.240 --> 00:02:34.240]  是不是很重要?
[00:02:34.240 --> 00:02:37.240]  當他們下山
