
[00:00:00.000 --> 00:00:06.000]  我想問一個問題,在座有沒有人被人問過的?
[00:00:06.000 --> 00:00:09.000]  這個問題是死了去哪裏?
[00:00:09.000 --> 00:00:12.000]  為什麼我會笑呢?
[00:00:12.000 --> 00:00:14.000]  死了去哪裏是一個很嚴肅的問題
[00:00:14.000 --> 00:00:16.000]  死了去哪裏?
[00:00:16.000 --> 00:00:20.000]  如果有人,你被人問過的問題請舉手好不好?
[00:00:20.000 --> 00:00:21.000]  有沒有?
[00:00:21.000 --> 00:00:25.000]  也不少,上面少一點也有
[00:00:25.000 --> 00:00:28.000]  原來我們也被人問過這個問題
[00:00:28.000 --> 00:00:32.000]  我小時候經常被母親問這個問題
[00:00:32.000 --> 00:00:34.000]  因為她外出玩
[00:00:34.000 --> 00:00:36.000]  玩完之後她也考我這個問題
[00:00:36.000 --> 00:00:39.000]  死了去哪裏?
[00:00:39.000 --> 00:00:41.000]  死了去哪裏?
[00:00:41.000 --> 00:00:44.000]  為什麼這麼難回答呢?
[00:00:44.000 --> 00:00:48.000]  其實這個是博士級的研究問題
[00:00:48.000 --> 00:00:55.000]  坊間經常用這個問題去問家人、同事、朋友
[00:00:55.000 --> 00:00:57.000]  你死了去哪裏?
[00:00:57.000 --> 00:00:59.000]  有些人就會回答
[00:00:59.000 --> 00:01:07.000]  去見客、開OT、塞車、看電影、逛街
[00:01:07.000 --> 00:01:09.000]  或者和朋友打遊戲機
[00:01:09.000 --> 00:01:12.000]  年輕人可能被人問得比較多
[00:01:12.000 --> 00:01:15.000]  各種不同答案都有
[00:01:15.000 --> 00:01:19.000]  死了也還要見客
[00:01:19.000 --> 00:01:22.000]  死了也還要OT
[00:01:22.000 --> 00:01:23.000]  慘不慘?
[00:01:23.000 --> 00:01:25.000]  也挺慘的
[00:01:25.000 --> 00:01:29.000]  我相信發問者只是想知道你去了哪裏
[00:01:29.000 --> 00:01:33.000]  但是加多了一個死字
[00:01:33.000 --> 00:01:37.000]  結果這條問題就成為千古的難題
[00:01:37.000 --> 00:01:39.000]  就連孔夫子也說
[00:01:39.000 --> 00:01:43.000]  未知生,焉知死
[00:01:43.000 --> 00:01:48.000]  意思是我們連生的目的也未搞清楚
[00:01:48.000 --> 00:01:51.000]  何來去談死呢?
[00:01:51.000 --> 00:01:54.000]  難怪孔夫子他窮一生的心力
[00:01:54.000 --> 00:01:57.000]  去研究生的問題
[00:01:57.000 --> 00:02:04.000]  去試著幫人修身立命、齊家、治國、平天下
[00:02:04.000 --> 00:02:08.000]  但是對死的問題就一籌莫展
[00:02:08.000 --> 00:02:11.000]  事實在生的人
[00:02:11.000 --> 00:02:13.000]  即是活生生那些
[00:02:13.000 --> 00:02:17.000]  沒辦法告訴我們究竟死是怎樣
[00:02:17.000 --> 00:02:20.000]  因為他未死過
[00:02:20.000 --> 00:02:23.000]  怎知道死後的事呢?
[00:02:23.000 --> 00:02:24.000]  就算他死了
[00:02:24.000 --> 00:02:27.000]  他也回不來告訴你
[00:02:27.000 --> 00:02:32.000]  結果死就成為千古之謎
[00:02:32.000 --> 00:02:34.000]  直到兩千年前
[00:02:34.000 --> 00:02:35.000]  神的兒子耶穌基督
[00:02:35.000 --> 00:02:37.000]  道成肉身來到世上
[00:02:37.000 --> 00:02:42.000]  死這個問題就得以解開
[00:02:42.000 --> 00:02:45.000]  主耶穌解開了死的問題
[00:02:45.000 --> 00:02:47.000]  怎樣解開呢?
[00:02:47.000 --> 00:02:50.000]  今天是教會門屠城長老
[00:02:50.000 --> 00:02:53.000]  馬可福音講道系列的第一講
[00:02:53.000 --> 00:02:57.000]  我們用的主題是「破繭的蛻變」
[00:02:57.000 --> 00:03:01.000]  我用「追星三部曲」為主題
[00:03:01.000 --> 00:03:03.000]  我們會從馬可福音的第一章
[00:03:03.000 --> 00:03:06.000]  耶穌基督福音講起
[00:03:06.000 --> 00:03:08.000]  在進入經文之前
[00:03:08.000 --> 00:03:11.000]  讓我們同心同意
[00:03:11.000 --> 00:03:14.000]  親愛的父神
[00:03:14.000 --> 00:03:16.000]  求祢賜福給以下時間
[00:03:16.000 --> 00:03:19.000]  讓僕人講得清楚祢的教訓
[00:03:19.000 --> 00:03:22.000]  使聽眾聽得明白祢的道
[00:03:22.000 --> 00:03:25.000]  禱告奉救主耶穌基督之名祈求
[00:03:25.000 --> 00:03:26.000]  阿們
[00:03:26.000 --> 00:03:28.000]  我想請弟兄姊妹
[00:03:28.000 --> 00:03:31.000]  跟我一同重讀經文
[00:03:31.000 --> 00:03:32.000]  經文是記載在
[00:03:32.000 --> 00:03:35.000]  馬可福音一章一到十四節
[00:03:35.000 --> 00:03:37.000]  我們用的是和合版
[00:03:37.000 --> 00:03:39.000]  和合版修訂版
[00:03:39.000 --> 00:03:41.000]  「考驗歌目」也有這段經文
[00:03:41.000 --> 00:03:42.000]  讓我們一起重讀
[00:03:42.000 --> 00:03:47.000]  神的兒子耶穌基督福音的起頭
[00:03:47.000 --> 00:03:51.000]  正如以塞亞仙之書上記載
[00:03:51.000 --> 00:03:56.000]  看啊!我要差遣我的使者在你面前
[00:03:56.000 --> 00:03:58.000]  他要為你預備道路
[00:03:58.000 --> 00:04:02.000]  在曠野有聲音喊著說
[00:04:02.000 --> 00:04:05.000]  天主的道,修直他的路
[00:04:05.000 --> 00:04:09.000]  照者說:施洗約翰來到曠野
[00:04:09.000 --> 00:04:13.000]  宣講悔改的洗禮,使罪得赦
[00:04:13.000 --> 00:04:18.000]  猶太傳遞和傳耶路撒冷的人都出去
[00:04:18.000 --> 00:04:22.000]  到約翰那裡承認他們的罪
[00:04:22.000 --> 00:04:25.000]  在約旦河裡受他的洗
[00:04:25.000 --> 00:04:28.000]  約翰穿著毛毛的衣服
[00:04:28.000 --> 00:04:33.000]  腰束皮帶,吃的是蝗蟲和野蜜
[00:04:33.000 --> 00:04:37.000]  他宣講說:有一位在我耳後來的
[00:04:37.000 --> 00:04:39.000]  能力比我大
[00:04:39.000 --> 00:04:44.000]  我就是彎腰給他解鞋帶也不配
[00:04:44.000 --> 00:04:49.000]  我用水給你們施洗
[00:04:49.000 --> 00:04:55.000]  那時耶穌從加里里的那實立來
[00:04:55.000 --> 00:04:59.000]  在約旦河裡受了約翰的洗
[00:04:59.000 --> 00:05:01.000]  他從水裡一上來
[00:05:01.000 --> 00:05:04.000]  就看見天已開了
[00:05:04.000 --> 00:05:08.000]  聖靈彷彿甲子降在他身上
[00:05:08.000 --> 00:05:12.000]  又有聲音從天上來說
[00:05:12.000 --> 00:05:16.000]  你是我的愛子,我喜悅你
[00:05:16.000 --> 00:05:20.000]  聖靈立刻把耶穌催促到曠野裡去
[00:05:20.000 --> 00:05:25.000]  他在曠野四十天受撒旦的洗禮
[00:05:25.000 --> 00:05:28.000]  並與耶穌同在一起
[00:05:28.000 --> 00:05:31.000]  且有天使來侍候他
[00:05:31.000 --> 00:05:33.000]  約翰下監以後
[00:05:33.000 --> 00:05:38.000]  耶穌來到加里里宣講神的福音
[00:05:38.000 --> 00:05:41.000]  謝謝弟兄姊妹
[00:05:41.000 --> 00:05:45.000]  經文一開始第一節和第十四節
[00:05:45.000 --> 00:05:50.000]  用了耶穌基督的福音和神的福音
[00:05:50.000 --> 00:05:55.000]  好像一個括號一樣包著整段經文
[00:05:55.000 --> 00:05:57.000]  何謂福音?
[00:05:57.000 --> 00:06:00.000]  福音包含了什麼信息呢?
[00:06:00.000 --> 00:06:03.000]  經文給我們最直接的答案是
[00:06:03.000 --> 00:06:09.000]  神的兒子耶穌基督的身上
[00:06:09.000 --> 00:06:12.000]  福音這個字"Engelion"
[00:06:12.000 --> 00:06:15.000]  有好消息的意思
[00:06:15.000 --> 00:06:19.000]  福音的意思指出有幾個方面
[00:06:19.000 --> 00:06:22.000]  第一,就是當耶穌基督在世的時候
[00:06:22.000 --> 00:06:27.000]  是指出神的國將藉著耶穌基督被建立
[00:06:27.000 --> 00:06:29.000]  而在基督死了之後
