
[00:00:00.000 --> 00:00:01.200]  慈悲恩愛的父神
[00:00:01.200 --> 00:00:02.680]  感謝祢讓我們有機會
[00:00:02.680 --> 00:00:06.200]  依然可以在神的殿裡敬拜祢
[00:00:06.200 --> 00:00:08.120]  這是主祢給我們的恩典
[00:00:08.120 --> 00:00:10.240]  縱然疫情有些反覆
[00:00:10.240 --> 00:00:12.400]  甚至現在也有些爆發的跡象
[00:00:12.400 --> 00:00:13.920]  但願主保守我們
[00:00:13.920 --> 00:00:16.840]  可以肯定神的恩典是不會變的
[00:00:16.840 --> 00:00:18.880]  而我們的心繼續在主裡面
[00:00:18.880 --> 00:00:20.720]  也要繼續學習怎樣去成長
[00:00:20.720 --> 00:00:22.480]  求主祢也用祢的華語
[00:00:22.480 --> 00:00:24.800]  讓我們各人也能夠有所得著
[00:00:24.800 --> 00:00:28.320]  可以怎樣去應對變幻莫測的世代
[00:00:28.320 --> 00:00:29.960]  以及繼續去親近主理
[00:00:29.960 --> 00:00:30.520]  以上祈禱
[00:00:30.520 --> 00:00:31.760]  交上來逢主耶穌基督
[00:00:31.760 --> 00:00:32.720]  明治已求
[00:00:32.720 --> 00:00:33.720]  阿們
[00:00:33.720 --> 00:00:36.120]  很多事情其實都沒有變
[00:00:36.120 --> 00:00:39.920]  不過其中有一樣事情是變了的
[00:00:39.920 --> 00:00:42.400]  這一堂崇拜據我理解
[00:00:42.400 --> 00:00:43.760]  就不會在網上直播
[00:00:43.760 --> 00:00:45.720]  所以只有你們知道
[00:00:45.720 --> 00:00:47.280]  你們不說出去
[00:00:47.280 --> 00:00:48.800]  我老婆就應該不知道
[00:00:48.800 --> 00:00:50.000]  理論上是這樣
[00:00:50.000 --> 00:00:53.640]  我發現我老婆結婚後是變了
[00:00:53.640 --> 00:00:56.320]  以前結婚前拍拖的時候
[00:00:56.320 --> 00:00:58.800]  就一起去餐廳點餐
[00:00:58.800 --> 00:01:01.240]  通常我問她你想吃什麼
[00:01:01.240 --> 00:01:02.560]  她說無所謂
[00:01:02.560 --> 00:01:04.440]  然後我就點了一些食物
[00:01:04.440 --> 00:01:06.880]  然後她就很開心地吃
[00:01:06.880 --> 00:01:09.600]  但結婚後就變了
[00:01:09.600 --> 00:01:11.160]  通常我點什麼
[00:01:11.160 --> 00:01:12.640]  她說都是不好
[00:01:12.640 --> 00:01:13.680]  跟我的那些
[00:01:13.680 --> 00:01:15.520]  我點給你吃
[00:01:15.520 --> 00:01:17.640]  我發現以前千依百順的她
[00:01:17.640 --> 00:01:19.720]  結婚後就變了
[00:01:19.720 --> 00:01:22.080]  我就問她為什麼會變成這樣
[00:01:22.080 --> 00:01:24.520]  以前你都是很馴服我
[00:01:24.520 --> 00:01:26.880]  我點什麼就點什麼
[00:01:26.880 --> 00:01:30.400]  她說我已經中招太多次了
[00:01:30.400 --> 00:01:32.200]  不想令自己後悔
[00:01:32.200 --> 00:01:33.200]  你點食物
[00:01:33.200 --> 00:01:34.920]  第一你專門試新菜式
[00:01:34.920 --> 00:01:37.320]  每次點新菜式都沒有好吃的
[00:01:37.320 --> 00:01:39.200]  第二你通常點太多
[00:01:39.200 --> 00:01:40.720]  太多到兩個人吃不完
[00:01:40.720 --> 00:01:42.360]  又要打包又或者不要
[00:01:42.360 --> 00:01:43.840]  很浪費
[00:01:43.840 --> 00:01:45.720]  她說我幫你點食物
[00:01:45.720 --> 00:01:48.920]  其實是一個愛你的行動
[00:01:48.920 --> 00:01:50.320]  愛你的心是沒有變的
[00:01:50.320 --> 00:01:52.560]  只是方式有一點點不同
[00:01:52.560 --> 00:01:53.800]  我說那好吧
[00:01:53.800 --> 00:01:55.400]  以後你點完食物
[00:01:55.400 --> 00:01:57.560]  我不會給意見
[00:01:57.560 --> 00:01:58.760]  她說這樣不行
[00:01:58.760 --> 00:02:00.680]  因為有時候我決定不了
[00:02:00.680 --> 00:02:01.680]  你點了食物
[00:02:01.680 --> 00:02:02.760]  我就取走你點的
[00:02:02.760 --> 00:02:05.360]  剩下的我就選好了
[00:02:05.360 --> 00:02:09.960]  原來她愛我的心度是遠超我的想像
[00:02:09.960 --> 00:02:11.840]  很多時候我們信了耶穌
[00:02:11.840 --> 00:02:16.080]  以為我們有些本質是變了
[00:02:16.080 --> 00:02:17.880]  尤其是我們信了耶穌之後
[00:02:17.880 --> 00:02:19.840]  主耶穌赦免了我們
[00:02:19.840 --> 00:02:22.440]  我們就不是罪人了
[00:02:22.440 --> 00:02:25.120]  但今天這段經文提摩太前書
[00:02:25.120 --> 00:02:29.480]  上一次陳黎素方牧師也說得很清楚
[00:02:29.480 --> 00:02:33.200]  他提到提摩太前書是提醒提摩太
[00:02:33.200 --> 00:02:36.200]  特別是面對異端的挑戰
[00:02:36.200 --> 00:02:40.120]  在教會裡怎樣令教會有分裂
[00:02:40.120 --> 00:02:41.720]  怎樣應對
[00:02:41.720 --> 00:02:43.720]  但今天保羅想說
[00:02:43.720 --> 00:02:45.320]  他有些本質
[00:02:45.320 --> 00:02:47.280]  他信了耶穌之後
[00:02:47.280 --> 00:02:48.920]  其實他也會記得
[00:02:48.920 --> 00:02:50.720]  他也不會變的
[00:02:50.720 --> 00:02:52.720]  這些本質他沒有變
[00:02:52.720 --> 00:02:56.320]  就形成了他不會藉神的名義去犯罪
[00:02:56.320 --> 00:02:58.400]  就是不會藉神去過橋
[00:02:58.400 --> 00:02:59.880]  因為有時候信了耶穌之後
[00:02:59.880 --> 00:03:02.200]  以為自己一定會變好
[00:03:02.200 --> 00:03:04.800]  但其實有些本質你忘記了的話
