
[00:00:00.000 --> 00:00:03.000]  好,弟子們晚安
[00:00:03.000 --> 00:00:05.000]  我是新朋友來的
[00:00:05.000 --> 00:00:09.000]  Samuel 王宏達傳道
[00:00:09.000 --> 00:00:12.000]  大家可以叫我Samuel 德 宏達也可以
[00:00:12.000 --> 00:00:15.000]  剛才的詩歌真的很好
[00:00:15.000 --> 00:00:19.000]  有沒有發現有些字很悲的經常出現
[00:00:19.000 --> 00:00:23.000]  什麼患難禍困 刀劍
[00:00:23.000 --> 00:00:25.000]  有沒有留意?
[00:00:25.000 --> 00:00:27.000]  跟我今晚要講的真的很吻合
[00:00:27.000 --> 00:00:30.000]  雖然這幾天真的熱到爆炸
[00:00:30.000 --> 00:00:34.000]  外面陽光普照 太陽好像會咬人一樣
[00:00:34.000 --> 00:00:36.000]  但我不知道你心裡的心情
[00:00:36.000 --> 00:00:39.000]  是不是跟外面的天氣一樣
[00:00:39.000 --> 00:00:41.000]  有限選擇題
[00:00:41.000 --> 00:00:45.000]  如果用一個emoji來代表你這幾天的心情
[00:00:45.000 --> 00:00:47.000]  三個選擇
[00:00:47.000 --> 00:00:51.000]  有多少人是像陽光燦爛一樣
[00:00:51.000 --> 00:00:53.000]  這是第一個選擇
[00:00:53.000 --> 00:00:56.000]  第二就是烏雲密佈
[00:00:56.000 --> 00:01:01.000]  第三就是晴天霹靂 下大雨
[00:01:01.000 --> 00:01:03.000]  明白了嗎?
[00:01:03.000 --> 00:01:05.000]  有多少人是第一個選擇
[00:01:05.000 --> 00:01:07.000]  你的心情 一個
[00:01:07.000 --> 00:01:10.000]  也不錯 為你感謝神
[00:01:10.000 --> 00:01:12.000]  第二個是烏雲密佈
[00:01:12.000 --> 00:01:15.000]  最代表你的心情有壞
[00:01:15.000 --> 00:01:19.000]  沒有 晴天霹靂呢
[00:01:19.000 --> 00:01:22.000]  有一個 哦 兩個
[00:01:22.000 --> 00:01:25.000]  其他人可能還在考慮
[00:01:25.000 --> 00:01:26.000]  好 慢慢考慮
[00:01:26.000 --> 00:01:29.000]  我最近的心情就是中間那個
[00:01:29.000 --> 00:01:31.000]  有很多烏雲密佈
[00:01:31.000 --> 00:01:35.000]  最近看新聞 很多看完都不開心
[00:01:35.000 --> 00:01:37.000]  不知道你有沒有這個感覺
[00:01:37.000 --> 00:01:39.000]  除了沒完沒了
[00:01:39.000 --> 00:01:42.000]  又近期開始反彈的疫情之外
[00:01:42.000 --> 00:01:46.000]  很遠的鵝湖戰爭 打到還沒打完
[00:01:46.000 --> 00:01:50.000]  隨之引起很多地緣政治的緊張
[00:01:50.000 --> 00:01:54.000]  糧食的危機 能源的危機 通貨膨脹
[00:01:54.000 --> 00:01:56.000]  我剛才說的東西 沒人能逃脫
[00:01:56.000 --> 00:01:58.000]  如果你父母正在供樓
[00:01:58.000 --> 00:01:59.000]  你可以問他
[00:01:59.000 --> 00:02:02.000]  這個月的供樓是不是多了
[00:02:02.000 --> 00:02:03.000]  你就明白了
[00:02:03.000 --> 00:02:05.000]  因為通貨膨脹
[00:02:05.000 --> 00:02:12.000]  加息 西方國家的通脹非常之嚴重
[00:02:12.000 --> 00:02:15.000]  剛剛這個星期 歐洲又有熱浪
