
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹 新年快樂
[00:00:06.000 --> 00:00:15.000]  今天是2022年
[00:00:15.000 --> 00:00:21.000]  昨晚是2021年最後一天
[00:00:21.000 --> 00:00:29.000]  不少人都去一些地方做倒數活動
[00:00:29.000 --> 00:00:33.000]  在座當中有沒有人去倒數呢?
[00:00:33.000 --> 00:00:36.000]  其實我們來看看有沒有
[00:00:36.000 --> 00:00:43.000]  沒有人出去 今早打算參加早禱會
[00:00:43.000 --> 00:00:49.000]  昨晚不少地方都有倒數活動
[00:00:49.000 --> 00:00:54.000]  有記者問在場人士
[00:00:54.000 --> 00:01:01.000]  在新的一年裏面有什麼願望呢?
[00:01:01.000 --> 00:01:06.000]  雖然未必去倒數
[00:01:06.000 --> 00:01:13.000]  但面對新的一年都會想自己會不會有新的願望
[00:01:13.000 --> 00:01:22.000]  當中有些人說希望疫情可以很快過去
[00:01:22.000 --> 00:01:26.000]  我相信這也是我們大部份人
[00:01:26.000 --> 00:01:32.000]  不單是香港 所有地方的人都希望疫情可以快點走
[00:01:32.000 --> 00:01:39.000]  第二個人提到希望快點通關
[00:01:39.000 --> 00:01:45.000]  希望可以早點回國內探親
[00:01:45.000 --> 00:01:51.000]  因為有些人已經離開家很長時間
[00:01:51.000 --> 00:01:58.000]  也有些人說希望未來一年經濟環境很好
[00:01:58.000 --> 00:02:04.000]  希望可以加微量人工
[00:02:04.000 --> 00:02:08.000]  能夠加人工已經算不錯
[00:02:08.000 --> 00:02:11.000]  這個人非常客氣
[00:02:11.000 --> 00:02:16.000]  不知道大家有沒有類似的願望
[00:02:16.000 --> 00:02:19.000]  如果我們仔細留意
[00:02:19.000 --> 00:02:25.000]  這些願望都是希望外在環境轉好
[00:02:25.000 --> 00:02:34.000]  但比較少人去想想自己內在的質素如何變好
[00:02:34.000 --> 00:02:39.000]  今晚我們透過保羅對提摩太的祝福
[00:02:39.000 --> 00:02:44.000]  去看看他期望提摩太和我們所有的信徒
[00:02:44.000 --> 00:02:49.000]  在內在的質素有什麼地方可以好轉
[00:02:49.000 --> 00:02:57.000]  我們會讀提摩太后書二章十九到二十二節
[00:02:57.000 --> 00:03:00.000]  我們用啟應的方式
