
[00:00:00.000 --> 00:00:12.000]  是極大的喜樂能夠和你們一起
[00:00:12.000 --> 00:00:17.000]  雖然我不明白你們說的廣東話
[00:00:17.000 --> 00:00:24.000]  我感受到你們一起敬拜主的時候的靈魂
[00:00:24.000 --> 00:00:28.000]  對我們是一個祝福
[00:00:28.000 --> 00:00:36.000]  我被告知你們是在說義忽碩書系列
[00:00:36.000 --> 00:00:43.000]  我會說義忽碩書的第二部分的內容
[00:00:43.000 --> 00:00:53.000]  頭三章的經文是說關於救恩、教會的基本真理
[00:00:53.000 --> 00:01:05.000]  第四章是教導我們在基督徒的生活應當有的行為
[00:01:05.000 --> 00:01:10.000]  我只想說一個的方向
[00:01:10.000 --> 00:01:16.000]  是關於我們群體當中的衝突
[00:01:16.000 --> 00:01:20.000]  我們應該怎樣回應呢?
[00:01:20.000 --> 00:01:28.000]  如果我們看義忽碩書第四章
[00:01:28.000 --> 00:01:34.000]  25至29節
[00:01:34.000 --> 00:01:37.000]  我會代讀出來
[00:01:37.000 --> 00:01:40.000]  所以你們要棄絕謊言
[00:01:40.000 --> 00:01:42.000]  各人與鄰舍說實話
[00:01:42.000 --> 00:01:44.000]  因為我們視互相為肢體
[00:01:44.000 --> 00:01:46.000]  生氣卻不要犯罪
[00:01:46.000 --> 00:01:48.000]  不可含怒到日落
[00:01:48.000 --> 00:01:50.000]  不可給魔鬼留地步
[00:01:50.000 --> 00:01:52.000]  從前偷竊的不要再偷
[00:01:52.000 --> 00:01:55.000]  總要努力親手作正經事
[00:01:55.000 --> 00:01:58.000]  就可有餘分給那缺少的人
[00:01:58.000 --> 00:02:01.000]  污穢的言語一句不可出口
[00:02:01.000 --> 00:02:03.000]  只要隨時說造就人的好話
[00:02:03.000 --> 00:02:06.000]  叫聽見的人得益處
[00:02:06.000 --> 00:02:14.000]  這段的內容是說衝突的處境
[00:02:14.000 --> 00:02:19.000]  特別是關於教會裏面的衝突
[00:02:19.000 --> 00:02:27.000]  我們更加可以應用在家裏面的衝突
[00:02:27.000 --> 00:02:37.000]  有一本書是關於這種衝突的處境
[00:02:37.000 --> 00:02:40.000]  書名叫愛的爭吵
[00:02:40.000 --> 00:02:50.000]  當你愛某些人的時候
[00:02:50.000 --> 00:02:53.000]  但做了一些不合心意的時候
[00:02:53.000 --> 00:02:55.000]  就自然會有衝突
[00:02:55.000 --> 00:03:00.000]  衝突往往都是和愛一起進行的
[00:03:00.000 --> 00:03:07.000]  但我們總是有基督徒的方式去處理衝突
[00:03:07.000 --> 00:03:15.000]  我們今天會說這段經文所提及的四個重點
[00:03:15.000 --> 00:03:20.000]  第一個重點在第25節
[00:03:20.000 --> 00:03:34.000]  所以你們要棄絕謊言、個人輿論、寫說實話
[00:03:34.000 --> 00:03:37.000]  因為我們是互相為肢體
[00:03:37.000 --> 00:03:43.000]  第一個重點就是要以論寫說實話
[00:03:43.000 --> 00:03:48.000]  而且我們是互相為肢體
[00:03:48.000 --> 00:03:55.000]  因為我們屬於同一個身體
[00:03:55.000 --> 00:03:57.000]  所以我們不可以彼此說謊
[00:03:57.000 --> 00:04:01.000]  所以如果有問題的時候
[00:04:01.000 --> 00:04:04.000]  有些困難的挑戰的時候
[00:04:04.000 --> 00:04:07.000]  有不同意見的時候
[00:04:07.000 --> 00:04:10.000]  有令到大家很煩擾的時候
[00:04:10.000 --> 00:04:11.000]  有罪惡
[00:04:11.000 --> 00:04:15.000]  在教會或是在家裏
[00:04:15.000 --> 00:04:22.000]  它本來基本上就是說
[00:04:22.000 --> 00:04:24.000]  如果遇到這種情況的時候千萬不要裝模作樣
[00:04:24.000 --> 00:04:30.000]  我們很多時候寧願說謊而不去對質
[00:04:32.000 --> 00:04:35.000]  我們只是暫時避開了衝突
[00:04:35.000 --> 00:04:40.000]  但我們沒有解決問題
[00:04:40.000 --> 00:04:46.000]  有些人做錯事的時候
[00:04:46.000 --> 00:04:48.000]  他就說謊逃避責難
[00:04:48.000 --> 00:04:53.000]  每個人都知道這個人做了一些事
[00:04:58.000 --> 00:05:01.000]  但其他人都在裝作不知道
[00:05:01.000 --> 00:05:03.000]  因為那個人正在否定
[00:05:03.000 --> 00:05:06.000]  可能是父親
[00:05:06.000 --> 00:05:08.000]  可能是父親做錯了事
[00:05:08.000 --> 00:05:13.000]  而我的小朋友就知道
[00:05:13.000 --> 00:05:14.000]  父親做錯了事
[00:05:14.000 --> 00:05:17.000]  但他們要尊重父親
[00:05:17.000 --> 00:05:21.000]  他們裝作不知道
[00:05:29.000 --> 00:05:31.000]  但如果在這個處境底下
[00:05:31.000 --> 00:05:33.000]  肅令的權柄就被破壞了
[00:05:33.000 --> 00:05:40.000]  其實如果我們不能夠彼此真誠的時候
[00:05:40.000 --> 00:05:42.000]  我們不能夠彼此信任
[00:05:42.000 --> 00:05:45.000]  沒有真正的合一
[00:05:45.000 --> 00:05:53.000]  當我在神學院的時候
[00:05:53.000 --> 00:05:55.000]  我經常要去不同的城市
[00:05:57.000 --> 00:05:59.000]  通常都要坐四至五個小時的車
[00:05:59.000 --> 00:06:06.000]  但開車的人竟然開快了
[00:06:06.000 --> 00:06:09.000]  即是超過了速度
[00:06:09.000 --> 00:06:12.000]  被警察截停了
[00:06:12.000 --> 00:06:15.000]  結果要付罰款
[00:06:15.000 --> 00:06:20.000]  結果付完罰款之後就坐回車上
[00:06:20.000 --> 00:06:26.000]  他說千萬不要介意這件事
[00:06:28.000 --> 00:06:30.000]  我覺得有點問題
[00:06:30.000 --> 00:06:35.000]  二、三十年之後
[00:06:35.000 --> 00:06:41.000]  我碰到這個朋友的兄弟
[00:06:41.000 --> 00:06:44.000]  我就問你兄弟怎麼樣
[00:06:44.000 --> 00:06:52.000]  弟弟就說他離婚了
[00:06:57.000 --> 00:07:02.000]  聖經說神憎恨、憎惡說謊
[00:07:02.000 --> 00:07:12.000]  兩次在《真言書》裏面說
[00:07:12.000 --> 00:07:14.000]  謊言其實是神所恨惡的
[00:07:14.000 --> 00:07:21.000]  但說謊差不多都是亞洲人的文化
[00:07:26.000 --> 00:07:28.000]  可能是我們本地的文化
[00:07:28.000 --> 00:07:31.000]  但絕對不是基督徒裏面的文化
[00:07:31.000 --> 00:07:36.000]  我不知道怎樣
[00:07:36.000 --> 00:07:39.000]  但在斯里蘭卡有很多處境底下
[00:07:39.000 --> 00:07:44.000]  太太借了很多錢
[00:07:44.000 --> 00:07:46.000]  大家在帳戶裏一點都不知道
[00:07:46.000 --> 00:07:53.000]  結果太太還不了債
[00:07:56.000 --> 00:07:59.000]  結果借了錢給太太的人
[00:07:59.000 --> 00:08:02.000]  就來她家裏追債
[00:08:02.000 --> 00:08:10.000]  那時候丈夫才知道
[00:08:10.000 --> 00:08:11.000]  原來太太去借貸
[00:08:11.000 --> 00:08:18.000]  你總不會有真正的合一同心
[00:08:18.000 --> 00:08:21.000]  我們相信神的人
[00:08:25.000 --> 00:08:26.000]  我們仍然真的相信
[00:08:26.000 --> 00:08:29.000]  我們只要說真理、真話的話
[00:08:29.000 --> 00:08:30.000]  神是看透我們的
[00:08:30.000 --> 00:08:37.000]  所以如果我們真心相信神的時候
[00:08:37.000 --> 00:08:39.000]  我們就要付這個代價說真話
[00:08:39.000 --> 00:08:46.000]  因為我們知道上帝喜歡我們能夠同心合一
[00:08:46.000 --> 00:08:49.000]  這個就是第一個原則
[00:08:49.000 --> 00:08:52.000]  要說實話
[00:08:55.000 --> 00:08:58.000]  第二個重點在二十六節上
[00:08:58.000 --> 00:09:04.000]  生氣卻不要犯罪
[00:09:04.000 --> 00:09:11.000]  如果一個你愛的人犯錯的時候
[00:09:11.000 --> 00:09:13.000]  你會生氣其實是很正常的
[00:09:13.000 --> 00:09:14.000]  是避免不了的
[00:09:14.000 --> 00:09:18.000]  聖經裏有說
[00:09:18.000 --> 00:09:21.000]  上帝對我們的罪都會憤怒
[00:09:26.000 --> 00:09:30.000]  所以怒氣在一個健康的家庭、健康的教會裏
[00:09:30.000 --> 00:09:32.000]  其實是很普遍的
[00:09:32.000 --> 00:09:38.000]  我們有權利可以覺得憤怒
[00:09:38.000 --> 00:09:44.000]  我們不可以生氣去犯罪
[00:09:44.000 --> 00:09:49.000]  不如我和大家分享一下
[00:09:49.000 --> 00:09:51.000]  我們怎樣可以生氣卻不犯罪
[00:09:53.000 --> 00:09:55.000]  第一個方法是
[00:09:55.000 --> 00:09:59.000]  當你很生氣的時候
[00:09:59.000 --> 00:10:01.000]  你要等待合適的時間去說
[00:10:01.000 --> 00:10:10.000]  當你有時憤怒到
[00:10:10.000 --> 00:10:12.000]  在不適合的時間說話的時候
[00:10:12.000 --> 00:10:16.000]  你的憤怒令你的處境越來越糟糕
[00:10:23.000 --> 00:10:24.000]  在新約聖經裏面
[00:10:24.000 --> 00:10:26.000]  61次聖經教導我們
[00:10:26.000 --> 00:10:29.000]  在這些處境裏面要有忍耐
[00:10:29.000 --> 00:10:32.000]  61次
[00:10:32.000 --> 00:10:39.000]  很明顯這是一個很重要的聖經原則
[00:10:39.000 --> 00:10:48.000]  我都和我太太說
[00:10:48.000 --> 00:10:49.000]  感謝神
[00:10:49.000 --> 00:10:51.000]  神賜給我
[00:10:53.000 --> 00:10:57.000]  神賜給我一棒牙
[00:10:57.000 --> 00:11:07.000]  因為這樣我可以閉上嘴
[00:11:07.000 --> 00:11:09.000]  不會罵她
[00:11:09.000 --> 00:11:11.000]  我就會走回房間
[00:11:11.000 --> 00:11:17.000]  因為如果我很生氣的時候
[00:11:17.000 --> 00:11:19.000]  我一說話我會傷害到她
[00:11:21.000 --> 00:11:23.000]  我不想傷害我所愛的人
[00:11:23.000 --> 00:11:28.000]  我就等直至我自己能夠冷靜下來
[00:11:28.000 --> 00:11:34.000]  這些是一個很重要的原則
[00:11:34.000 --> 00:11:38.000]  特別是當家長不想在子女面前吵架的時候
[00:11:38.000 --> 00:11:43.000]  第一件父母爭拗的事
[00:11:43.000 --> 00:11:47.000]  就是關於管理小朋友
[00:11:47.000 --> 00:11:50.000]  當媽媽打兒子的時候
[00:11:51.000 --> 00:11:52.000]  爸爸看到
[00:11:52.000 --> 00:12:00.000]  在兒子面前爸爸還罵媽媽
[00:12:00.000 --> 00:12:04.000]  兒子看到
[00:12:04.000 --> 00:12:13.000]  兒子就會記得
[00:12:13.000 --> 00:12:15.000]  以後媽媽想罵我的時候
[00:12:15.000 --> 00:12:17.000]  我一定會記得告訴爸爸
[00:12:17.000 --> 00:12:20.000]  我們的小朋友很狡猾
[00:12:22.000 --> 00:12:25.000]  而家裡的權柄因為這樣就被破壞了
[00:12:25.000 --> 00:12:32.000]  父母親會在不同的事情上
