
[00:00:00.000 --> 00:00:02.800]  現在我們開始聽神的話語的時候
[00:00:02.800 --> 00:00:05.800]  我們一起來同心祈禱吧
[00:00:05.800 --> 00:00:09.300]  賜給人愛的天父
[00:00:09.300 --> 00:00:11.300]  在這個復活節
[00:00:11.300 --> 00:00:13.500]  明天就是了
[00:00:13.500 --> 00:00:16.300]  我們在昨晚
[00:00:16.300 --> 00:00:18.900]  都在壽苦節的晚上
[00:00:18.900 --> 00:00:21.300]  去默念主給我們的愛
[00:00:21.300 --> 00:00:22.900]  星期六
[00:00:22.900 --> 00:00:25.500]  都是一個安靜
[00:00:25.500 --> 00:00:29.900]  心裡面沉澱的日子
[00:00:30.200 --> 00:00:32.300]  住在周六的祖堂
[00:00:32.300 --> 00:00:34.400]  我們都等候你
[00:00:34.400 --> 00:00:35.800]  讓你的話語
[00:00:35.800 --> 00:00:37.000]  通過聖經
[00:00:37.000 --> 00:00:39.000]  對我們心靈說話
[00:00:39.000 --> 00:00:40.700]  也都讓我們
[00:00:40.700 --> 00:00:42.100]  倚靠你的心
[00:00:42.100 --> 00:00:43.600]  敬畏你的心
[00:00:43.600 --> 00:00:45.100]  跟從你的心
[00:00:45.100 --> 00:00:46.800]  都被你眺望
[00:00:46.800 --> 00:00:48.500]  我們將以下時間
[00:00:48.500 --> 00:00:49.800]  我們交託給你
[00:00:49.800 --> 00:00:50.900]  讓說的
[00:00:50.900 --> 00:00:51.800]  聽的
[00:00:51.800 --> 00:00:53.300]  都一同蒙恩
[00:00:53.300 --> 00:00:54.900]  我們誠心禱告
[00:00:54.900 --> 00:00:56.700]  奉耶穌基督的名求
[00:00:56.700 --> 00:00:57.800]  阿們
[00:01:01.000 --> 00:01:02.800]  在日本
[00:01:02.800 --> 00:01:04.000]  這個
[00:01:04.000 --> 00:01:05.400]  YKK
[00:01:05.400 --> 00:01:06.600]  就是全球
[00:01:06.600 --> 00:01:09.000]  拉鏈之王
[00:01:09.000 --> 00:01:11.600]  這個
[00:01:11.600 --> 00:01:13.400]  大的企業
[00:01:13.400 --> 00:01:15.600]  已故的創辦人
[00:01:15.600 --> 00:01:17.200]  吉田忠雄
[00:01:17.200 --> 00:01:20.100]  他信奉一個理念
[00:01:20.100 --> 00:01:20.800]  就是
[00:01:20.800 --> 00:01:22.500]  善的循環
[00:01:22.500 --> 00:01:24.100]  他認為
[00:01:24.100 --> 00:01:27.800]  不為他人著想
[00:01:28.000 --> 00:01:30.000]  不為他人的利益著想
[00:01:30.000 --> 00:01:31.600]  的話
[00:01:31.600 --> 00:01:35.400]  這個企業是不能夠繁榮的
[00:01:35.400 --> 00:01:38.500]  YKK就以
