
[00:00:00.000 --> 00:00:05.120]  我主要負責大專和exit的團契
[00:00:05.120 --> 00:00:09.160]  早幾個星期你都會看到我在報告
[00:00:09.160 --> 00:00:15.800]  其實我應該第一次在星期六實體講道
[00:00:15.800 --> 00:00:19.280]  我不知道實體還可以多久
[00:00:19.280 --> 00:00:21.440]  你看到現在的數字
[00:00:21.440 --> 00:00:22.520]  疫情的數字
[00:00:22.520 --> 00:00:26.160]  我不知道會不會又不太好這樣講
[00:00:26.160 --> 00:00:28.080]  會不會又停呢
[00:00:28.080 --> 00:00:33.040]  我想大家都珍惜一下大家能夠實體聚會的時間
[00:00:33.040 --> 00:00:35.440]  我每次講道都這樣講
[00:00:35.440 --> 00:00:37.440]  珍惜一下實體崇拜的時間
[00:00:37.440 --> 00:00:40.080]  我也講一下標稱崇拜
[00:00:40.080 --> 00:00:42.680]  其實每個月都有不同的主題
[00:00:42.680 --> 00:00:44.960]  上個月我不知道你們記不記得
[00:00:44.960 --> 00:00:47.920]  是由全福音到木曜同行
[00:00:47.920 --> 00:00:49.520]  這個月的主題
[00:00:49.520 --> 00:00:55.280]  我們由全福音到成為門徒的過程
[00:00:55.280 --> 00:00:59.080]  為什麼會說成為門徒呢?
[00:00:59.080 --> 00:01:01.920]  我們信了主不就是門徒嗎?
[00:01:01.920 --> 00:01:04.400]  其實真的有很多說法
[00:01:04.400 --> 00:01:06.840]  我看過很多書會說
[00:01:06.840 --> 00:01:08.840]  其實我們信了主
[00:01:08.840 --> 00:01:11.080]  我不知道你們怎麼定義
[00:01:11.080 --> 00:01:13.360]  其實很多人都覺得自己是信徒
[00:01:13.360 --> 00:01:14.640]  信主就是基督徒
[00:01:14.640 --> 00:01:16.360]  其實門徒是怎樣呢?
[00:01:16.360 --> 00:01:17.960]  好像有一個門檻
[00:01:17.960 --> 00:01:20.280]  好像真的
[00:01:20.280 --> 00:01:23.680]  我們在教會的傳統裡面
[00:01:23.680 --> 00:01:25.200]  其實成為門徒
[00:01:25.200 --> 00:01:27.920]  其實真的要毀身
[00:01:27.920 --> 00:01:32.480]  毀身不只是信徒本身
[00:01:32.480 --> 00:01:33.880]  教會也有部分
[00:01:33.880 --> 00:01:35.400]  我們怎樣去培育你
[00:01:35.400 --> 00:01:37.400]  怎樣去教導你
[00:01:37.400 --> 00:01:40.120]  其實我們今天的主題
[00:01:40.120 --> 00:01:45.200]  是有關培育成長的一個課題
[00:01:45.200 --> 00:01:51.480]  原來我們作為一個門徒
[00:01:51.480 --> 00:01:53.720]  其實不只是做
[00:01:53.720 --> 00:01:55.240]  如果做就很簡單
[00:01:55.240 --> 00:01:57.240]  我做了什麼就成為門徒
[00:01:57.240 --> 00:02:00.800]  我不知道你們有沒有一個很經典的電影對話
[00:02:00.800 --> 00:02:05.760]  我們要從外到內
[00:02:05.760 --> 00:02:08.040]  從內到外
[00:02:08.040 --> 00:02:11.160]  去展現我們信徒的特質
[00:02:11.160 --> 00:02:15.680]  我今天想說的是關於我們信徒門徒
[00:02:15.680 --> 00:02:18.040]  一個成性的過程
[00:02:18.040 --> 00:02:19.160]  什麼叫成性呢?
[00:02:19.160 --> 00:02:20.400]  成性就是
[00:02:20.400 --> 00:02:22.960]  我們經常說的 doing 和 being
[00:02:22.960 --> 00:02:24.640]  我們在品格裡面
[00:02:24.640 --> 00:02:28.040]  我們怎樣可以讓大家都有一個準則
[00:02:28.040 --> 00:02:30.040]  我們怎樣去跟呢?
[00:02:30.040 --> 00:02:32.160]  我們今天會看的經文
[00:02:32.160 --> 00:02:34.160]  在聖經裡面是菲律賓書
[00:02:34.160 --> 00:02:37.400]  是寶羅寫給菲律賓教會的一封書信
[00:02:37.400 --> 00:02:40.920]  上帝藉著寶羅這一封書信
[00:02:40.920 --> 00:02:42.680]  對信徒說
[00:02:42.680 --> 00:02:44.160]  我們日常生活裡面
[00:02:44.160 --> 00:02:45.840]  教會團契裡面
[00:02:45.840 --> 00:02:47.880]  我們究竟在生活裡面
[00:02:47.880 --> 00:02:49.480]  我們有什麼準則
[00:02:49.480 --> 00:02:50.880]  我們怎樣去跟呢?
[00:02:50.880 --> 00:02:52.760]  有什麼教導和提醒呢?
[00:02:52.760 --> 00:02:55.080]  今天我要說的經文就是
