
[00:00:00.000 --> 00:00:04.000]  早晨各位大英姐妹、各位會眾
[00:00:04.000 --> 00:00:09.000]  感謝敬拜一眾的肢體
[00:00:09.000 --> 00:00:13.000]  他們很美好的、很用心的為我們預備和帶領
[00:00:13.000 --> 00:00:16.000]  我們一起有個禱告
[00:00:16.000 --> 00:00:18.000]  天父上帝多謝你
[00:00:18.000 --> 00:00:20.000]  今天是你的日子
[00:00:20.000 --> 00:00:23.000]  多謝你讓一班會眾
[00:00:23.000 --> 00:00:26.000]  騰出這個寶貴的時間
[00:00:26.000 --> 00:00:29.000]  我們單單去尊崇你、去親近你
[00:00:29.000 --> 00:00:31.000]  願你與我們同在
[00:00:31.000 --> 00:00:33.000]  讓無論聽的、說的
[00:00:33.000 --> 00:00:35.000]  都讓你去得著我們的心
[00:00:35.000 --> 00:00:37.000]  讓我們有心去歸向你
[00:00:37.000 --> 00:00:39.000]  讓我們有心去貼近你
[00:00:39.000 --> 00:00:41.000]  讓我們有心去回應你
[00:00:41.000 --> 00:00:42.000]  多謝你
[00:00:42.000 --> 00:00:44.000]  我們禱告奉主耶穌基督的名求
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:57.000]  人經常說
[00:00:57.000 --> 00:00:59.000]  哪裡有人
[00:00:59.000 --> 00:01:01.000]  哪裡就有問題
[00:01:01.000 --> 00:01:03.000]  你認不認同
[00:01:03.000 --> 00:01:04.000]  認同
[00:01:04.000 --> 00:01:06.000]  我想即使教會都一樣
[00:01:06.000 --> 00:01:08.000]  我們都不時會見到
[00:01:08.000 --> 00:01:10.000]  見到教會有紛爭
[00:01:10.000 --> 00:01:12.000]  甚至分裂事情的發生
[00:01:12.000 --> 00:01:16.000]  李明日娘這樣說
[00:01:16.000 --> 00:01:18.000]  有一篇文章這樣說
[00:01:18.000 --> 00:01:21.000]  據說美國印第安納州
[00:01:21.000 --> 00:01:23.000]  有一間浸信會
[00:01:23.000 --> 00:01:24.000]  在十九世紀
[00:01:24.000 --> 00:01:27.000]  曾經因為一隻雞腿而分裂
[00:01:27.000 --> 00:01:30.000]  故事的版本是五花八門
[00:01:30.000 --> 00:01:34.000]  但根據一位現任會友的說法
[00:01:34.000 --> 00:01:36.000]  他說分裂的原因
[00:01:36.000 --> 00:01:38.000]  是由於兩個信徒
[00:01:38.000 --> 00:01:40.000]  在教會一次的愛言裏面
[00:01:40.000 --> 00:01:43.000]  爭奪最後一隻雞腿
[00:01:43.000 --> 00:01:44.000]  他說一個說
[00:01:44.000 --> 00:01:46.000]  上帝要他吃這隻雞腿
[00:01:46.000 --> 00:01:47.000]  另一個說
[00:01:47.000 --> 00:01:50.000]  上帝才不會在乎這些
[00:01:50.000 --> 00:01:52.000]  這隻雞腿是他的
[00:01:52.000 --> 00:01:55.000]  兩個人談不攏
[00:01:55.000 --> 00:01:56.000]  最後其中一個
[00:01:56.000 --> 00:01:59.000]  搬到幾公里的地方去住
[00:01:59.000 --> 00:02:02.000]  還成立第二間教會
[00:02:02.000 --> 00:02:04.000]  值得慶幸的是
[00:02:04.000 --> 00:02:05.000]  這兩間教會
[00:02:05.000 --> 00:02:07.000]  現在已經解決他們的分歧
[00:02:07.000 --> 00:02:09.000]  教會的人都承認
[00:02:09.000 --> 00:02:11.000]  那次的分裂
[00:02:11.000 --> 00:02:14.000]  原因實在太荒謬
[00:02:14.000 --> 00:02:16.000]  無論什麼原因
[00:02:16.000 --> 00:02:20.000]  教會紛爭、分黨、分裂、分派
[00:02:20.000 --> 00:02:23.000]  都讓主傷心
[00:02:23.000 --> 00:02:26.000]  也使信徒灰心
[00:02:26.000 --> 00:02:29.000]  以致聖公會受阻攔
[00:02:29.000 --> 00:02:32.000]  影響教會的見證和成長
[00:02:32.000 --> 00:02:34.000]  主耶穌
[00:02:34.000 --> 00:02:42.000]  主耶穌在赫西瑪利園
[00:02:42.000 --> 00:02:45.000]  曾經禱告天上的父
[00:02:45.000 --> 00:02:48.000]  從今以後我不再世上
[00:02:48.000 --> 00:02:50.000]  他們卻在世上
[00:02:50.000 --> 00:02:52.000]  我往你那裡去
[00:02:52.000 --> 00:02:53.000]  聖父啊
[00:02:53.000 --> 00:02:56.000]  求你因你所賜我名保守他們
[00:02:56.000 --> 00:02:58.000]  叫他們合而為一
[00:02:58.000 --> 00:03:00.000]  像我們一樣
[00:03:00.000 --> 00:03:03.000]  主耶穌特別為教會的合而為一
[00:03:03.000 --> 00:03:05.000]  去禱告父神
[00:03:05.000 --> 00:03:08.000]  可見祂深知在祂離開之後
[00:03:08.000 --> 00:03:11.000]  信徒中間會出現分裂的事
[00:03:11.000 --> 00:03:13.000]  會有異端的搞擾
[00:03:13.000 --> 00:03:16.000]  中派之爭等等
[00:03:16.000 --> 00:03:18.000]  所以在祂離開世界前
[00:03:18.000 --> 00:03:22.000]  就為聖徒的合一去代求
[00:03:22.000 --> 00:03:24.000]  相信基督徒要合一
[00:03:24.000 --> 00:03:27.000]  大家不是第一次聽過的教導
[00:03:27.000 --> 00:03:30.000]  但為什麼還沒做到?
[00:03:30.000 --> 00:03:31.000]  為什麼?
[00:03:31.000 --> 00:03:33.000]  困難在哪裡?
[00:03:33.000 --> 00:03:36.000]  在日常生活和侍奉裡
[00:03:36.000 --> 00:03:40.000]  我們每一天要面對處理不同的觀點、意見
[00:03:40.000 --> 00:03:42.000]  要在分歧裡找到共識
[00:03:42.000 --> 00:03:44.000]  在主內合一
[00:03:44.000 --> 00:03:47.000]  又有什麼秘訣呢?
[00:03:47.000 --> 00:03:49.000]  今天跟大家說的是
[00:03:49.000 --> 00:03:51.000]  菲律賓書2章1至11節
[00:03:51.000 --> 00:03:53.000]  在上文1至27節
[00:03:53.000 --> 00:03:57.000]  保羅呼籲信徒要有合一的心智
[00:03:57.000 --> 00:04:00.000]  為所信的福音齊心努力
[00:04:00.000 --> 00:04:01.000]  言下之意
[00:04:01.000 --> 00:04:05.000]  菲律賓信徒他們是否全然和諧?
[00:04:05.000 --> 00:04:07.000]  不是
[00:04:07.000 --> 00:04:09.000]  到了2章1節
[00:04:09.000 --> 00:04:11.000]  又用「所以開頭」
[00:04:11.000 --> 00:04:14.000]  讓我們知道保羅在下面的經文裡
[00:04:14.000 --> 00:04:19.000]  告訴我們如何才能做到這個合一的渲染
[00:04:19.000 --> 00:04:23.000]  今天香港教會面臨的挑戰大不大?
[00:04:23.000 --> 00:04:25.000]  是極之大
[00:04:25.000 --> 00:04:29.000]  信徒我們更應該團結、互愛
[00:04:29.000 --> 00:04:32.000]  以至教會能夠站立
[00:04:32.000 --> 00:04:35.000]  使我們能夠努力的興旺福音
[00:04:35.000 --> 00:04:40.000]  為主作美好的見證
[00:04:40.000 --> 00:04:43.000]  願意今早透過訊息
[00:04:43.000 --> 00:04:45.000]  我們一起學習
[00:04:45.000 --> 00:04:50.000]  信徒同心合一應該有什麼表現呢?
