
[00:00:00.000 --> 00:00:07.000]  好啊,不如我們給點掌聲我們的服務團隊,敬拜隊啊,CC AV Team
[00:00:07.000 --> 00:00:14.000]  其實今天他們特別早起床回來為大家服務,預備場地
[00:00:14.000 --> 00:00:22.000]  其實都很不容易,但其實他們這行徑正正告訴我們,大家聽,這件事是他們珍惜過
[00:00:22.000 --> 00:00:26.000]  他們很珍惜崇拜,很珍惜服務大家的機會,所以會回來
[00:00:26.000 --> 00:00:33.000]  所以其實都很感恩,可以有一大班團隊,一開始我們通常站在這裡會有個祈禱
[00:00:33.000 --> 00:00:42.000]  然後都站到出界很遠,所以其實都很多弟兄姊妹,很多哥哥姐姐會很想去服侍你們,都很感恩
[00:00:42.000 --> 00:00:49.000]  我想再次歡迎我們的小六星中的弟兄姊妹,很開心可以去見到你們
[00:00:49.000 --> 00:00:59.000]  我不知道小六星中對你們來說是一個什麼感受,去到一間中學,我都開始在幻想我小學很多年前
[00:00:59.000 --> 00:01:09.000]  在幻想那時候是怎樣,我記得進去那些很高大的哥哥,空神落煞,有點害怕
[00:01:09.000 --> 00:01:17.000]  我記得我一開始進那班是進精英班,第二年就去那些功課俘虜班,不知道為什麼
[00:01:17.000 --> 00:01:23.000]  但第一年進精英班,每個人都好像很厲害很聰明,然後我又很害怕
[00:01:23.000 --> 00:01:29.000]  不知道弟兄姊妹在心中有沒有經歷過害怕,或者你現在都在經歷這件事
[00:01:29.000 --> 00:01:35.000]  去到一個新的環境,去到一個新的地方可能你都會害怕,就是這東西
[00:01:35.000 --> 00:01:38.000]  大家有看吧,INSIDE OUT
[00:01:38.000 --> 00:01:40.000]  (小六)我看過,是中文版的
[00:01:40.000 --> 00:01:43.000]  中文版,叫什麼,阿驚,是吧
[00:01:43.000 --> 00:01:49.000]  阿驚,不知道大家對他的印象是怎樣,他很少做主角
[00:01:49.000 --> 00:01:57.000]  但大家會不會覺得他,這是一種很不好的情感,大家有沒有覺得,喜歡他嗎
[00:01:57.000 --> 00:02:00.000]  喜歡,有些喜歡,有些不喜歡,我聽到
[00:02:00.000 --> 00:02:06.000]  的確很多時候,害怕這種情感,很多時候我們都會放在一邊
[00:02:06.000 --> 00:02:12.000]  甚至有些人會覺得,不要啦,不要害怕,這麼差,這麼軟弱
