
[00:00:00.000 --> 00:00:04.000]  很高興能夠見到每一位來到星期六晚堂
[00:00:04.000 --> 00:00:09.000]  我不知道大家記不記得3月1日有什麼特別
[00:00:09.000 --> 00:00:14.000]  3月1日對我們這個世代的人來說很重要的
[00:00:14.000 --> 00:00:15.000]  香港人
[00:00:15.000 --> 00:00:19.000]  對了,3月1日不用戴口罩,記不記得
[00:00:19.000 --> 00:00:21.000]  今天幾號?
[00:00:21.000 --> 00:00:26.000]  哇,足足一個月沒有戴過口罩,是不是很開心
[00:00:26.000 --> 00:00:29.000]  所以你看到我的側面目了,是不是
[00:00:29.000 --> 00:00:36.000]  是啊,我們疫症三年,上上落落都很辛苦
[00:00:36.000 --> 00:00:39.000]  要戴口罩都很辛苦
[00:00:39.000 --> 00:00:41.000]  哇,3月1日不用戴口罩,我馬上就不戴
[00:00:41.000 --> 00:00:46.000]  4月1日其實都很特別,你知不知道
[00:00:46.000 --> 00:00:53.000]  因為今天是恩福堂我們的崇拜正式服償
[00:00:53.000 --> 00:00:56.000]  我們會有收奉獻,唱奉獻詩歌
[00:00:57.000 --> 00:01:01.000]  我們的聖餐不是就這樣,穆姐上來帶了就完了
[00:01:01.000 --> 00:01:04.000]  而是又有聖餐的詩歌
[00:01:04.000 --> 00:01:06.000]  你看到披肩可以拿了
[00:01:06.000 --> 00:01:09.000]  你看到聖經都可以用了
[00:01:09.000 --> 00:01:14.000]  服上吧,4月1日,是不是很好
[00:01:14.000 --> 00:01:16.000]  是啊,我們感謝主
[00:01:16.000 --> 00:01:25.000]  但是我不知道你回來的時候有沒有發現很多東西不同了
[00:01:26.000 --> 00:01:27.000]  起碼我的樣子不同了
[00:01:27.000 --> 00:01:32.000]  你看到很多熟悉的面孔都不見了,是不是
[00:01:32.000 --> 00:01:35.000]  很多人移民了,或者轉了教會,可能沒有再回教會
[00:01:35.000 --> 00:01:39.000]  或者轉了網上看直播,他不再回來了
[00:01:39.000 --> 00:01:43.000]  有沒有發現又多了很多新的傳道人
[00:01:43.000 --> 00:01:47.000]  是不是,又不同了,又多了一個人
[00:01:47.000 --> 00:01:52.000]  很多的轉變,很多人移民,很多人走了,很多人轉了教會
[00:01:52.000 --> 00:01:54.000]  大家面對著很多的困難,是不是
[00:01:55.000 --> 00:01:59.000]  在生活上很多的掙扎,工作上又很多的挑戰
[00:01:59.000 --> 00:02:04.000]  我知道很多團契小組移民的問題很嚴重的時候
[00:02:04.000 --> 00:02:07.000]  那些小組都不夠人的時候,最後要怎樣
[00:02:07.000 --> 00:02:11.000]  合併,你知道的,一合併就怎樣
[00:02:11.000 --> 00:02:13.000]  多數都是流失的,是不是
[00:02:13.000 --> 00:02:16.000]  我都沒有見過多少個合併成功留在那裡
[00:02:16.000 --> 00:02:18.000]  是難的,我明白的
[00:02:18.000 --> 00:02:22.000]  習慣了小組,傷口都還沒有治療
[00:02:23.000 --> 00:02:25.000]  又要見新人,又要跟新人聊天
[00:02:25.000 --> 00:02:28.000]  是,流失很大,很多的掙扎
[00:02:28.000 --> 00:02:32.000]  很多牧者又要轉新的團契去牧養,因為不夠人
[00:02:32.000 --> 00:02:35.000]  很多的調動,很多的掙扎,很多的疏離感
[00:02:35.000 --> 00:02:40.000]  大家回來,就見到這些很多很無奈,好像沒有什麼動力
[00:02:40.000 --> 00:02:42.000]  特別很多人移民的時候
[00:02:42.000 --> 00:02:46.000]  你有沒有發現其實很多移民了的,他們都很多掙扎
[00:02:46.000 --> 00:02:49.000]  在新的地方,其實很多不適應
[00:02:49.000 --> 00:02:51.000]  不過他又不想說,免得你又說他
[00:02:52.000 --> 00:02:53.000]  叫了你不要移民,那些
[00:02:53.000 --> 00:02:56.000]  免得出聲,但其實很慘的
[00:02:56.000 --> 00:02:59.000]  那邊沒有人認識,可能沒有教會,沒有小組
[00:02:59.000 --> 00:03:03.000]  但你跟他熟悉的,他又不敢跟你說,怕你罵他
[00:03:03.000 --> 00:03:05.000]  真的很無奈
[00:03:05.000 --> 00:03:08.000]  我們留下來都不見得很好
[00:03:08.000 --> 00:03:13.000]  我敬拜部做的時候,發現不夠領事,不夠師琴
