
[00:00:00.000 --> 00:00:04.000]  各位頂姐妹主內平安
[00:00:04.000 --> 00:00:07.000]  今日係7月2號
[00:00:07.000 --> 00:00:11.000]  踏入7月幾乎係所有學生最有盼望嘅月份
[00:00:11.000 --> 00:00:14.000]  因為暑假正喺前面
[00:00:14.000 --> 00:00:16.000]  但係每一個學生都知道
[00:00:16.000 --> 00:00:18.000]  要喺暑假嚟臨之前
[00:00:18.000 --> 00:00:20.000]  必定要過一關
[00:00:20.000 --> 00:00:21.000]  係邊關呀
[00:00:21.000 --> 00:00:22.000]  考試啦
[00:00:22.000 --> 00:00:23.000]  係咪呀
[00:00:23.000 --> 00:00:24.000]  其中嘅考試6月
[00:00:24.000 --> 00:00:26.000]  喺過去嗰十幾年
[00:00:26.000 --> 00:00:29.000]  每年6月都係我屋企考試旺季
[00:00:29.000 --> 00:00:31.000]  我仲記得有幾年
[00:00:31.000 --> 00:00:33.000]  當我三個仔細個嘅時候
[00:00:33.000 --> 00:00:36.000]  我同一時間同佢哋溫習三個年級嘅課程
[00:00:36.000 --> 00:00:37.000]  一齊溫
[00:00:37.000 --> 00:00:38.000]  嗰段時間呢
[00:00:38.000 --> 00:00:39.000]  諗返嚟呢
[00:00:39.000 --> 00:00:41.000]  其實人都幾癲下嘅
[00:00:41.000 --> 00:00:43.000]  我嗰時同自己成日講得最多嘅就係
[00:00:43.000 --> 00:00:45.000]  快啲大快大自己搞掂咁樣
[00:00:45.000 --> 00:00:47.000]  咁上個月呢又係6月啦
[00:00:47.000 --> 00:00:49.000]  咁我屋企呢就又係考試嘅季節
[00:00:49.000 --> 00:00:51.000]  但係呢就轉咗淡季啦
[00:00:51.000 --> 00:00:53.000]  因為呢而家呢淨返一個呢
[00:00:53.000 --> 00:00:54.000]  就係細細仔啦
[00:00:54.000 --> 00:00:56.000]  即係佢讀初中
[00:00:56.000 --> 00:00:58.000]  咁呢就要同佢陪佢溫習嘅
[00:00:58.000 --> 00:01:00.000]  所以呢陪呢就真係陪嘅啫
[00:01:00.000 --> 00:01:01.000]  陪佢坐喺度呀
[00:01:01.000 --> 00:01:03.000]  即係幾個禮拜唔好出街呀咁樣呀
[00:01:03.000 --> 00:01:05.000]  咁呢就唔使全程投入㗎
[00:01:05.000 --> 00:01:07.000]  不過呢始終佢都係中一仔啦
[00:01:07.000 --> 00:01:09.000]  咁我都要同佢溫下書嘅少少
[00:01:09.000 --> 00:01:12.000]  咁我見到而家嘅教科書呢真係幾好㗎
