
[00:00:00.000 --> 00:00:02.240]  今天講題是「我要榮耀」
[00:00:02.240 --> 00:00:03.200]  嗯?
[00:00:03.200 --> 00:00:05.200]  加個感嘆號 加個門號
[00:00:05.200 --> 00:00:07.200]  是 真是
[00:00:07.200 --> 00:00:11.600]  是 以前我就是想榮耀自己
[00:00:11.600 --> 00:00:15.600]  是 我要榮耀自己
[00:00:15.600 --> 00:00:19.840]  但今天我想透過詩篇第八篇的經文
[00:00:19.840 --> 00:00:22.400]  讓大家去看看
[00:00:22.400 --> 00:00:26.560]  作詩篇第八篇的詩人是怎樣去榮耀神
[00:00:26.560 --> 00:00:30.320]  從中學習到我們今天應該怎樣去榮耀神
[00:00:30.320 --> 00:00:32.320]  而不是榮耀自己
[00:00:32.320 --> 00:00:34.320]  好 那就正式進入經文了
[00:00:34.320 --> 00:00:38.800]  麻煩大家幫我讀出今天的經文 好嗎
[00:00:38.800 --> 00:00:40.800]  預備 1 2 3
[00:00:41.040 --> 00:00:43.040]  (廣東話)
[00:00:43.040 --> 00:00:45.040]  (廣東話)
[00:00:45.040 --> 00:00:47.040]  (廣東話)
[00:00:47.040 --> 00:00:49.040]  (廣東話)
[00:00:49.040 --> 00:00:51.040]  (廣東話)
[00:00:51.040 --> 00:00:53.040]  (廣東話)
[00:00:53.040 --> 00:00:55.040]  (廣東話)
[00:00:55.040 --> 00:00:57.040]  (廣東話)
[00:00:57.040 --> 00:00:59.040]  (廣東話)
[00:00:59.040 --> 00:01:01.040]  (廣東話)
[00:01:01.040 --> 00:01:03.040]  (廣東話)
[00:01:03.040 --> 00:01:05.040]  (廣東話)
[00:01:05.040 --> 00:01:07.040]  (廣東話)
[00:01:07.040 --> 00:01:09.040]  (廣東話)
[00:01:09.040 --> 00:01:11.040]  (廣東話)
[00:01:38.040 --> 00:01:40.040]  好,謝謝大家
[00:01:40.040 --> 00:01:43.520]  今天的經文是詩篇第八篇
[00:01:43.520 --> 00:01:46.440]  短短九節經文
[00:01:46.440 --> 00:01:49.960]  我會將今天的經文分為兩部分
[00:01:49.960 --> 00:01:52.760]  第一部分,即是上半部分
[00:01:52.760 --> 00:01:54.360]  我給了一個題目叫做
[00:01:54.360 --> 00:01:56.360]  人給神榮耀
[00:01:56.360 --> 00:01:58.360]  我們首先看這一部分
[00:01:58.360 --> 00:02:00.360]  人給神榮耀
[00:02:00.360 --> 00:02:02.040]  第一節說到
[00:02:02.040 --> 00:02:04.040]  耶和華,我們的主
[00:02:04.040 --> 00:02:06.920]  祢的名在全地,何其美
[00:02:06.920 --> 00:02:09.800]  祢將祢的榮耀彰顯於天
[00:02:09.800 --> 00:02:12.560]  這節經文說到
[00:02:12.560 --> 00:02:16.200]  神的名在全地,何其美
[00:02:16.200 --> 00:02:20.600]  「美」這個字是和合本的翻譯
[00:02:20.600 --> 00:02:26.120]  原文我給了一個更加好的翻譯
[00:02:26.120 --> 00:02:27.880]  就是「榮美」
[00:02:27.880 --> 00:02:32.120]  這個「美」不單是一種外表的美
[00:02:32.120 --> 00:02:34.520]  而是帶著榮耀的
[00:02:34.520 --> 00:02:38.600]  極之好的、壯麗的美麗
[00:02:38.600 --> 00:02:43.080]  原來耶和華是在榮美的狀態之中
[00:02:43.080 --> 00:02:45.080]  詩人這樣稱讚祂
[00:02:45.080 --> 00:02:48.120]  另外,詩人亦特別提到
[00:02:48.120 --> 00:02:50.920]  祢在全地,何其美
[00:02:50.920 --> 00:02:52.720]  特別提到全地
[00:02:52.720 --> 00:02:54.320]  詩人其實也想帶出
[00:02:54.320 --> 00:02:59.920]  特別帶出神要透過地上某些東西
[00:02:59.920 --> 00:03:01.720]  來突出祂的榮美
[00:03:01.720 --> 00:03:02.800]  這是甚麼呢
[00:03:02.800 --> 00:03:04.680]  繼續看下去
[00:03:04.680 --> 00:03:07.640]  我們在經文中也會看得到
[00:03:07.640 --> 00:03:10.520]  然後第二節
[00:03:10.520 --> 00:03:12.440]  「你因敵人的緣故
[00:03:12.440 --> 00:03:16.120]  從英械和赫拉的口中建立了能力
[00:03:16.120 --> 00:03:19.320]  使仇敵和報仇的閉口無言」
[00:03:19.320 --> 00:03:20.520]  在這節經文中
[00:03:20.520 --> 00:03:23.640]  我們看到有兩班對立的群體
[00:03:23.640 --> 00:03:28.200]  分別第一班是仇敵和報仇的
[00:03:28.200 --> 00:03:30.760]  這個仇敵和報仇的
[00:03:30.760 --> 00:03:33.080]  包括很多敵人
[00:03:33.080 --> 00:03:36.920]  可以理解為挑戰神的列國
[00:03:36.920 --> 00:03:39.160]  因為詩篇是《舊約時代》
[00:03:39.160 --> 00:03:42.400]  挑戰神的列國和一些假神
[00:03:42.400 --> 00:03:45.160]  甚至乎是一些靈界的仇敵
[00:03:45.160 --> 00:03:48.480]  而第二班人就是英械和赫拉
[00:03:48.480 --> 00:03:51.480]  這個跟剛才那班很強大的人
[00:03:51.480 --> 00:03:53.320]  是很大的對比
[00:03:53.320 --> 00:03:56.560]  相反,是很弱的
[00:03:56.560 --> 00:03:59.320]  英械,即是BB
[00:03:59.320 --> 00:04:01.600]  我也知道某些傳道
[00:04:01.600 --> 00:04:04.080]  也有些生過BB的
[00:04:04.080 --> 00:04:06.000]  即是你的太太生過BB的意思
[00:04:06.000 --> 00:04:07.040]  (笑)
[00:04:07.040 --> 00:04:09.520]  是的,也有些在這裡
[00:04:09.520 --> 00:04:11.400]  即是英械和赫拉
[00:04:11.400 --> 00:04:14.880]  我太太也生過BB,我沒有生過
