
[00:00:00.000 --> 00:00:02.000]  祝神弟子們
[00:00:02.000 --> 00:00:04.000]  好
[00:00:04.000 --> 00:00:09.000]  我們開始一起在當中分享神的話之先
[00:00:09.000 --> 00:00:11.000]  我們有個祈禱
[00:00:11.000 --> 00:00:13.000]  親愛的主耶穌
[00:00:13.000 --> 00:00:15.000]  獻上感謝和讚美
[00:00:15.000 --> 00:00:17.000]  祢讓我們繼續能夠一起聚集
[00:00:17.000 --> 00:00:21.000]  一起高歌讚美祢的偉大
[00:00:21.000 --> 00:00:23.000]  祢在我們身上一切的作為
[00:00:23.000 --> 00:00:26.000]  願意今日使用祢的說話
[00:00:26.000 --> 00:00:28.000]  成為我們的提醒和幫助
[00:00:28.000 --> 00:00:30.000]  再一次感謝祢
[00:00:30.000 --> 00:00:33.000]  求聖靈在我們中間教導我們
[00:00:33.000 --> 00:00:37.000]  讓我們更加清楚看見祢的心意
[00:00:37.000 --> 00:00:38.000]  多謝你聽我們禱告
[00:00:38.000 --> 00:00:40.000]  以上禱告奉主命求
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:48.000]  很早前我參加了一個社區健康的計劃
[00:00:48.000 --> 00:00:51.000]  希望能夠了解自己身體的狀況
[00:00:51.000 --> 00:00:54.000]  和預防一些慢性疾病
[00:00:54.000 --> 00:00:57.000]  並且學習了一些運動
[00:00:57.000 --> 00:00:59.000]  希望能夠健康一點
[00:00:59.000 --> 00:01:03.000]  首先中心安排了一位教練給我
[00:01:03.000 --> 00:01:06.000]  在當中和我做一些評估
[00:01:06.000 --> 00:01:08.000]  了解我日常飲食的習慣
[00:01:08.000 --> 00:01:11.000]  和生活作息的安排
[00:01:11.000 --> 00:01:13.000]  最重要的是看我身上的肌肉
[00:01:13.000 --> 00:01:16.000]  究竟有哪些地方多或少
[00:01:16.000 --> 00:01:19.000]  希望能夠對症下藥
[00:01:19.000 --> 00:01:21.000]  所以整個課程裡
[00:01:21.000 --> 00:01:23.000]  不單止有一些評估
[00:01:23.000 --> 00:01:25.000]  更加有一些上課
[00:01:25.000 --> 00:01:28.000]  學習做一些伸展活動
[00:01:28.000 --> 00:01:29.000]  所以有了知識
[00:01:29.000 --> 00:01:31.000]  亦了解自己狀況的時候
[00:01:31.000 --> 00:01:34.000]  希望能夠改善自己的身體
[00:01:34.000 --> 00:01:37.000]  希望能夠得到最好的果效
[00:01:37.000 --> 00:01:40.000]  必然最重要的是
[00:01:40.000 --> 00:01:43.000]  要下苦功繼續做一些運動
[00:01:43.000 --> 00:01:46.000]  否則不能夠幫助自己
[00:01:46.000 --> 00:01:50.000]  亦看不到自己身體有甚麼改變
[00:01:50.000 --> 00:01:51.000]  趁著大家知道
[00:01:51.000 --> 00:01:54.000]  其實我們屬靈的生命是同一樣
[00:01:54.000 --> 00:01:56.000]  我們要經歷神給我們
[00:01:56.000 --> 00:01:58.000]  一個豐盛的生命
