
[00:00:00.000 --> 00:00:03.000]  今日我們講的題目就是
[00:00:03.000 --> 00:00:05.540]  因順清二是為了
[00:00:05.540 --> 00:00:07.380]  而神為樂
[00:00:07.380 --> 00:00:11.760]  我們因順清二都很熟
[00:00:11.760 --> 00:00:14.120]  經常聽的,希望今天
[00:00:14.120 --> 00:00:16.420]  藉著今天的經文
[00:00:16.420 --> 00:00:18.920]  可以讓我們多想多一點
[00:00:18.920 --> 00:00:21.900]  我們今天的信仰是帶來什麼
[00:00:21.900 --> 00:00:25.380]  首先想問一下
[00:00:25.380 --> 00:00:28.380]  大家有沒有聽過
[00:00:28.380 --> 00:00:31.380]  Gan充電器
[00:00:31.380 --> 00:00:33.380]  Gan充電器
[00:00:33.380 --> 00:00:36.080]  有些人有用過
[00:00:36.080 --> 00:00:40.160]  我那時候
[00:00:40.160 --> 00:00:42.820]  充電器不見了
[00:00:42.820 --> 00:00:45.780]  每次買手機都會有充電器
[00:00:45.780 --> 00:00:48.780]  有時我以為自己有足夠
[00:00:48.780 --> 00:00:51.780]  就不保留,誰知突然間就沒有了
[00:00:51.780 --> 00:00:55.140]  我就去了某個商場,我覺得東西都比較便宜
[00:00:55.140 --> 00:00:58.080]  專門店的,專門賣電子用品
[00:00:58.080 --> 00:01:01.080]  我就去買充電器
[00:01:01.080 --> 00:01:04.100]  那個人就介紹這個充電器給我,是一個害怕的充電器
[00:01:04.100 --> 00:01:07.100]  我一聽的時候
[00:01:07.100 --> 00:01:10.100]  就有點害怕,他說
[00:01:10.100 --> 00:01:13.360]  二百多塊,那時候是幾年前
[00:01:13.360 --> 00:01:16.340]  他說充得很快,很值得
[00:01:16.340 --> 00:01:19.340]  他又沒有其他電,那時候我又晚一點
[00:01:19.340 --> 00:01:22.340]  因為我下班比較晚,我又覺得回家沒有充電
[00:01:22.340 --> 00:01:25.340]  又搞不定,所以我就害怕
[00:01:25.340 --> 00:01:26.780]  買了這個充電器
[00:01:27.480 --> 00:01:30.580]  買了回家之後就試
[00:01:30.580 --> 00:01:32.580]  試完之後
[00:01:32.580 --> 00:01:36.280]  平時我手機差不多要
[00:01:36.280 --> 00:01:38.480]  差不多五六個小時充電
[00:01:38.480 --> 00:01:41.980]  但那天因為用到沒有了
[00:01:41.980 --> 00:01:45.480]  那天一個多小時就充完了
[00:01:45.480 --> 00:01:51.220]  我不知道大家有沒有試過
[00:01:51.220 --> 00:01:54.220]  曾經你買過的東西
[00:01:54.220 --> 00:01:56.480]  你本來買的時候是半信半疑的
[00:01:56.980 --> 00:01:59.980]  但是過了之後
[00:01:59.980 --> 00:02:02.980]  你試過用了之後,發現物有所值
[00:02:02.980 --> 00:02:05.980]  就覺得很開心,有沒有試過這樣的情況
[00:02:05.980 --> 00:02:10.480]  有試過吧,可能情況不多
[00:02:10.480 --> 00:02:13.480]  通常是被騙的比較多,不過如果是試到這樣的情況
[00:02:13.480 --> 00:02:16.480]  就會很開心
[00:02:16.480 --> 00:02:19.480]  又或者,你們大家有沒有曾經試過
[00:02:19.480 --> 00:02:22.480]  很辛苦地完成一個很艱鉅的任務
[00:02:22.480 --> 00:02:25.480]  甚至你以為是沒有辦法
[00:02:25.480 --> 00:02:28.480]  可能完成的,之後
[00:02:28.480 --> 00:02:31.480]  就會感覺到那種無可延傳的喜悅呢
[00:02:31.480 --> 00:02:34.480]  有沒有試過呢
[00:02:34.480 --> 00:02:37.480]  應該有吧,那時候覺得
[00:02:37.480 --> 00:02:40.480]  其實自己沒有想過自己可以的,竟然可以得到
[00:02:40.480 --> 00:02:43.480]  其實真的很開心
[00:02:43.480 --> 00:02:46.480]  雖然
[00:02:46.480 --> 00:02:49.480]  我們人大了
[00:02:49.480 --> 00:02:52.480]  這樣的驚喜並不多
[00:02:52.480 --> 00:02:55.480]  可能我們看很多東西的時候
[00:02:55.480 --> 00:02:58.480]  都是失敗多於成功
[00:02:58.480 --> 00:03:01.480]  又或者慢慢我們學會了很多東西的時候
