
[00:00:00.000 --> 00:00:02.000]  頂招大家好
[00:00:02.000 --> 00:00:06.000]  我很少在副宗跟大家分享上帝的話
[00:00:06.000 --> 00:00:08.000]  但今天很開心有這個機會
[00:00:08.000 --> 00:00:12.000]  今天是教會性的主題講道
[00:00:12.000 --> 00:00:14.000]  是轉變中的盼望
[00:00:14.000 --> 00:00:18.000]  我們繼續透過以西傑書去學習上帝的教導
[00:00:18.000 --> 00:00:22.000]  今天講道的主題是「我有幾大」
[00:00:22.000 --> 00:00:26.000]  其實我叫Esther
[00:00:26.000 --> 00:00:27.000]  先介紹一下自己
[00:00:27.000 --> 00:00:29.000]  可能有些頂招對我都比較陌生
[00:00:29.000 --> 00:00:33.000]  我通常都在標青崇拜和清少崇拜講道
[00:00:33.000 --> 00:00:36.000]  其實昨天在標青崇拜都是講這個題目
[00:00:36.000 --> 00:00:39.000]  我把這個題目放上IG
[00:00:39.000 --> 00:00:41.000]  有一個年輕人看到的時候
[00:00:41.000 --> 00:00:42.000]  WhatsApp我
[00:00:42.000 --> 00:00:44.000]  他回答我這條問題
[00:00:44.000 --> 00:00:46.000]  這條問題是「我有幾大」
[00:00:46.000 --> 00:00:47.000]  他回答我
[00:00:47.000 --> 00:00:49.000]  他說「我有幾大」
[00:00:49.000 --> 00:00:51.000]  「大到可以開一間自我中心」
[00:00:51.000 --> 00:00:53.000]  是懶了一點
[00:00:53.000 --> 00:00:57.000]  不過都挺搞笑
[00:00:57.000 --> 00:01:00.000]  有時候我們這個「我」
[00:01:00.000 --> 00:01:02.000]  不知道是什麼原因
[00:01:02.000 --> 00:01:05.000]  這個「我」會越變越大
[00:01:05.000 --> 00:01:07.000]  越來越自我的
[00:01:07.000 --> 00:01:10.000]  其實聖經又怎樣看自我呢?
[00:01:10.000 --> 00:01:13.000]  又或者當這個「我」越來越大
[00:01:13.000 --> 00:01:15.000]  又有什麼問題呢?
[00:01:15.000 --> 00:01:16.000]  有什麼影響呢?
[00:01:16.000 --> 00:01:17.000]  對於我們的靈命
[00:01:17.000 --> 00:01:19.000]  今天都很想透過經文
[00:01:19.000 --> 00:01:23.000]  一起去看看聖經對我們有什麼提醒
[00:01:23.000 --> 00:01:25.000]  經文很長
[00:01:25.000 --> 00:01:27.000]  28章一整章
[00:01:27.000 --> 00:01:28.000]  不過大家放心
[00:01:28.000 --> 00:01:30.000]  我們都不會
[00:01:30.000 --> 00:01:33.000]  總之簡潔地去認識這段經文
[00:01:33.000 --> 00:01:36.000]  我們先邀請大家一起讀出
[00:01:36.000 --> 00:01:39.000]  以賽亞書28章1至10節
[00:01:39.000 --> 00:01:41.000]  邀請大家一起讀
[00:01:41.000 --> 00:01:43.000]  預備起
[00:01:43.000 --> 00:01:45.000]  耶和華的話臨到我說
[00:01:45.000 --> 00:01:46.000]  人子啊
[00:01:46.000 --> 00:01:49.000]  你要對推羅的君王說
[00:01:49.000 --> 00:01:51.000]  主耶和華如此說
[00:01:51.000 --> 00:01:53.000]  你心裡高傲說
[00:01:53.000 --> 00:01:55.000]  我是神明
[00:01:55.000 --> 00:01:58.000]  我在海中坐諸神之位
[00:01:58.000 --> 00:02:02.000]  雖然你把你的心比作神明的心
[00:02:02.000 --> 00:02:04.000]  你卻不過是人
[00:02:04.000 --> 00:02:06.000]  並不是神明
[00:02:06.000 --> 00:02:07.000]  漢娜
[00:02:07.000 --> 00:02:09.000]  你比但以你更有智慧
[00:02:09.000 --> 00:02:13.000]  任何秘密都不能向你隱藏
[00:02:13.000 --> 00:02:15.000]  你靠自己的智慧
[00:02:15.000 --> 00:02:17.000]  聰明得了財寶
[00:02:17.000 --> 00:02:20.000]  把金銀收入庫房
[00:02:20.000 --> 00:02:22.000]  你靠自己的大智慧
[00:02:22.000 --> 00:02:24.000]  以貿易增添財寶
[00:02:24.000 --> 00:02:27.000]  又因你的財寶心裡高傲
[00:02:27.000 --> 00:02:30.000]  所以主耶和華如此說
[00:02:30.000 --> 00:02:34.000]  因你把你的心比作神明的心
[00:02:34.000 --> 00:02:35.000]  漢娜
[00:02:35.000 --> 00:02:37.000]  我必使愛國人
[00:02:37.000 --> 00:02:40.000]  就是列國中兇暴的人
[00:02:40.000 --> 00:02:42.000]  臨到你這裡
[00:02:42.000 --> 00:02:46.000]  他們要拔刀摧毀你用智慧得來的美物
[00:02:46.000 --> 00:02:49.000]  污損你的榮光
