
[00:00:00.000 --> 00:00:06.560]  KOL是否真心覺得好吃推介給別人
[00:00:06.560 --> 00:00:07.920]  因為很簡單
[00:00:07.920 --> 00:00:10.520]  作為一個代表
[00:00:10.520 --> 00:00:14.080]  你去推介一個餐廳
[00:00:14.080 --> 00:00:16.680]  其實你是代表你自己去推介
[00:00:16.680 --> 00:00:18.800]  那間餐廳好不好吃
[00:00:18.800 --> 00:00:23.000]  有些東西好像我們作為基督徒
[00:00:23.000 --> 00:00:24.960]  你出來說
[00:00:24.960 --> 00:00:26.440]  你出來做見證
[00:00:26.440 --> 00:00:28.120]  你就是代表耶穌基督
[00:00:28.120 --> 00:00:29.400]  你信耶穌基督
[00:00:29.400 --> 00:00:30.720]  你的生活裡面
[00:00:30.720 --> 00:00:33.440]  其實你有沒有帶著一個態度呢
[00:00:33.440 --> 00:00:34.800]  說真的
[00:00:34.800 --> 00:00:38.360]  前陣子我有個朋友有一間餐廳
[00:00:38.360 --> 00:00:44.880]  都找KOL做推介
[00:00:44.880 --> 00:00:45.480]  拍攝
[00:00:45.480 --> 00:00:46.800]  我也跟我的朋友說
[00:00:46.800 --> 00:00:49.360]  其實他一般般而已
[00:00:49.360 --> 00:00:52.600]  他說好吃的東西我也要想一想
[00:00:52.600 --> 00:00:53.800]  真的
[00:00:53.800 --> 00:00:55.840]  我想不只是對那間餐廳
[00:00:55.840 --> 00:00:57.240]  我想對他來說
[00:00:57.240 --> 00:00:59.240]  或者對他所推介的東西
[00:00:59.240 --> 00:01:02.720]  可能你自己中伏一次
[00:01:02.720 --> 00:01:03.800]  其實都已經覺得
[00:01:03.800 --> 00:01:05.800]  是不是信得過呢
[00:01:05.800 --> 00:01:07.280]  不過反觀
[00:01:07.280 --> 00:01:08.280]  剛才也說了
[00:01:08.280 --> 00:01:10.280]  在我們信仰生活裡面
[00:01:10.280 --> 00:01:12.280]  其實我們會不會抱著
[00:01:12.280 --> 00:01:13.800]  在你的生活裡面
[00:01:13.800 --> 00:01:16.960]  你會不會記得自己的身份是一位基督徒
[00:01:16.960 --> 00:01:22.640]  你的生活上所對待人處事的態度
[00:01:22.640 --> 00:01:25.800]  其實你也代表著耶穌基督
[00:01:25.800 --> 00:01:30.600]  你能不能做耶穌基督的見證呢
[00:01:30.600 --> 00:01:31.960]  問心一層
[00:01:31.960 --> 00:01:34.200]  你是不是真的回到教會裡面
