
[00:00:00.000 --> 00:00:04.560]  前陣子我看了一部重播的電影
[00:00:04.560 --> 00:00:08.280]  叫做Vertical Limit 終極天險
[00:00:08.280 --> 00:00:10.280]  不知道大家有沒有看過呢
[00:00:10.280 --> 00:00:16.080]  有沒有的
[00:00:16.080 --> 00:00:22.640]  故事的背景是在喜馬拉雅山脈裡面
[00:00:22.640 --> 00:00:28.720]  有一隊救援隊要上山去營救幾個
[00:00:28.720 --> 00:00:35.760]  因為上了山 但被大風雪和雪崩困在山洞裡的攀山者
[00:00:35.760 --> 00:00:43.200]  他們幾經辛苦 終於找到那兩位攀山者的時候
[00:00:43.200 --> 00:00:47.680]  救援隊其中一個攀山專家
[00:00:47.680 --> 00:00:52.440]  其實是很想殺了其中一個生還者
[00:00:52.440 --> 00:00:55.880]  很想推他到深谷那裡
[00:00:55.880 --> 00:01:04.840]  因為那位生還者曾經在攀山過程中害死了攀山專家的太太
[00:01:04.840 --> 00:01:12.520]  但最後攀山專家決定不殺這個仇人
[00:01:12.520 --> 00:01:14.520]  而是救他
[00:01:14.520 --> 00:01:17.520]  雖然那個人最後也死了
[00:01:17.520 --> 00:01:25.400]  這是救與不救 還有救什麼人的掙扎
[00:01:25.400 --> 00:01:28.920]  是一個很發自內心深處的掙扎
[00:01:28.920 --> 00:01:33.040]  今天仍然是我們全福音系列
[00:01:33.040 --> 00:01:36.920]  成為愛靈魂和愛生命的訊號的月題
[00:01:36.920 --> 00:01:41.200]  題目是不情願的祝福
[00:01:41.200 --> 00:01:44.480]  我們透過約拿書四章一至十一節
[00:01:44.480 --> 00:01:47.800]  從救與不救的思考
[00:01:47.800 --> 00:01:52.440]  去更加明白上帝對生命對靈魂的心意
[00:01:52.440 --> 00:01:56.760]  我們先讀約拿書四章一至四節
[00:01:56.760 --> 00:02:01.440]  「這是令約拿大大不悅 甚至發怒
[00:02:01.440 --> 00:02:04.240]  他就向耶和華禱告說
[00:02:04.240 --> 00:02:09.320]  耶和華 這不就是我仍在本國的時候所說的嗎?
[00:02:09.320 --> 00:02:13.080]  我知道你是有恩惠 有憐憫的神
[00:02:13.080 --> 00:02:16.320]  不輕而發怒 有豐盛的慈愛
[00:02:16.320 --> 00:02:20.160]  並且會改變心意 不幹那災難
[00:02:20.160 --> 00:02:24.800]  我就是因為這樣才急速逃往他失去的
[00:02:24.800 --> 00:02:28.560]  耶和華 現在求你取走我的性命吧
[00:02:28.560 --> 00:02:31.360]  因為我死了比活著更好
[00:02:31.360 --> 00:02:35.960]  耶和華說 你這樣發怒 對嗎?」
[00:02:35.960 --> 00:02:37.000]  不知道大家還記不記得
[00:02:37.000 --> 00:02:38.800]  我上一次講道的時候
[00:02:38.800 --> 00:02:41.640]  講認罪與同行的團契生活
[00:02:41.640 --> 00:02:44.200]  當時提到先知以利亞
[00:02:44.200 --> 00:02:47.440]  都有向神求死的經歷
[00:02:47.440 --> 00:02:52.280]  今天另一個先知約拿又向神求死
[00:02:52.280 --> 00:02:54.040]  看來先知這份工作
[00:02:54.040 --> 00:02:55.240]  所謂的這份工作
[00:02:55.240 --> 00:02:56.320]  其實是一個枯潮
[00:02:56.320 --> 00:02:58.520]  真的很不容易
[00:02:58.520 --> 00:03:00.040]  看這四節經文
[00:03:00.040 --> 00:03:02.760]  我們嘗試回答兩個問題
[00:03:02.760 --> 00:03:06.920]  第一 約拿為何不高興不悅
[00:03:06.920 --> 00:03:08.560]  甚至想求死
[00:03:08.560 --> 00:03:10.920]  第二 耶和華問約拿
[00:03:10.920 --> 00:03:13.200]  「你這樣發怒 對嗎?」
[00:03:13.200 --> 00:03:18.200]  約拿發怒其實是對還是不對呢?
[00:03:18.200 --> 00:03:21.520]  第一節 或許是令約拿大大不悅
