
[00:00:00.000 --> 00:00:04.160]  今天的講題叫做「不要再G.I.DOL了」
[00:00:04.160 --> 00:00:05.280]  明白的人就明白
[00:00:05.280 --> 00:00:06.760]  不明白的人可能會不明白
[00:00:06.760 --> 00:00:10.960]  不過待會也有機會說說什麼是G.I.DOL
[00:00:10.960 --> 00:00:13.720]  在進入經文之先
[00:00:13.720 --> 00:00:17.200]  話說我上個月有機會放假
[00:00:17.200 --> 00:00:20.160]  我和朋友第一次去了濟州島
[00:00:20.160 --> 00:00:22.480]  去到濟州島的時候
[00:00:22.480 --> 00:00:25.560]  有一件事經常都會看到的
[00:00:25.560 --> 00:00:27.560]  不知道大家能否猜到是什麼呢?
[00:00:27.560 --> 00:00:33.920]  濟州島的人
[00:00:33.920 --> 00:00:36.880]  我記得有人跟我說
[00:00:36.880 --> 00:00:38.880]  這是Esther說的
[00:00:38.880 --> 00:00:42.160]  曾經有人說「帥哥?」
[00:00:42.160 --> 00:00:43.920]  我以為韓國好像比較多帥哥
[00:00:43.920 --> 00:00:45.160]  不過不是的
[00:00:45.160 --> 00:00:49.080]  我在濟州島看到最多的是這個
[00:00:49.080 --> 00:00:50.680]  這個叫什麼呢?
[00:00:50.680 --> 00:00:51.880]  它有很多個名字
[00:00:51.880 --> 00:00:54.480]  我現在叫它「石爺爺」
[00:00:54.480 --> 00:00:56.760]  因為當時的導遊是這樣介紹的
[00:00:56.760 --> 00:01:01.560]  這個石爺爺在濟州島真的可以在街上看到
[00:01:01.560 --> 00:01:03.680]  當初我沒有做什麼資料搜集
[00:01:03.680 --> 00:01:06.160]  覺得這個石爺爺很可愛
[00:01:06.160 --> 00:01:08.880]  他又肥又矮又瘦又高
[00:01:08.880 --> 00:01:13.920]  甚至在消防局的地方也有這個石爺爺
[00:01:13.920 --> 00:01:17.120]  這個石爺爺戴著消防帽和消防制服
[00:01:17.120 --> 00:01:20.720]  警察局就是穿著警察制服的石爺爺
[00:01:20.720 --> 00:01:23.000]  當了解多一點的時候
[00:01:23.000 --> 00:01:26.960]  原來這個是濟州島人很重要的守護神
[00:01:26.960 --> 00:01:32.600]  所以在每一個村口都會放置這個石爺爺
[00:01:32.600 --> 00:01:35.880]  我有機會聽韓國導遊說一下
[00:01:35.880 --> 00:01:38.120]  這是什麼樣的守護神
[00:01:38.120 --> 00:01:41.480]  原來摸這個石爺爺的不同部位
[00:01:41.480 --> 00:01:43.600]  是可以有不同的祝福的
[00:01:43.600 --> 00:01:47.680]  他說摸鼻子生孩子就會生男孩子
[00:01:47.680 --> 00:01:50.800]  摸肚子就可以求財
[00:01:50.800 --> 00:01:55.280]  摸肩膀就可以健康長壽
[00:01:55.280 --> 00:01:57.040]  當時我參加了一個本地的導遊
[00:01:57.040 --> 00:02:00.240]  我身邊有些外國人和年輕人
[00:02:00.240 --> 00:02:01.320]  他們聽完之後
[00:02:01.320 --> 00:02:03.640]  我心想應該聽一下就算了
[00:02:03.640 --> 00:02:07.360]  他們真的去摸摸遍全身
[00:02:07.360 --> 00:02:09.840]  連韓國的年輕人
[00:02:09.840 --> 00:02:13.200]  韓國也有很多年輕人去濟州島旅行
[00:02:13.200 --> 00:02:15.800]  他們也去摸
[00:02:15.800 --> 00:02:16.880]  然後我就想
[00:02:16.880 --> 00:02:19.600]  有時候我們會去想偶像崇拜
[00:02:19.600 --> 00:02:21.440]  我們經常聽到的
[00:02:21.440 --> 00:02:23.360]  可能是拜假神
[00:02:23.360 --> 00:02:25.960]  拜觀音、黃大仙
[00:02:25.960 --> 00:02:30.000]  可能今天沒有很多年輕人去拜這些東西
[00:02:30.000 --> 00:02:31.000]  不過我在想
[00:02:31.000 --> 00:02:34.440]  為什麼當導遊去說摸完不同部位
[00:02:34.440 --> 00:02:36.640]  有不同的得著的時候
[00:02:36.640 --> 00:02:38.640]  會虛是一個人去這樣做
[00:02:38.640 --> 00:02:40.120]  其實原來偶像崇拜
[00:02:40.120 --> 00:02:42.720]  不單是說他拜的是假神
[00:02:42.720 --> 00:02:46.360]  同樣是在反映人心裏的一些想望
[00:02:46.360 --> 00:02:47.560]  一些渴想
[00:02:47.560 --> 00:02:50.040]  以致他想得到的
[00:02:50.040 --> 00:02:53.200]  今天就像剛剛所說的那一頁
[00:02:53.200 --> 00:02:55.920]  今天我想透過《聖經》列王記下
[00:02:55.920 --> 00:02:58.480]  17章24到41節
[00:02:58.480 --> 00:02:59.960]  再一起去認識
[00:02:59.960 --> 00:03:04.200]  究竟偶像崇拜對我們作為信徒的影響是怎樣
[00:03:04.200 --> 00:03:08.640]  我們今天會分兩部分去研讀這段經文
[00:03:08.640 --> 00:03:11.920]  我們先去讀第一段經文
[00:03:11.920 --> 00:03:13.520]  我們預備起
[00:03:13.520 --> 00:03:17.720]  (中文)
[00:03:17.720 --> 00:03:21.600]  哈瑪和西伐瓦欽遷移人來
[00:03:21.600 --> 00:03:24.680]  安置在撒瑪利亞的城鎮
[00:03:24.680 --> 00:03:26.480]  代替以色列人
[00:03:26.480 --> 00:03:29.320]  他們就佔據了撒瑪利亞
[00:03:29.320 --> 00:03:30.960]  住在城中
[00:03:30.960 --> 00:03:34.000]  他們開始住在那裏的時候
[00:03:34.000 --> 00:03:35.800]  不敬畏耶和華
[00:03:35.800 --> 00:03:39.800]  所以耶和華叫獅子進入他們中間
[00:03:39.800 --> 00:03:41.640]  咬死了一些人
[00:03:41.640 --> 00:03:43.960]  有人對亞述王說
[00:03:43.960 --> 00:03:49.120]  你所遷移安置在撒瑪利亞城鎮的各國的人
[00:03:49.120 --> 00:03:52.600]  他們不知道那地之神的規矩
[00:03:52.600 --> 00:03:56.080]  所以亞述王叫獅子進入他們中間
[00:03:56.080 --> 00:03:58.800]  可能獅子咬死了他們
[00:03:58.800 --> 00:04:02.880]  因為他們不知道那地之神的規矩
[00:04:02.880 --> 00:04:04.840]  亞述王吩咐說
[00:04:04.840 --> 00:04:09.080]  當派一個從那裏來的祭司回去
[00:04:09.080 --> 00:04:11.080]  叫他住在那裏
[00:04:11.080 --> 00:04:14.720]  將那地之神的規矩指導他們
[00:04:14.720 --> 00:04:19.600]  於是有一個從撒瑪利亞流去的祭司回來
[00:04:19.600 --> 00:04:21.160]  住在伯特利
[00:04:21.160 --> 00:04:24.560]  教導他們怎樣敬畏耶和華
[00:04:24.560 --> 00:04:28.280]  各國的人在所住的城裏
[00:04:28.280 --> 00:04:30.720]  為自己製造神像
[00:04:30.720 --> 00:04:38.880]  巴比倫人做梭葛比納像
[00:04:38.880 --> 00:04:41.400]  古他人做力甲像
[00:04:41.400 --> 00:04:44.320]  哈瑪人做亞氏瑪像
[00:04:44.320 --> 00:04:48.360]  雅雅人做力哈和他爾他像
[00:04:48.360 --> 00:04:52.560]  西伐雅欽人用火焚燒而來
[00:04:52.560 --> 00:04:58.360]  阿德米勒和阿拿米勒
[00:04:58.360 --> 00:05:00.880]  他們懼怕耶和華
[00:05:00.880 --> 00:05:04.880]  卻從他們中間立休壇的祭司
[00:05:04.880 --> 00:05:08.520]  在休壇的點中向他們獻祭
[00:05:08.520 --> 00:05:10.520]  他們懼怕耶和華
[00:05:10.520 --> 00:05:13.240]  但又侍奉自己的神明
[00:05:13.240 --> 00:05:15.240]  從河邦遷來
[00:05:15.240 --> 00:05:17.720]  就隨從那裏的風俗
[00:05:17.720 --> 00:05:22.040]  直到如今仍照先前的風俗去行
[00:05:22.040 --> 00:05:24.360]  他們不敬畏耶和華
[00:05:24.360 --> 00:05:28.680]  不遵守耶和華吩咐雅各後裔的律例
[00:05:28.680 --> 00:05:31.320]  典章、律法、誡明
[00:05:31.320 --> 00:05:37.720]  我們先一起有個禱告
[00:05:38.720 --> 00:05:41.720]  七位天父多謝祢留下聖經給我們
[00:05:41.720 --> 00:05:45.520]  祢的聖經、祢的話語是我們腳前的燈、路上的光
[00:05:45.520 --> 00:05:48.480]  願主也求聖靈在我們心中動功
[00:05:48.480 --> 00:05:49.680]  讓我們有智慧
[00:05:49.680 --> 00:05:51.680]  也有專心去明白
[00:05:51.680 --> 00:05:53.840]  更加成為我們的提醒
[00:05:53.840 --> 00:05:55.160]  成為我們的尷尬
[00:05:55.160 --> 00:05:59.240]  主願祢幫助我們今晚一起去明白祢話時候
[00:05:59.240 --> 00:06:02.120]  以神禱告奉主耶穌基督聖名求
[00:06:02.120 --> 00:06:03.120]  阿們
[00:06:03.120 --> 00:06:06.920]  我們先說說經文的背景
[00:06:06.920 --> 00:06:09.920]  我們剛剛讀的經文
[00:06:09.920 --> 00:06:12.080]  24至28節中
[00:06:12.080 --> 00:06:14.080]  是說到一些經文的背景
[00:06:14.080 --> 00:06:15.920]  當我們看第24節
[00:06:15.920 --> 00:06:19.040]  裡面不斷提及亞述王
[00:06:19.040 --> 00:06:22.520]  安置很多不同的人到達撒瑪利亞的城鎮
[00:06:22.520 --> 00:06:26.920]  這些不同種族的人佔據了撒瑪利亞
[00:06:26.920 --> 00:06:29.520]  這裡的撒瑪利亞是什麼呢?
[00:06:29.520 --> 00:06:31.920]  原來在某一段時期
[00:06:31.920 --> 00:06:34.320]  以色列分了南北國
[00:06:34.320 --> 00:06:37.120]  南國定都在耶路撒冷
[00:06:37.120 --> 00:06:39.920]  北國定都在撒瑪利亞
[00:06:39.920 --> 00:06:44.320]  當時北國和南國都隨後在不同時段
[00:06:44.320 --> 00:06:46.720]  因為不敬畏上帝
