
[00:00:00.000 --> 00:00:04.500]  今天是年度講壇主題
[00:00:04.500 --> 00:00:07.500]  幻變中的盼望的最後一講
[00:00:07.500 --> 00:00:09.500]  如果大家有印象的話
[00:00:09.500 --> 00:00:13.000]  幻變中的盼望就是一起看以西傑書
[00:00:13.000 --> 00:00:15.000]  一卷舊約的先知書
[00:00:15.000 --> 00:00:19.000]  今天我選出的經文是47章
[00:00:19.000 --> 00:00:21.000]  我們一會兒會看看
[00:00:21.000 --> 00:00:25.000]  香港人很喜歡吃日本食物
[00:00:25.000 --> 00:00:31.000]  因為低脂又好吃
[00:00:31.000 --> 00:00:33.000]  通常喜歡吃什麼呢
[00:00:33.000 --> 00:00:39.000]  魚生、壽司、砂煲
[00:00:39.000 --> 00:00:41.000]  現在很流行壽喜燒
[00:00:41.000 --> 00:00:45.000]  不知道你們有沒有吃過大阪的名物呢
[00:00:45.000 --> 00:00:47.000]  登登 出了沒有
[00:00:47.000 --> 00:00:50.000]  不是 上一個
[00:00:50.000 --> 00:00:52.000]  哎呀 出了
[00:00:52.000 --> 00:00:55.000]  就是大阪名物炸串
[00:00:55.000 --> 00:00:58.000]  大家有沒有吃過
[00:00:58.000 --> 00:01:01.000]  少吃 因為是大阪名物
[00:01:01.000 --> 00:01:04.000]  其實它來自於1920年
[00:01:04.000 --> 00:01:08.000]  有個老闆將肉串成串
[00:01:08.000 --> 00:01:11.000]  其實是給勞動人吃的
[00:01:11.000 --> 00:01:14.000]  因為有厚厚的炸漿
[00:01:14.000 --> 00:01:16.000]  有些是蔬菜 有些是肉
[00:01:16.000 --> 00:01:21.000]  戰爭的時候最好填飽肚子的食物
[00:01:21.000 --> 00:01:24.000]  現在大阪很流行
[00:01:24.000 --> 00:01:27.000]  現在也有一些專門的餐廳
[00:01:27.000 --> 00:01:30.000]  其實也很少吃
[00:01:30.000 --> 00:01:32.000]  因為我們也怕熱氣
[00:01:32.000 --> 00:01:38.000]  我最近在家開了一間炸串店
[00:01:38.000 --> 00:01:40.000]  名字很棒 看到嗎
[00:01:40.000 --> 00:01:43.000]  叫做炸炸低
[00:01:43.000 --> 00:01:44.000]  很棒 想起了
[00:01:44.000 --> 00:01:46.000]  不過我暫時未吃過
[00:01:46.000 --> 00:01:49.000]  因為它一時開一時不開
[00:01:49.000 --> 00:01:51.000]  不知為何
[00:01:51.000 --> 00:01:53.000]  它在疫情的時候開的
[00:01:53.000 --> 00:01:55.000]  所以我覺得很勇敢
[00:01:55.000 --> 00:01:59.000]  炸炸低和上帝的榮耀
[00:01:59.000 --> 00:02:02.000]  或者榮耀的盼望有什麼關係呢
[00:02:02.000 --> 00:02:05.000]  今天講題就是榮耀的盼望
[00:02:05.000 --> 00:02:07.000]  炸炸低和榮耀的盼望有什麼關係呢
[00:02:07.000 --> 00:02:09.000]  一會兒聽下去
[00:02:09.000 --> 00:02:11.000]  其實榮耀這個字
[00:02:11.000 --> 00:02:16.000]  在以西傑書出現了不少次
[00:02:16.000 --> 00:02:18.000]  但是貫穿在以西傑書
[00:02:18.000 --> 00:02:20.000]  大概18次左右
[00:02:20.000 --> 00:02:25.000]  榮耀原文有富足 尊榮 尊貴
[00:02:25.000 --> 00:02:28.000]  全部都是關於耶和華的
[00:02:28.000 --> 00:02:31.000]  你聽聽這個尊
[00:02:31.000 --> 00:02:34.000]  是跟耶和華有關的形容詞
[00:02:34.000 --> 00:02:38.000]  榮耀 尊貴 榮光
[00:02:38.000 --> 00:02:45.000]  你覺得我們的神是怎樣的呢
[00:02:45.000 --> 00:02:51.000]  你有沒有嘗試過神的榮耀和榮光呢
[00:02:51.000 --> 00:02:53.000]  你有沒有品嘗過
[00:02:53.000 --> 00:02:58.000]  上帝這位耶和華的榮耀或者榮光呢
[00:02:58.000 --> 00:03:01.000]  剛剛講到以西傑的主題
[00:03:01.000 --> 00:03:07.000]  是幻變中盼望的書卷
[00:03:07.000 --> 00:03:11.000]  其實上帝一直在全地掌權
[00:03:11.000 --> 00:03:14.000]  如果我們看這本書的時候
[00:03:14.000 --> 00:03:18.000]  由大亡國到當中的歷史背景
[00:03:18.000 --> 00:03:22.000]  仍然強調上帝的主權
[00:03:22.000 --> 00:03:24.000]  在powerpoint上看到
[00:03:24.000 --> 00:03:26.000]  其實整本書我們回顧一下
[00:03:26.000 --> 00:03:28.000]  上帝的榮耀是怎樣的呢
[00:03:28.000 --> 00:03:31.000]  1至3章的榮耀出現在
[00:03:31.000 --> 00:03:36.000]  他呼召以西傑去聚他的見證人
[00:03:36.000 --> 00:03:40.000]  呼召以西傑
[00:03:40.000 --> 00:03:42.000]  但是在4至32章
[00:03:42.000 --> 00:03:45.000]  上帝就發出審判的訊息
[00:03:45.000 --> 00:03:50.000]  榮耀開始離開聖殿
[00:03:50.000 --> 00:03:54.000]  來到最後的部分
[00:03:54.000 --> 00:03:57.000]  就是榮耀的回歸
[00:03:57.000 --> 00:03:59.000]  當中有今天我們看的
[00:03:59.000 --> 00:04:03.000]  「恢復敬拜和神復和」的40至48章
[00:04:03.000 --> 00:04:06.000]  我們今天看47章
[00:04:06.000 --> 00:04:09.000]  裡面有一樣東西
[00:04:09.000 --> 00:04:11.000]  上帝很想我們知道
[00:04:11.000 --> 00:04:13.000]  或者讀者知道
