
[00:00:00.000 --> 00:00:03.560]  很感恩可以在這裡跟大家分享神的話語
[00:00:03.560 --> 00:00:05.840]  我不知道大家有沒有認識一些人
[00:00:05.840 --> 00:00:10.840]  他用了一生來定一個目標
[00:00:10.840 --> 00:00:14.000]  一生來向著自己的目標
[00:00:14.000 --> 00:00:16.000]  來尋找
[00:00:16.000 --> 00:00:18.000]  有沒有認識這些人
[00:00:18.000 --> 00:00:20.000]  沒有
[00:00:20.000 --> 00:00:22.000]  其實是少的
[00:00:22.000 --> 00:00:24.800]  那些科學家我不知道大家有沒有見過
[00:00:24.800 --> 00:00:27.400]  他們一生來鑽研
[00:00:27.400 --> 00:00:34.000]  為了一些病毒 為了解決一些科學的問題
[00:00:34.000 --> 00:00:36.400]  不過我想你可能會認識一些人
[00:00:36.400 --> 00:00:40.600]  一生為了錢來尋求的
[00:00:40.600 --> 00:00:41.800]  有沒有
[00:00:41.800 --> 00:00:42.800]  有
[00:00:42.800 --> 00:00:45.800]  其實我們一般正常普通人
[00:00:45.800 --> 00:00:47.800]  在我們的生命裡面
[00:00:47.800 --> 00:00:51.000]  我們其實在尋找什麼呢
[00:00:51.000 --> 00:00:53.800]  我相信大部分人在人生裡面
[00:00:53.800 --> 00:00:55.800]  你隨便找一個婆婆伯伯
[00:00:55.800 --> 00:00:58.800]  他過完一世人之後
[00:00:58.800 --> 00:01:01.800]  你問他其實你在生命裡面
[00:01:01.800 --> 00:01:03.800]  你有沒有什麼人生目標
[00:01:03.800 --> 00:01:06.800]  你在尋找什麼呢
[00:01:06.800 --> 00:01:09.800]  有能力的就會去賺錢
[00:01:09.800 --> 00:01:11.800]  我們那些沒能力的
[00:01:11.800 --> 00:01:14.800]  就是糊口
[00:01:14.800 --> 00:01:16.800]  餵兩餐
[00:01:16.800 --> 00:01:20.800]  能夠滿足生活裡面最基本的需要
[00:01:20.800 --> 00:01:23.800]  是不是就是這麼多呢
[00:01:23.800 --> 00:01:25.800]  這個時候我想問大家多一個問題
[00:01:25.800 --> 00:01:28.800]  你認為一個智慧的人
[00:01:28.800 --> 00:01:30.800]  在他人生裡面
[00:01:30.800 --> 00:01:32.800]  他的人生目標是什麼呢
[00:01:32.800 --> 00:01:36.800]  他以尋找什麼為他的人生目標呢
[00:01:36.800 --> 00:01:40.800]  會不會是一個更有意義的生命
[00:01:40.800 --> 00:01:42.800]  是更有價值的生命
[00:01:42.800 --> 00:01:44.800]  更有目標
[00:01:44.800 --> 00:01:47.800]  聖經裡面怎麼說呢
[00:01:47.800 --> 00:01:49.800]  聖經裡面說
