
[00:00:00.000 --> 00:00:03.400]  Hello 弟兄姊妹平安
[00:00:03.400 --> 00:00:04.600]  平安
[00:00:04.600 --> 00:00:08.080]  剛才無論牧師講或者主席都知道
[00:00:08.080 --> 00:00:09.400]  今天是青少主日
[00:00:09.400 --> 00:00:13.200]  應該由大堂走上來
[00:00:13.200 --> 00:00:15.200]  由地下一大門走上來的時候
[00:00:15.200 --> 00:00:16.600]  都看到不同的裝飾
[00:00:16.600 --> 00:00:18.400]  看到我們有青少特刊
[00:00:18.400 --> 00:00:20.800]  也看到一班年青人和我們一起
[00:00:20.800 --> 00:00:22.800]  一起去崇拜
[00:00:22.800 --> 00:00:27.000]  很想先借各位一幅弟兄姊妹的掌聲
[00:00:27.000 --> 00:00:29.000]  多謝我們一班敬拜隊
[00:00:29.000 --> 00:00:31.200]  我們AV Team、我們C視的青年人
[00:00:31.200 --> 00:00:32.800]  為我們預備
[00:00:32.800 --> 00:00:40.000]  我想不只是他們預備給你們
[00:00:40.000 --> 00:00:41.400]  其實我們都很高興
[00:00:41.400 --> 00:00:43.200]  我們一班青年人都很高興
[00:00:43.200 --> 00:00:47.000]  一起和我們恩福的成年的弟兄姊妹
[00:00:47.000 --> 00:00:48.600]  一起去崇拜
[00:00:48.600 --> 00:00:50.800]  我是青少部的同工
[00:00:50.800 --> 00:00:52.000]  我叫阿君
[00:00:52.000 --> 00:00:53.400]  我自己都很榮幸
[00:00:53.400 --> 00:00:56.800]  今天可以和你們一起分享神的話語
[00:00:56.800 --> 00:00:58.000]  青少主日
[00:00:58.000 --> 00:00:59.400]  說起青年人
[00:00:59.400 --> 00:01:00.800]  說起香港的青年人
[00:01:00.800 --> 00:01:02.400]  不知道你們是否記得
[00:01:02.400 --> 00:01:04.800]  過去2023年的時候
[00:01:04.800 --> 00:01:06.400]  9月的時候
[00:01:06.400 --> 00:01:08.800]  開學之後的一段時間
[00:01:08.800 --> 00:01:11.400]  香港接二連三
[00:01:11.400 --> 00:01:14.200]  有很多的新聞都是很困難的
[00:01:14.200 --> 00:01:16.000]  去說青年人的時候
[00:01:16.000 --> 00:01:19.600]  有不少的青年學生輕生
[00:01:19.600 --> 00:01:22.000]  或者一些壓力情緒的問題
[00:01:22.000 --> 00:01:24.200]  的新聞都不斷出現
[00:01:24.200 --> 00:01:25.800]  那時候我相信
[00:01:25.800 --> 00:01:29.000]  我們認識的年青人
[00:01:29.000 --> 00:01:30.600]  可能是我們的子女
[00:01:30.600 --> 00:01:31.800]  可能是我們的孫子
[00:01:31.800 --> 00:01:33.600]  我們的下一代
[00:01:33.600 --> 00:01:36.400]  我們看到這些事情的時候
[00:01:36.400 --> 00:01:38.000]  其實我們有很多的擔憂
[00:01:38.000 --> 00:01:39.400]  很多的緊張
[00:01:39.400 --> 00:01:41.200]  很沉重
[00:01:41.200 --> 00:01:43.000]  事實上在疫情過後
